dataset,evidence_recall,m,objective,rank,seed,selection_ms,teacher_top4_overlap
hotpotqa,0.17470238095238094,4,combined,8,11,41.17009374022018,0.34375
hotpotqa,0.12574404761904762,4,combined,8,23,43.790312483906746,0.390625
hotpotqa,0.1538690476190476,4,combined,8,37,43.9845375076402,0.359375
hotpotqa,0.17217261904761905,4,combined,8,53,43.87834999943152,0.421875
hotpotqa,0.1855654761904762,4,combined,8,71,41.76403125165962,0.390625
hotpotqa,0.1476190476190476,8,combined,8,11,44.269874997553416,0.265625
hotpotqa,0.17886904761904762,8,combined,8,23,45.065425016218796,0.375
hotpotqa,0.1663690476190476,8,combined,8,37,43.20576247118879,0.390625
hotpotqa,0.16860119047619046,8,combined,8,53,41.96671876707114,0.390625
hotpotqa,0.11681547619047619,8,combined,8,71,43.76868752297014,0.40625
hotpotqa,0.2132440476190476,4,combined,16,11,43.00618122215383,0.34375
hotpotqa,0.12931547619047618,4,combined,16,23,41.041406235308386,0.359375
hotpotqa,0.14553571428571427,4,combined,16,37,43.74168747744989,0.421875
hotpotqa,0.20654761904761904,4,combined,16,53,43.60040000756271,0.15625
hotpotqa,0.13869047619047617,4,combined,16,71,41.36248119175434,0.21875
hotpotqa,0.1507440476190476,8,combined,16,11,39.59746871259995,0.390625
hotpotqa,0.14494047619047618,8,combined,16,23,39.9724249728024,0.40625
hotpotqa,0.16904761904761903,8,combined,16,37,40.717112526181154,0.265625
hotpotqa,0.1382440476190476,8,combined,16,53,38.433012465247884,0.40625
hotpotqa,0.1663690476190476,8,combined,16,71,41.27884372428525,0.421875
hotpotqa,0.1263392857142857,4,combined,32,11,40.40109371999279,0.375
hotpotqa,0.12098214285714284,4,combined,32,23,37.340818758821115,0.234375
hotpotqa,0.13407738095238095,4,combined,32,37,38.47499999392312,0.265625
hotpotqa,0.1263392857142857,4,combined,32,53,38.89051252917852,0.359375
hotpotqa,0.1349702380952381,4,combined,32,71,37.22565624048002,0.34375
hotpotqa,0.10535714285714286,8,combined,32,11,37.41013750550337,0.4375
hotpotqa,0.12931547619047618,8,combined,32,23,38.63931247906294,0.421875
hotpotqa,0.1787202380952381,8,combined,32,37,40.334956196602434,0.4375
hotpotqa,0.14404761904761904,8,combined,32,53,37.74864999286365,0.40625
hotpotqa,0.12574404761904762,8,combined,32,71,38.91715624195058,0.53125
hotpotqa,0.24613095238095237,4,decision_aware,8,11,46.501262520905584,0.203125
hotpotqa,0.12604166666666666,4,decision_aware,8,23,49.24971876607742,0.3125
hotpotqa,0.15312499999999998,4,decision_aware,8,37,47.61535000579897,0.28125
hotpotqa,0.12455357142857143,4,decision_aware,8,53,46.40501250105444,0.359375
hotpotqa,0.14851190476190476,4,decision_aware,8,71,45.038681229925714,0.375
hotpotqa,0.13125,8,decision_aware,8,11,49.80010625149589,0.546875
hotpotqa,0.19449404761904762,8,decision_aware,8,23,52.52690002089366,0.453125
hotpotqa,0.2169642857142857,8,decision_aware,8,37,44.87848747521639,0.453125
hotpotqa,0.13288690476190476,8,decision_aware,8,53,48.55105621390976,0.546875
hotpotqa,0.1418154761904762,8,decision_aware,8,71,51.4709249837324,0.421875
hotpotqa,0.1544642857142857,4,decision_aware,16,11,49.97178747726139,0.359375
hotpotqa,0.12261904761904761,4,decision_aware,16,23,46.34768748655915,0.390625
hotpotqa,0.1913690476190476,4,decision_aware,16,37,44.93456249474548,0.1875
hotpotqa,0.08035714285714285,4,decision_aware,16,53,48.758981269202195,0.5
hotpotqa,0.1663690476190476,4,decision_aware,16,71,45.70069376495667,0.234375
hotpotqa,0.09226190476190475,8,decision_aware,16,11,46.07991247030441,0.5
hotpotqa,0.10178571428571428,8,decision_aware,16,23,51.41514373826794,0.421875
hotpotqa,0.13556547619047615,8,decision_aware,16,37,48.20632499468047,0.234375
hotpotqa,0.12410714285714285,8,decision_aware,16,53,47.731106242281385,0.421875
hotpotqa,0.09642857142857142,8,decision_aware,16,71,49.132787506096065,0.5
hotpotqa,0.09598214285714285,4,decision_aware,32,11,49.03998128429521,0.453125
hotpotqa,0.10491071428571427,4,decision_aware,32,23,43.935400011832826,0.453125
hotpotqa,0.16101190476190474,4,decision_aware,32,37,46.35251250874717,0.34375
hotpotqa,0.1107142857142857,4,decision_aware,32,53,47.06704372074455,0.390625
hotpotqa,0.08229166666666667,4,decision_aware,32,71,47.0194937515771,0.40625
hotpotqa,0.13348214285714285,8,decision_aware,32,11,43.971224949928,0.453125
hotpotqa,0.13288690476190476,8,decision_aware,32,23,44.567224991624244,0.546875
hotpotqa,0.14851190476190476,8,decision_aware,32,37,42.81151255418081,0.484375
hotpotqa,0.18779761904761905,8,decision_aware,32,53,40.965243766549975,0.421875
hotpotqa,0.11205357142857142,8,decision_aware,32,71,42.300174973206595,0.484375
hotpotqa,0.14717261904761902,4,listwise,8,11,41.67324998707045,0.265625
hotpotqa,0.16696428571428573,4,listwise,8,23,41.4815062249545,0.234375
hotpotqa,0.11056547619047619,4,listwise,8,37,41.40943751554005,0.125
hotpotqa,0.1313988095238095,4,listwise,8,53,42.20758749579545,0.5
hotpotqa,0.16830357142857144,4,listwise,8,71,43.14682497351896,0.625
hotpotqa,0.16845238095238094,8,listwise,8,11,41.07853752793744,0.265625
hotpotqa,0.1351190476190476,8,listwise,8,23,41.62720000022091,0.234375
hotpotqa,0.14910714285714285,8,listwise,8,37,44.212843757122755,0.65625
hotpotqa,0.14851190476190476,8,listwise,8,53,41.86617500090506,0.4375
hotpotqa,0.1699404761904762,8,listwise,8,71,42.927881237119436,0.4375
hotpotqa,0.1543154761904762,4,listwise,16,11,42.7181687700795,0.28125
hotpotqa,0.18348214285714287,4,listwise,16,23,40.699000004678965,0.25
hotpotqa,0.13601190476190475,4,listwise,16,37,44.920300017111,0.171875
hotpotqa,0.17842261904761902,4,listwise,16,53,48.01260624662973,0.171875
hotpotqa,0.1574404761904762,4,listwise,16,71,45.7779812568333,0.140625
hotpotqa,0.14761904761904762,8,listwise,16,11,42.601774985087104,0.328125
hotpotqa,0.1382440476190476,8,listwise,16,23,42.597843741532415,0.40625
hotpotqa,0.11011904761904762,8,listwise,16,37,41.204693785402924,0.21875
hotpotqa,0.1824404761904762,8,listwise,16,53,39.543368766317144,0.390625
hotpotqa,0.11011904761904762,8,listwise,16,71,42.080356215592474,0.25
hotpotqa,0.09642857142857142,4,listwise,32,11,37.134068727027625,0.203125
hotpotqa,0.11056547619047617,4,listwise,32,23,46.524700010195374,0.15625
hotpotqa,0.11949404761904761,4,listwise,32,37,45.172193757025525,0.140625
hotpotqa,0.1636904761904762,4,listwise,32,53,42.59265001746826,0.25
hotpotqa,0.1663690476190476,4,listwise,32,71,40.92833750473801,0.25
hotpotqa,0.08928571428571427,8,listwise,32,11,40.93462502351031,0.203125
hotpotqa,0.10491071428571427,8,listwise,32,23,43.63433748949319,0.25
hotpotqa,0.1507440476190476,8,listwise,32,37,38.98342496540863,0.328125
hotpotqa,0.11011904761904762,8,listwise,32,53,39.75892499147449,0.21875
hotpotqa,0.18110119047619044,8,listwise,32,71,40.09666251658928,0.296875
hotpotqa,0.10476190476190475,4,oracle_imitation,8,11,59.411543697933666,0.8125
hotpotqa,0.09226190476190475,4,oracle_imitation,8,23,25.085974993999116,0.765625
hotpotqa,0.08020833333333333,4,oracle_imitation,8,37,23.65870626817923,0.78125
hotpotqa,0.09955357142857142,4,oracle_imitation,8,53,33.08590000960976,0.765625
hotpotqa,0.09955357142857142,4,oracle_imitation,8,71,32.436337482067756,0.78125
hotpotqa,0.13124999999999998,8,oracle_imitation,8,11,32.558812526986,0.828125
hotpotqa,0.12083333333333332,8,oracle_imitation,8,23,33.44345625373535,0.828125
