baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,objective,pairs,rank,ties,wins
QK_mean,0.08863095238095238,-0.012589285714285716,hotpotqa,3,4,0.03889880952380952,combined,16,8,3,10
QK_key_only_m8,0.08294642857142856,-0.005833333333333338,hotpotqa,4,4,0.038482142857142854,combined,16,8,3,9
B0_gist,0.11166666666666666,-0.09270833333333332,hotpotqa,5,4,0.011666666666666664,combined,16,8,3,8
B1_bm25,-0.08839285714285713,-0.38401785714285713,hotpotqa,12,4,-0.23535714285714288,combined,16,8,0,4
B2_exact,-0.036309523809523805,-0.2105357142857143,hotpotqa,10,4,-0.12449404761904762,combined,16,8,2,4
H5_iterative_hybrid,-0.006755952380952388,-0.23642857142857138,hotpotqa,10,4,-0.11705357142857142,combined,16,8,0,6
QK_mean,0.08651785714285715,-0.02410714285714286,hotpotqa,3,8,0.03214285714285714,combined,16,8,5,8
QK_key_only_m8,0.07994047619047617,-0.013660714285714288,hotpotqa,3,8,0.03172619047619048,combined,16,8,6,7
B0_gist,0.09633928571428571,-0.09517857142857143,hotpotqa,5,8,0.00491071428571428,combined,16,8,4,7
B1_bm25,-0.10044642857142858,-0.3868750000000001,hotpotqa,12,8,-0.24211309523809524,combined,16,8,1,3
B2_exact,-0.04,-0.22250000000000003,hotpotqa,10,8,-0.13125,combined,16,8,3,3
H5_iterative_hybrid,-0.012232142857142851,-0.23839285714285713,hotpotqa,9,8,-0.12380952380952383,combined,16,8,3,4
QK_mean,0.09696428571428571,-0.011220238095238089,hotpotqa,4,4,0.04315476190476192,combined,16,16,2,10
QK_key_only_m8,0.09065476190476193,-0.0014583333333333306,hotpotqa,5,4,0.04273809523809525,combined,16,16,1,10
B0_gist,0.11110119047619052,-0.08416666666666667,hotpotqa,6,4,0.01592261904761905,combined,16,16,1,9
B1_bm25,-0.09830357142857139,-0.36910714285714286,hotpotqa,13,4,-0.23110119047619046,combined,16,16,0,3
B2_exact,-0.04095238095238095,-0.20062500000000003,hotpotqa,11,4,-0.12023809523809523,combined,16,16,1,4
H5_iterative_hybrid,-0.012261904761904746,-0.2211309523809524,hotpotqa,11,4,-0.11279761904761905,combined,16,16,1,4
QK_mean,0.0824107142857143,-0.025535714285714294,hotpotqa,3,8,0.030357142857142853,combined,16,16,4,9
QK_key_only_m8,0.07214285714285715,-0.009136904761904763,hotpotqa,4,8,0.02994047619047619,combined,16,16,4,8
B0_gist,0.09517857142857143,-0.09383928571428571,hotpotqa,5,8,0.003125,combined,16,16,3,8
B1_bm25,-0.0969047619047619,-0.38574404761904757,hotpotqa,12,8,-0.24389880952380952,combined,16,16,1,3
B2_exact,-0.03830357142857142,-0.23321428571428576,hotpotqa,10,8,-0.13303571428571428,combined,16,16,2,4
H5_iterative_hybrid,-0.004702380952380951,-0.24633928571428576,hotpotqa,9,8,-0.1255952380952381,combined,16,16,3,4
QK_mean,0.07208333333333335,-0.06976190476190475,hotpotqa,5,4,0.005029761904761912,combined,16,32,1,10
QK_key_only_m8,0.056250000000000015,-0.055624999999999994,hotpotqa,5,4,0.004613095238095241,combined,16,32,2,9
B0_gist,0.06943452380952382,-0.11973214285714288,hotpotqa,6,4,-0.022202380952380946,combined,16,32,0,10
B1_bm25,-0.1449404761904762,-0.39916666666666667,hotpotqa,13,4,-0.2692261904761905,combined,16,32,1,2
B2_exact,-0.05785714285714284,-0.25752976190476196,hotpotqa,11,4,-0.15836309523809525,combined,16,32,1,4
H5_iterative_hybrid,-0.04172619047619047,-0.26556547619047616,hotpotqa,12,4,-0.15092261904761906,combined,16,32,0,4
