baseline,ci95_high,ci95_low,condition,dataset,losses,mean_delta,metric,pairs,ties,wins
no_memory,0.0,0.0,empty_memory,hotpotqa,0,0.0,gold_mean_token_logprob,64,64,0
no_memory,0.0,0.0,empty_memory,hotpotqa,0,0.0,f1,64,64,0
no_memory,0.0,0.0,empty_memory,hotpotqa,0,0.0,em,64,64,0
no_memory,0.1515081024263054,0.02425606793258339,native_mean,hotpotqa,22,0.08726822608150542,gold_mean_token_logprob,64,0,42
no_memory,0.024056412337662335,0.0007812500000000003,native_mean,hotpotqa,0,0.010217126623376623,f1,64,60,4
no_memory,0.0,0.0,native_mean,hotpotqa,0,0.0,em,64,64,0
no_memory,0.08906538691371679,-0.03637409734074026,exact,hotpotqa,29,0.02600166923366487,gold_mean_token_logprob,64,0,35
no_memory,0.014955357142857144,0.0,exact,hotpotqa,0,0.005245535714285715,f1,64,62,2
no_memory,0.0,0.0,exact,hotpotqa,0,0.0,em,64,64,0
no_memory,0.07836972724180669,-0.05275099497521296,bm25,hotpotqa,32,0.012392121308948845,gold_mean_token_logprob,64,0,32
no_memory,0.0023437500000000008,0.0,bm25,hotpotqa,0,0.0007812500000000003,f1,64,63,1
no_memory,0.0,0.0,bm25,hotpotqa,0,0.0,em,64,64,0
no_memory,0.14201322263397742,-0.007447366573615,hybrid,hotpotqa,25,0.06818487444252241,gold_mean_token_logprob,64,0,39
no_memory,0.02333603896103896,0.0007812500000000003,hybrid,hotpotqa,0,0.010217126623376623,f1,64,60,4
no_memory,0.0,0.0,hybrid,hotpotqa,0,0.0,em,64,64,0
no_memory,0.1400300466339104,0.007362806121818721,lowrank_r16_ensemble,hotpotqa,27,0.07375321659492329,gold_mean_token_logprob,64,0,37
no_memory,0.012611607142857143,-0.014559659090909092,lowrank_r16_ensemble,hotpotqa,2,-0.0008090867465867474,f1,64,58,4
no_memory,0.0,0.0,lowrank_r16_ensemble,hotpotqa,0,0.0,em,64,64,0
no_memory,0.09604103866149671,-0.029633572499733418,lowrank_r8_kmeans_ensemble,hotpotqa,27,0.033640202454989776,gold_mean_token_logprob,64,0,37
no_memory,0.015797483766233765,-0.00625,lowrank_r8_kmeans_ensemble,hotpotqa,1,0.003743912337662338,f1,64,60,3
no_memory,0.0,0.0,lowrank_r8_kmeans_ensemble,hotpotqa,0,0.0,em,64,64,0
no_memory,0.118182917140075,0.011549716029549018,shuffled_selection,hotpotqa,28,0.06466247276694048,gold_mean_token_logprob,64,0,36
no_memory,0.015736607142857142,0.0,shuffled_selection,hotpotqa,0,0.005245535714285715,f1,64,62,2
no_memory,0.0,0.0,shuffled_selection,hotpotqa,0,0.0,em,64,64,0
no_memory,0.0281529335770756,-0.09696371504105628,irrelevant_bottom,hotpotqa,29,-0.034704493067692965,gold_mean_token_logprob,64,0,35
no_memory,0.006493506493506496,0.0,irrelevant_bottom,hotpotqa,0,0.002404626623376624,f1,64,62,2
no_memory,0.0,0.0,irrelevant_bottom,hotpotqa,0,0.0,em,64,64,0
no_memory,0.14576559312990867,0.00851860232069157,oracle_evidence,hotpotqa,23,0.0763978272152599,gold_mean_token_logprob,64,0,41
no_memory,0.005037540584415585,0.0,oracle_evidence,hotpotqa,0,0.0021256087662337667,f1,64,61,3
