instance_id,decision,depth,trials,valid_actions,exact_commands,semantic_transitions,exact_command_rate,semantic_transition_rate,max_exact_omitted_tokens,max_exact_omitted_fraction,max_semantic_omitted_tokens,max_semantic_omitted_fraction
django__django-15277,24,1,20,20,2,14,0.1,0.7,148,0.01947624687458876,622,0.08185287537833925
django__django-15277,24,2,9,9,4,7,0.4444444444444444,0.7777777777777778,1087,0.14304513751809447,1087,0.14304513751809447
django__django-15277,24,3,4,4,1,3,0.25,0.75,1533,0.20173707066719304,1533,0.20173707066719304
django__django-15277,24,4,4,4,1,2,0.25,0.5,1845,0.2427951046190288,1845,0.2427951046190288
django__django-15277,24,5,4,4,0,1,0.0,0.25,0,0.0,2055,0.2704303197789183
django__django-15368,25,1,21,19,3,14,0.14285714285714285,0.6666666666666666,264,0.04001819008640291,642,0.09731696225557071
django__django-15368,25,2,11,9,0,9,0.0,0.8181818181818182,0,0.0,1007,0.1526451417310899
django__django-15368,25,3,4,4,0,4,0.0,1.0,0,0.0,1337,0.20266787933909353
django__django-15368,25,4,4,4,0,4,0.0,1.0,0,0.0,1618,0.24526299833257542
scikit-learn__scikit-learn-13135,20,1,16,16,0,16,0.0,1.0,0,0.0,2600,0.23400234002340023
scikit-learn__scikit-learn-13135,20,2,8,8,0,8,0.0,1.0,0,0.0,3482,0.3133831338313383
scikit-learn__scikit-learn-13135,20,3,4,4,0,4,0.0,1.0,0,0.0,4240,0.3816038160381604
