unit_id,group,path_improved,window,window_is_w16,window_is_w32,window_is_w64,window_is_w128,window_is_global,seed,example_id,chain_depth,query_token_count,evidence_span_tokens,max_hop_distance_tokens,evidence_span_over_window,max_hop_distance_over_window,one_shot_path_recovery,one_shot_reference_recall,one_shot_correct,one_shot_margin,one_shot_correct_probability,one_shot_prediction_entropy,one_shot_attention_entropy,one_shot_evidence_attention_mass,one_shot_distractor_attention_mass,one_shot_memory_attention_mass,one_shot_evidence_distractor_ratio,one_shot_native_attention_mass,iterative_path_recovery,path_gain,iterative_reference_recall,reference_recall_gain,iterative_correct,answer_gain,iterative_margin,margin_gain,iterative_correct_probability,iterative_prediction_entropy,iterative_evidence_attention_mass,iterative_distractor_attention_mass,iterative_evidence_distractor_ratio,iterative_native_attention_mass,consumer_layer_count,intervention_count,positive_immediate_margin_gain,erased_by_final_layer
global|17|chain-100004-d1,G0,0,global,0,0,0,0,1,17,chain-100004-d1,1.0,5.0,22.0,11.0,0.0,0.0,1.0,1.0,0.0,-4.059637546539307,0.01407639030367136,0.692729651927948,2.701378583908081,0.293537274834307,0.6571174130112922,0.9506546878455993,0.44670445345398685,0.049345312154400744,0.0,-1.0,0.0,-1.0,0.0,0.0,-5.671778678894043,-1.6121411323547363,0.0013413066044449806,1.3153343200683594,0.0,0.6962585001646939,0.0,0.3037414998353061,4.0,4.0,0.0,0.0
global|17|chain-1042565-d1,G0,0,global,0,0,0,0,1,17,chain-1042565-d1,1.0,5.0,42.0,7.0,0.0,0.0,1.0,1.0,1.0,5.234559059143066,0.9857305288314819,0.09703999012708664,2.5629806518554688,0.4997235312520161,0.47473574753814773,0.9744592787901638,1.052635142483894,0.025540721209836192,1.0,0.0,1.0,0.0,1.0,0.0,4.650856971740723,-0.5837020874023438,0.9870298504829407,0.08261680603027344,0.18843224559637406,0.4639676462574016,0.4061322963279102,0.34760010814622433,4.0,4.0,1.0,0.0
global|17|chain-1147294-d2,G0,0,global,0,0,0,0,1,17,chain-1147294-d2,2.0,6.0,28.0,7.0,0.0,0.0,1.0,1.0,0.0,-3.7003884315490723,0.011212123557925224,1.096766710281372,2.863966703414917,0.4835654370672273,0.3088364946015645,0.7924019316687918,1.5657652043068413,0.2075980683312082,1.0,0.0,1.0,0.0,0.0,0.0,-4.034494400024414,-0.3341059684753418,0.015261315740644932,0.5912570953369141,0.26879899667255813,0.31070682924739884,0.8651209801974716,0.420494174080043,4.0,4.0,1.0,0.0
global|17|chain-1252023-d4,G0,0,global,0,0,0,0,1,17,chain-1252023-d4,4.0,8.0,11.0,11.0,0.0,0.0,0.0,0.5,0.0,-6.339420318603516,0.0017296698642894626,0.12911897897720337,2.791229724884033,0.575470406710842,0.38785488273308744,0.9633252894439295,1.483726085013263,0.03667471055607052,0.0,0.0,0.0,-0.5,0.0,0.0,-6.769225597381592,-0.42980527877807617,0.0010686470195651054,0.31918489933013916,0.0,0.6287326589844202,0.0,0.3712673410155798,4.0,4.0,0.0,0.0
global|17|chain-1356752-d1,G0,0,global,0,0,0,0,1,17,chain-1356752-d1,1.0,5.0,35.0,5.0,0.0,0.0,1.0,1.0,0.0,-7.740211009979248,0.00019323639571666718,1.1403287649154663,2.839134931564331,0.34139485633932054,0.46252920047118096,0.8039240568105015,0.738104439658166,0.1960759431894985,0.0,-1.0,0.0,-1.0,0.0,0.0,-6.060482978820801,1.6797280311584473,0.0012923208996653557,1.1713626384735107,0.0,0.7297616236083257,0.0,0.27023837639167425,4.0,4.0,1.0,0.0
global|17|chain-1461481-d2,G0,0,global,0,0,0,0,1,17,chain-1461481-d2,2.0,6.0,44.0,11.0,0.0,0.0,0.0,0.5,1.0,0.4138326644897461,0.4218060076236725,1.4168668985366821,2.8440566062927246,0.1357951499826413,0.7532264868455059,0.8890216368281472,0.18028461870923854,0.11097836317185283,0.0,0.0,0.5,0.0,1.0,0.0,3.459038257598877,3.045205593109131,0.9466918110847473,0.28018316626548767,0.17419762782947146,0.4893702407145312,0.3559628545763733,0.3364321314559973,4.0,4.0,1.0,0.0
global|17|chain-1566210-d2,G0,0,global,0,0,0,0,1,17,chain-1566210-d2,2.0,6.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,-6.563631534576416,0.0008741253986954689,0.7460085153579712,2.717421531677246,0.0,0.8889837393256244,0.8889837393256244,0.0,0.11101626067437564,0.0,0.0,0.5,0.5,0.0,0.0,-1.6313624382019043,4.932269096374512,0.1558995544910431,0.6603975296020508,0.1730215815568954,0.4721829914872302,0.36642908507130045,0.3547954269558744,4.0,4.0,1.0,0.0
global|17|chain-1670939-d1,G0,0,global,0,0,0,0,1,17,chain-1670939-d1,1.0,5.0,55.0,11.0,0.0,0.0,1.0,1.0,0.0,-2.0248045921325684,0.10391909629106522,0.7840993404388428,2.7768936157226562,0.1411558786585374,0.7413281949329757,0.8824840735915132,0.19040942948527603,0.11751592640848685,1.0,0.0,1.0,0.0,1.0,1.0,3.0006532669067383,5.025457859039307,0.9104668498039246,0.4171162545681,0.17170274060640978,0.5125778048222855,0.3349788831881637,0.3157194545713047,4.0,4.0,1.0,0.0
global|17|chain-204733-d3,G0,0,global,0,0,0,0,1,17,chain-204733-d3,3.0,7.0,22.0,11.0,0.0,0.0,0.0,0.3333333333333333,0.0,-4.62028694152832,0.009303354658186436,0.30477166175842285,2.8840491771698,0.1147962827963056,0.6911343236643006,0.8059306064606062,0.16609836737332223,0.1940693935393938,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,-2.5608091354370117,2.0594778060913086,0.05779547616839409,0.8683014512062073,0.31076872017160895,0.3429115729231853,0.9062648936646516,0.34631970690520575,4.0,4.0,1.0,0.0
global|17|chain-309462-d4,G0,0,global,0,0,0,0,1,17,chain-309462-d4,4.0,8.0,7.0,7.0,0.0,0.0,0.0,0.5,0.0,-4.684732437133789,0.007294894196093082,0.7407876253128052,2.8647634983062744,0.3795568190034828,0.5043800293060485,0.8839368483095313,0.7525215055118186,0.11606315169046866,0.0,0.0,0.5,0.0,0.0,0.0,-8.20535659790039,-3.5206241607666016,0.0002591889933682978,0.2583271861076355,0.15948039780323597,0.32613595827479,0.488999736940579,0.514383643921974,4.0,4.0,0.0,0.0
