comparison_scope,timing,feature,status,path_improved_n,other_n,path_improved_mean,path_improved_median,other_mean,other_median,mean_difference,difference_identity_cluster_bootstrap_ci95_low,difference_identity_cluster_bootstrap_ci95_high,bootstrap_unit,subgroup_membership,effect_type,effect,association_test,association_p,note
all_400,pre-decision,window_is_w16,available,59,341,0.22033898305084745,0.0,0.19648093841642228,0.0,0.023858044634425174,-0.09597894655365921,0.15414258188824662,example_id,fixed from observed path_gain,risk difference,0.023858044634425174,two-sided Fisher exact,0.724475568147655,
all_400,pre-decision,window_is_w32,available,59,341,0.2542372881355932,0.0,0.1906158357771261,0.0,0.06362145235846711,-0.05198180636777128,0.1907087621373336,example_id,fixed from observed path_gain,risk difference,0.06362145235846711,two-sided Fisher exact,0.28995444918302066,
all_400,pre-decision,window_is_w64,available,59,341,0.22033898305084745,0.0,0.19648093841642228,0.0,0.023858044634425174,-0.052429925388183085,0.10173802458668926,example_id,fixed from observed path_gain,risk difference,0.023858044634425174,two-sided Fisher exact,0.724475568147655,
all_400,pre-decision,window_is_w128,available,59,341,0.15254237288135594,0.0,0.20821114369501467,0.0,-0.05566877081365873,-0.1481103166496425,0.03673938002296212,example_id,fixed from observed path_gain,risk difference,-0.05566877081365873,two-sided Fisher exact,0.38118889220838936,
all_400,pre-decision,window_is_global,available,59,341,0.15254237288135594,0.0,0.20821114369501467,0.0,-0.05566877081365873,-0.13257575757575757,0.025039123630672927,example_id,fixed from observed path_gain,risk difference,-0.05566877081365873,two-sided Fisher exact,0.38118889220838936,
all_400,pre-decision,chain_depth,available,59,341,1.1694915254237288,1.0,1.9237536656891496,2.0,-0.7542621402654208,-1.3085399449035813,-0.2699147160225004,example_id,fixed from observed path_gain,standardized mean difference,-0.7695712135742733,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,query_token_count,available,59,341,5.169491525423729,5.0,5.92375366568915,6.0,-0.7542621402654204,-1.3085399449035808,-0.26991471602250083,example_id,fixed from observed path_gain,standardized mean difference,-0.7695712135742728,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,evidence_span_tokens,available,59,341,30.83050847457627,33.0,26.923753665689148,22.0,3.906754808887122,-1.2998072699565242,10.16110040676515,example_id,fixed from observed path_gain,standardized mean difference,0.30657222776017984,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,max_hop_distance_tokens,available,59,341,7.47457627118644,7.0,8.3841642228739,7.0,-0.9095879516874605,-2.197258725448636,0.3039375793866821,example_id,fixed from observed path_gain,standardized mean difference,-0.3605251132294459,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,evidence_span_over_window,available,59,341,0.788135593220339,0.546875,0.6196847507331378,0.34375,0.1684508424872012,-0.061969900139542955,0.40748292262512764,example_id,fixed from observed path_gain,standardized mean difference,0.2296514179895047,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,max_hop_distance_over_window,available,59,341,0.2043167372881356,0.171875,0.19146352639296188,0.109375,0.012853210895173717,-0.060163225446428575,0.09060968137254902,example_id,fixed from observed path_gain,standardized mean difference,0.06419158061481126,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,one_shot_path_recovery,available,59,341,0.0,0.0,0.44574780058651026,0.0,-0.44574780058651026,-0.6346749226006192,-0.2568306010928962,example_id,fixed from observed path_gain,risk difference,-0.44574780058651026,two-sided Fisher exact,4.5778163653988004e-14,
all_400,pre-decision,one_shot_reference_recall,available,59,341,0.0847457627118644,0.0,0.603128054740958,0.5,-0.5183822920290936,-0.6768254367223828,-0.3300065231572081,example_id,fixed from observed path_gain,standardized mean difference,-1.39317771416092,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,one_shot_correct,available,59,341,0.1016949152542373,0.0,0.25806451612903225,0.0,-0.15636960087479496,-0.24173562765445072,-0.059659090909090884,example_id,fixed from observed path_gain,risk difference,-0.15636960087479496,two-sided Fisher exact,0.007570595659779041,
all_400,pre-decision,one_shot_margin,available,59,341,-4.137366941419699,-4.380061626434326,-2.3301874081060685,-3.049755334854126,-1.8071795333136302,-3.013772298222932,-0.4665174837188393,example_id,fixed from observed path_gain,standardized mean difference,-0.5340169361395836,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,one_shot_correct_probability,available,59,341,0.0779678593574672,0.008413631469011307,0.2405177927035963,0.03563983738422394,-0.1625499333461291,-0.23232337431862365,-0.08223065708197541,example_id,fixed from observed path_gain,standardized mean difference,-0.49188690849499755,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
all_400,pre-decision,one_shot_prediction_entropy,available,59,341,0.7895230272058713,0.8518908619880676,0.7393229836789219,0.7524619698524475,0.0502000435269494,-0.12132338494270556,0.219261747576036,example_id,fixed from observed path_gain,standardized mean difference,0.11011097612616953,descriptive identity-cluster bootstrap; no multiplicity-adjusted hypothesis test,,
