condition,level,model_example_rows,unique_example_identities,path_improved_rows,path_worse_rows,mean_path_gain,mean_answer_gain,mean_margin_gain
window,global,80,16,9,12,-0.0375,-0.0875,0.3467637777328491
window,w128,80,16,9,8,0.0125,-0.025,0.5625305056571961
window,w16,80,16,13,12,0.0125,-0.0375,0.4063188374042511
window,w32,80,16,15,8,0.0875,-0.0375,-0.2474391281604767
window,w64,80,16,13,8,0.0625,-0.0125,0.6389286398887635
seed,17,80,16,10,10,0.0,0.0625,0.754074776172638
seed,29,80,16,15,10,0.0625,-0.0375,0.11901476383209228
seed,41,80,16,14,11,0.0375,-0.0625,1.1338201344013215
seed,53,80,16,13,6,0.0875,0.05,0.5943615138530731
seed,67,80,16,7,11,-0.05,-0.2125,-0.8941685557365417
