model,model_revision,precision_family,precision_encoding,hardware,engine,dataset,evidence_tier,seed,examples,candidate_count,token_budget,no_pra_token_f1,pra_no_adaptor_token_f1,pra_token_f1_delta,no_pra_task_score,pra_no_adaptor_task_score,pra_task_score_delta,no_pra_supporting_document_coverage,pra_supporting_document_coverage,no_pra_visible_tokens,pra_visible_tokens,no_pra_total_latency_ms,pra_total_latency_ms,pra_total_latency_ratio,no_pra_ttft_p50_ms,pra_ttft_p50_ms,no_pra_ttft_p95_ms,pra_ttft_p95_ms,no_pra_output_tokens_per_second,pra_output_tokens_per_second,adaptor_condition,peak_memory_bytes
mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,INT4,MLX-4bit,macOS-26.6.2-arm64-arm-64bit,mlx-lm,multihoprag,NATURAL_FIXED_CANDIDATE,11,10,20,2048,0.0944015984015984,0.07684232032058119,-0.017559278081017204,0.9,0.7,-0.20000000000000007,0.525,0.5916666666666667,2023.6,2027.2,563.3736834977753,646.5664461022243,1.147668883090059,166.53522898559459,167.7864795201458,211.1352919600904,211.150000046473,56.89022190741987,49.56357754819159,NO_QUALIFIED_ADAPTER,
mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,INT4,MLX-4bit,macOS-26.6.2-arm64-arm-64bit,mlx-lm,multihoprag,NATURAL_FIXED_CANDIDATE,11,10,50,2048,0.0905609350391959,0.08146822742474916,-0.009092707614446749,0.9,0.8,-0.09999999999999998,0.55,0.5333333333333333,2019.6,2029.4,557.084241596749,646.8740874959622,1.161178219010202,159.90899948519655,168.5024169855751,203.37570796255022,210.76666604494676,57.558870099908575,49.53497745632657,NO_QUALIFIED_ADAPTER,
mlx-community/Qwen3-4B-8bit,0348ad770d2ae658ca47b0579b2d2c37b20bbcac,INT8,MLX-8bit,macOS-26.6.2-arm64-arm-64bit,mlx-lm,multihoprag,NATURAL_FIXED_CANDIDATE,11,10,20,2048,0.09157506905332993,0.08808302808302808,-0.0034920409703018546,0.9,0.9,0.0,0.525,0.5916666666666667,2023.6,2027.2,834.3069918919355,923.242770897923,1.1065983862898119,182.15679147397168,189.9925415054895,223.77454198431224,230.07712501566857,38.389432964638765,34.68279374448211,NO_QUALIFIED_ADAPTER,
mlx-community/Qwen3-4B-8bit,0348ad770d2ae658ca47b0579b2d2c37b20bbcac,INT8,MLX-8bit,macOS-26.6.2-arm64-arm-64bit,mlx-lm,multihoprag,NATURAL_FIXED_CANDIDATE,11,10,50,2048,0.09027973475799562,0.09387285178589526,0.003593117027899634,0.9,0.9,0.0,0.55,0.5333333333333333,2019.6,2029.4,838.9155750977807,922.6101457956247,1.0997651887534559,185.8531665056944,189.07239648979157,232.7560830162838,237.3279160237871,38.186022556000886,34.70670843080022,NO_QUALIFIED_ADAPTER,
