aggregate_materialization_seconds,aggregate_materialized_kv_tokens,aggregate_memory_attention_seconds,aggregate_routing_seconds,aggregate_transfer_seconds,aggregate_transferred_kv_bytes,answer_contained,chunks_budget_rejected,condition,dataset,em,evidence_attention_mass,evidence_guaranteed,examples,f1,first_pra_layer,generation_seconds,gold_first_token_probability,gold_first_token_rank,gold_logprob_delta_vs_none,gold_mean_logprob_delta_vs_none,kind,last_pra_layer,memory_attention_mass,native_limit_violations,peak_gpu_memory_bytes,pra_layer_count,pra_layer_fraction,pra_layers,process_rss_bytes,resident_reference_detail_kv_bytes,resident_routing_index_bytes,route_layer_routing_index_bytes,route_once_query_encoding_seconds,route_once_routing_seconds,routing_all_evidence_recall,routing_any_evidence_recall,routing_candidate_chunks,routing_selected_parent_chunks,routing_selected_parent_fraction,routing_target_coverage,schedule,teacher_forced_seconds,ttft_seconds
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,no_memory,combined,0.25,,0.0,4,0.25,,0.3170087500475347,0.0012130081545285807,882.5,0.0,0.0,none,,,0.0,1224881920.0,0,0.0,[],2399858688.0,334974976.0,5261312.0,0.0,0.0,0.0,,,,,,,none,0.26839107496198267,0.30207757506286725
0.05041629995685071,3815.0,0.012750944018363953,0.0,0.02358174987602979,15626240.0,0.0,0.0,oracle_all,combined,0.0,0.48483406522843453,1.0,4,0.0,0,0.44062905001919717,1.598812211511813e-06,15537.75,-5.578685641288757,-4.5307101011276245,oracle,27,0.6682903356850147,0.0,1229404928.0,28,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2440033280.0,334974976.0,5261312.0,0.0,0.0,0.0,,,,,,,all,0.49385890003759414,0.43918952497188
0.013652624853421003,1090.0,0.0027955919839441775,0.0,0.006742075085639954,4464640.0,0.25,0.0,oracle_last_8,combined,0.25,0.38835090736392885,1.0,4,0.25,20,0.250995724927634,0.0023543786408304346,227.75,4.381415486335754,1.5513542890548706,oracle,27,0.5154831623658538,0.0,1226174208.0,8,0.2857142857142857,"[20, 21, 22, 23, 24, 25, 26, 27]",2440104960.0,334974976.0,5261312.0,0.0,0.0,0.0,,,,,,,last_8,0.277985125023406,0.25003832491347566
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,direct_text_oracle,combined,0.0,,1.0,4,0.0,,0.32338055002037436,0.001698646929815792,324.5,8.12004816532135,1.2781654596328735,direct,,,0.0,1282429952.0,0,0.0,[],2440154112.0,334974976.0,5261312.0,0.0,0.0,0.0,,,,,,,direct,0.3175320499576628,0.32231150002917275
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_memory,hotpotqa,0.0,,0.0,2,0.0,,0.4028242500498891,0.0006886084056373538,1756.0,0.0,0.0,none,,,0.0,1225632512.0,0,0.0,[],1979342848.0,142671872.0,2265088.0,0.0,0.0,0.0,,,,,,,none,0.2800757000222802,0.3742460000794381
0.04986194975208491,3150.0,0.015352512031793594,0.0,0.02284650004003197,12902400.0,0.0,0.0,oracle_all,hotpotqa,0.0,0.38651772581839133,1.0,2,0.0,0,0.47047770000062883,2.2305725977389557e-07,6715.0,-1.3820276260375977,0.713923454284668,oracle,27,0.6968686261347362,0.0,1229804288.0,28,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2059620352.0,142671872.0,2265088.0,0.0,0.0,0.0,,,,,,,all,0.5718563999980688,0.46966339997015893
0.013122599921189249,900.0,0.002700015977025032,0.0,0.006839050212875009,3686400.0,0.0,0.0,oracle_last_8,hotpotqa,0.0,0.2587830584961921,1.0,2,0.0,20,0.2620655499631539,0.001976293285734787,446.0,8.148783683776855,2.488661289215088,oracle,27,0.4862884059548378,0.0,1226824448.0,8,0.2857142857142857,"[20, 21, 22, 23, 24, 25, 26, 27]",2059741184.0,142671872.0,2265088.0,0.0,0.0,0.0,,,,,,,last_8,0.27365100011229515,0.2611099999630824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,direct_text_oracle,hotpotqa,0.0,,1.0,2,0.0,,0.3534549999749288,0.0030081882338317267,635.0,17.59229278564453,3.908527374267578,direct,,,0.0,1264629760.0,0,0.0,[],2059808768.0,142671872.0,2265088.0,0.0,0.0,0.0,,,,,,,direct,0.30899089993909,0.352539399988018
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,no_memory,qasper,0.5,,0.0,2,0.5,,0.23119325004518032,0.0017374079034198076,9.0,0.0,0.0,none,,,0.0,1224131328.0,0,0.0,[],2820374528.0,527278080.0,8257536.0,0.0,0.0,0.0,,,,,,,none,0.2567064499016851,0.22990915004629642
0.050970650161616504,4480.0,0.010149376004934312,0.0,0.02431699971202761,18350080.0,0.0,0.0,oracle_all,qasper,0.0,0.5831504046384777,1.0,2,0.0,0,0.4107804000377655,2.9745671632497306e-06,24360.5,-9.775343656539917,-9.775343656539917,oracle,27,0.6397120452352933,0.0,1229005568.0,28,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2820446208.0,527278080.0,8257536.0,0.0,0.0,0.0,,,,,,,all,0.41586140007711947,0.4087156499736011
