position_mode,dataset,condition,n,gold_mean_logprob_delta_vs_none_mean,gold_first_token_rank_mean,query_position_offset_mean
original,hotpotqa,direct_text_oracle,2,3.908527374267578,635.0,0.0
original,hotpotqa,no_memory,2,0.0,1756.0,0.0
original,hotpotqa,oracle_all,2,0.713923454284668,6715.0,0.0
original,hotpotqa,oracle_last_8,2,2.488661289215088,446.0,0.0
original,qasper,direct_text_oracle,2,-1.352196455001831,14.0,0.0
original,qasper,no_memory,2,0.0,9.0,0.0
original,qasper,oracle_all,2,-9.775343656539917,24360.5,0.0
original,qasper,oracle_last_8,2,0.6140472888946533,9.5,0.0
corrected,hotpotqa,direct_text_oracle,2,3.908982992172241,635.0,0.0
corrected,hotpotqa,no_memory,2,0.0,1755.5,1244.0
corrected,hotpotqa,oracle_all,2,3.751456558704376,842.5,1244.0
corrected,hotpotqa,oracle_last_8,2,2.089418411254883,752.0,1244.0
corrected,qasper,direct_text_oracle,2,-1.35628342628479,14.0,0.0
corrected,qasper,no_memory,2,0.0,9.0,4597.5
corrected,qasper,oracle_all,2,-2.9713621139526367,36.0,4597.5
corrected,qasper,oracle_last_8,2,0.2768857479095459,8.5,4597.5
