dataset,detail_kv_bytes,detail_tokens_across_layers,example_id,process_rss_bytes,publication_seconds,routing_index_bytes,source_tokens
hotpotqa,139575296,34076,5adc3aff5542996e685252eb,1690279936,6.724699799902737,2236416,1217
hotpotqa,145768448,35588,5ab56db7554299494045efc6,2137755648,4.6944385000970215,2293760,1271
qasper,645693440,157640,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,2679869440,21.600667799822986,10092544,5630
qasper,408862720,99820,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,2960658432,13.836354900151491,6422528,3565
