condition,dataset,evidence_attention_mass,examples,layer,local_attention_mass,memory_attention_mass
oracle_all,hotpotqa,0.364336222410202,2,0,0.5425341725349426,0.4574658274650574
oracle_all,hotpotqa,0.34231550991535187,2,1,0.5117638856172562,0.48823611438274384
oracle_all,hotpotqa,0.2850243151187897,2,2,0.6171126216650009,0.3828873783349991
oracle_all,hotpotqa,0.4589247703552246,2,3,0.1759984791278839,0.8240015208721161
oracle_all,hotpotqa,0.636952131986618,2,4,0.0982733964920044,0.9017266035079956
oracle_all,hotpotqa,0.36467769742012024,2,5,0.038035422563552856,0.9619645774364471
oracle_all,hotpotqa,0.3373553939163685,2,6,0.3305145800113678,0.6694854199886322
oracle_all,hotpotqa,0.5320855379104614,2,7,0.08239281177520752,0.9176071882247925
oracle_all,hotpotqa,0.3709010612219572,2,8,0.2867196202278137,0.7132803797721863
oracle_all,hotpotqa,0.4030125066637993,2,9,0.3172657787799835,0.6827342212200165
oracle_all,hotpotqa,0.6364612579345703,2,10,0.13347813487052917,0.8665218651294708
oracle_all,hotpotqa,0.31627437099814415,2,11,0.428792804479599,0.571207195520401
oracle_all,hotpotqa,0.39047885686159134,2,12,0.28600355982780457,0.7139964401721954
oracle_all,hotpotqa,0.23605304583907127,2,13,0.5625078529119492,0.43749214708805084
oracle_all,hotpotqa,0.26872813515365124,2,14,0.5080031603574753,0.4919968396425247
oracle_all,hotpotqa,0.3383258767426014,2,15,0.4229785203933716,0.5770214796066284
oracle_all,hotpotqa,0.2942137364298105,2,16,0.40708205103874207,0.5929179489612579
oracle_all,hotpotqa,0.2876246050000191,2,17,0.41459494829177856,0.5854050517082214
oracle_all,hotpotqa,0.31233008578419685,2,18,0.42615240812301636,0.5738475918769836
oracle_all,hotpotqa,0.3907610513269901,2,19,0.2630431652069092,0.7369568347930908
oracle_all,hotpotqa,0.38888831809163094,2,20,0.2720951437950134,0.7279048562049866
oracle_all,hotpotqa,0.40255092456936836,2,21,0.21637213230133057,0.7836278676986694
oracle_all,hotpotqa,0.3861803822219372,2,22,0.2059761881828308,0.7940238118171692
oracle_all,hotpotqa,0.388583080843091,2,23,0.17987483739852905,0.820125162601471
oracle_all,hotpotqa,0.3710742276161909,2,24,0.2108498513698578,0.7891501486301422
oracle_all,hotpotqa,0.387442534789443,2,25,0.21489152312278748,0.7851084768772125
oracle_all,hotpotqa,0.40056113712489605,2,26,0.21019554138183594,0.7898044586181641
oracle_all,hotpotqa,0.5303795486688614,2,27,0.12417587637901306,0.8758241236209869
oracle_last_8,hotpotqa,0.2640484720468521,2,20,0.5287927538156509,0.47120724618434906
oracle_last_8,hotpotqa,0.2533032149076462,2,21,0.51199109852314,0.48800890147686005
oracle_last_8,hotpotqa,0.2593649663031101,2,22,0.5060190558433533,0.49398094415664673
oracle_last_8,hotpotqa,0.23408466018736362,2,23,0.5315823405981064,0.4684176594018936
oracle_last_8,hotpotqa,0.23796162940561771,2,24,0.5214604884386063,0.47853951156139374
oracle_last_8,hotpotqa,0.24270121566951275,2,25,0.530268982052803,0.46973101794719696
oracle_last_8,hotpotqa,0.2455437295138836,2,26,0.5347104519605637,0.46528954803943634
oracle_last_8,hotpotqa,0.3332565799355507,2,27,0.4448675811290741,0.5551324188709259
oracle_all,qasper,0.4324372559785843,2,0,0.4907655119895935,0.5092344880104065
oracle_all,qasper,0.2402961328625679,2,1,0.7183500677347183,0.2816499322652817
oracle_all,qasper,0.33915695548057556,2,2,0.621476337313652,0.37852366268634796
oracle_all,qasper,0.6239186227321625,2,3,0.26537060737609863,0.7346293926239014
oracle_all,qasper,0.6473128795623779,2,4,0.13975700736045837,0.8602429926395416
oracle_all,qasper,0.6449543535709381,2,5,0.10906001925468445,0.8909399807453156
oracle_all,qasper,0.6687368452548981,2,6,0.29576629400253296,0.704233705997467
oracle_all,qasper,0.633149653673172,2,7,0.1515669822692871,0.8484330177307129
oracle_all,qasper,0.7391640841960907,2,8,0.24638080596923828,0.7536191940307617
oracle_all,qasper,0.6206926703453064,2,9,0.32471275329589844,0.6752872467041016
oracle_all,qasper,0.5609949231147766,2,10,0.27008241415023804,0.729917585849762
oracle_all,qasper,0.4906170517206192,2,11,0.4816078841686249,0.5183921158313751
oracle_all,qasper,0.6610525250434875,2,12,0.31054285168647766,0.6894571483135223
oracle_all,qasper,0.5657833814620972,2,13,0.41630661487579346,0.5836933851242065
oracle_all,qasper,0.5243848860263824,2,14,0.45470017194747925,0.5452998280525208
oracle_all,qasper,0.5207600295543671,2,15,0.44264984130859375,0.5573501586914062
oracle_all,qasper,0.6094227433204651,2,16,0.37455427646636963,0.6254457235336304
oracle_all,qasper,0.4594906270503998,2,17,0.5080074965953827,0.4919925034046173
oracle_all,qasper,0.5198729038238525,2,18,0.4518340826034546,0.5481659173965454
oracle_all,qasper,0.7170407772064209,2,19,0.2525070607662201,0.7474929392337799
oracle_all,qasper,0.696907252073288,2,20,0.28926581144332886,0.7107341885566711
oracle_all,qasper,0.6076028048992157,2,21,0.3684992790222168,0.6315007209777832
oracle_all,qasper,0.6212162375450134,2,22,0.35781407356262207,0.6421859264373779
oracle_all,qasper,0.6420252323150635,2,23,0.3476616144180298,0.6523383855819702
oracle_all,qasper,0.4946237951517105,2,24,0.49348369240760803,0.506516307592392
oracle_all,qasper,0.5962325632572174,2,25,0.38541680574417114,0.6145831942558289
oracle_all,qasper,0.6875249743461609,2,26,0.29413700103759766,0.7058629989624023
oracle_all,qasper,0.7628391683101654,2,27,0.22578537464141846,0.7742146253585815
oracle_last_8,qasper,0.519176721572876,2,20,0.4589143693447113,0.5410856306552887
oracle_last_8,qasper,0.5192487835884094,2,21,0.4584583044052124,0.5415416955947876
oracle_last_8,qasper,0.5524159073829651,2,22,0.4218960702419281,0.5781039297580719
oracle_last_8,qasper,0.5070866048336029,2,23,0.4648766815662384,0.5351233184337616
oracle_last_8,qasper,0.48428745567798615,2,24,0.4822579473257065,0.5177420526742935
oracle_last_8,qasper,0.4771733582019806,2,25,0.4898233264684677,0.5101766735315323
oracle_last_8,qasper,0.5105685889720917,2,26,0.45113958418369293,0.5488604158163071
oracle_last_8,qasper,0.5733926296234131,2,27,0.4152103662490845,0.5847896337509155
