model,dataset,chunk_tokens,routing_layer_offset,chunk_budget,channel,examples,evidence_recall,precision,mrr,complete_recovery,scored_candidate_fraction
qwen3_0_6b,qasper,64,-4,8,embedding,8,0.9375,0.421875,0.515625,0.875,1.0
qwen3_0_6b,qasper,64,-4,8,exact,8,1.0,0.40625,0.9,1.0,1.0
qwen3_0_6b,qasper,64,-4,8,hybrid,8,0.9375,0.4375,0.6845238095238095,0.875,1.0
qwen3_0_6b,qasper,64,-4,8,ngram,8,1.0,0.453125,0.9375,1.0,1.0
qwen3_0_6b,qasper,64,-4,8,semantic,8,0.9375,0.453125,0.5907738095238095,0.875,1.0
qwen3_0_6b,qasper,64,-1,2,approximate,8,0.9583333333333334,0.8125,0.8125,0.875,1.0
qwen3_0_6b,qasper,64,-1,2,bm25,8,0.2708333333333333,0.25,0.375,0.125,1.0
qwen3_0_6b,qasper,64,-1,2,edit,8,0.9583333333333334,0.8125,0.8125,0.875,1.0
qwen3_0_6b,qasper,64,-1,2,embedding,8,0.6041666666666666,0.4375,0.5,0.375,1.0
qwen3_0_6b,qasper,64,-1,2,exact,8,1.0,0.9375,0.9375,1.0,1.0
qwen3_0_6b,qasper,64,-1,2,hybrid,8,0.5416666666666666,0.3125,0.5625,0.5,1.0
qwen3_0_6b,qasper,64,-1,2,ngram,8,0.7916666666666666,0.625,0.875,0.625,1.0
qwen3_0_6b,qasper,64,-1,2,semantic,8,0.6666666666666666,0.375,0.625,0.625,1.0
qwen3_0_6b,qasper,64,-1,4,approximate,8,1.0,0.71875,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-1,4,bm25,8,0.6458333333333334,0.34375,0.4895833333333333,0.5,1.0
qwen3_0_6b,qasper,64,-1,4,edit,8,1.0,0.71875,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-1,4,embedding,8,0.8125,0.4375,0.5,0.75,1.0
qwen3_0_6b,qasper,64,-1,4,exact,8,1.0,0.78125,0.9166666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-1,4,hybrid,8,0.8333333333333334,0.46875,0.6041666666666666,0.75,1.0
qwen3_0_6b,qasper,64,-1,4,ngram,8,1.0,0.5625,0.9375,1.0,1.0
qwen3_0_6b,qasper,64,-1,4,semantic,8,0.8333333333333334,0.46875,0.6666666666666666,0.75,1.0
qwen3_0_6b,qasper,64,-1,8,approximate,8,1.0,0.46875,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-1,8,bm25,8,0.9375,0.375,0.55,0.875,1.0
qwen3_0_6b,qasper,64,-1,8,edit,8,1.0,0.46875,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,64,-1,8,embedding,8,0.9375,0.421875,0.515625,0.875,1.0
qwen3_0_6b,qasper,64,-1,8,exact,8,1.0,0.40625,0.9,1.0,1.0
qwen3_0_6b,qasper,64,-1,8,hybrid,8,1.0,0.484375,0.6220238095238095,1.0,1.0
qwen3_0_6b,qasper,64,-1,8,ngram,8,1.0,0.453125,0.9375,1.0,1.0
qwen3_0_6b,qasper,64,-1,8,semantic,8,1.0,0.453125,0.6845238095238095,1.0,1.0
smollm2_135m,hotpotqa,16,-4,2,approximate,8,0.6875,0.75,1.0,0.375,1.0
smollm2_135m,hotpotqa,16,-4,2,bm25,8,0.5625,0.375,0.625,0.375,1.0
smollm2_135m,hotpotqa,16,-4,2,edit,8,0.6875,0.75,1.0,0.375,1.0
smollm2_135m,hotpotqa,16,-4,2,embedding,8,0.4375,0.375,0.4375,0.375,1.0
smollm2_135m,hotpotqa,16,-4,2,exact,8,0.375,0.375,0.5625,0.125,1.0
smollm2_135m,hotpotqa,16,-4,2,hybrid,8,0.5,0.375,0.5625,0.375,1.0
smollm2_135m,hotpotqa,16,-4,2,ngram,8,0.625,0.5,0.875,0.25,1.0
smollm2_135m,hotpotqa,16,-4,2,semantic,8,0.3125,0.3125,0.3125,0.25,1.0
smollm2_135m,hotpotqa,16,-4,4,approximate,8,0.75,0.4375,1.0,0.5,1.0
smollm2_135m,hotpotqa,16,-4,4,bm25,8,0.75,0.375,0.7291666666666666,0.5,1.0
smollm2_135m,hotpotqa,16,-4,4,edit,8,0.75,0.4375,1.0,0.5,1.0
smollm2_135m,hotpotqa,16,-4,4,embedding,8,0.5,0.21875,0.4583333333333333,0.375,1.0
smollm2_135m,hotpotqa,16,-4,4,exact,8,0.6875,0.40625,0.7083333333333334,0.375,1.0
smollm2_135m,hotpotqa,16,-4,4,hybrid,8,0.625,0.3125,0.6145833333333334,0.375,1.0
smollm2_135m,hotpotqa,16,-4,4,ngram,8,0.75,0.34375,0.8541666666666666,0.5,1.0
smollm2_135m,hotpotqa,16,-4,4,semantic,8,0.375,0.25,0.3541666666666667,0.25,1.0
smollm2_135m,hotpotqa,16,-4,8,approximate,8,0.9375,0.328125,1.0,0.875,1.0
smollm2_135m,hotpotqa,16,-4,8,bm25,8,0.875,0.28125,0.7125,0.75,1.0
smollm2_135m,hotpotqa,16,-4,8,edit,8,0.9375,0.328125,1.0,0.875,1.0
smollm2_135m,hotpotqa,16,-4,8,embedding,8,0.5625,0.140625,0.4375,0.5,1.0
smollm2_135m,hotpotqa,16,-4,8,exact,8,0.875,0.265625,0.6979166666666666,0.75,1.0
smollm2_135m,hotpotqa,16,-4,8,hybrid,8,0.875,0.265625,0.6072916666666667,0.75,1.0
smollm2_135m,hotpotqa,16,-4,8,ngram,8,0.875,0.28125,0.8541666666666666,0.75,1.0
smollm2_135m,hotpotqa,16,-4,8,semantic,8,0.75,0.21875,0.4354166666666667,0.5,1.0
smollm2_135m,hotpotqa,16,-1,2,approximate,8,0.6875,0.75,1.0,0.375,1.0
smollm2_135m,hotpotqa,16,-1,2,bm25,8,0.5625,0.375,0.625,0.375,1.0
smollm2_135m,hotpotqa,16,-1,2,edit,8,0.6875,0.75,1.0,0.375,1.0
smollm2_135m,hotpotqa,16,-1,2,embedding,8,0.4375,0.375,0.4375,0.375,1.0
smollm2_135m,hotpotqa,16,-1,2,exact,8,0.375,0.375,0.5625,0.125,1.0
smollm2_135m,hotpotqa,16,-1,2,hybrid,8,0.375,0.25,0.5,0.25,1.0
smollm2_135m,hotpotqa,16,-1,2,ngram,8,0.625,0.5,0.875,0.25,1.0
smollm2_135m,hotpotqa,16,-1,2,semantic,8,0.125,0.1875,0.1875,0.0,1.0
smollm2_135m,hotpotqa,16,-1,4,approximate,8,0.75,0.4375,1.0,0.5,1.0
smollm2_135m,hotpotqa,16,-1,4,bm25,8,0.75,0.375,0.7291666666666666,0.5,1.0
smollm2_135m,hotpotqa,16,-1,4,edit,8,0.75,0.4375,1.0,0.5,1.0
smollm2_135m,hotpotqa,16,-1,4,embedding,8,0.5,0.21875,0.4583333333333333,0.375,1.0
smollm2_135m,hotpotqa,16,-1,4,exact,8,0.6875,0.40625,0.7083333333333334,0.375,1.0
smollm2_135m,hotpotqa,16,-1,4,hybrid,8,0.5,0.25,0.5416666666666666,0.375,1.0
smollm2_135m,hotpotqa,16,-1,4,ngram,8,0.75,0.34375,0.8541666666666666,0.5,1.0
smollm2_135m,hotpotqa,16,-1,4,semantic,8,0.4375,0.28125,0.2916666666666667,0.25,1.0
smollm2_135m,hotpotqa,16,-1,8,approximate,8,0.9375,0.328125,1.0,0.875,1.0
smollm2_135m,hotpotqa,16,-1,8,bm25,8,0.875,0.28125,0.7125,0.75,1.0
smollm2_135m,hotpotqa,16,-1,8,edit,8,0.9375,0.328125,1.0,0.875,1.0
smollm2_135m,hotpotqa,16,-1,8,embedding,8,0.5625,0.140625,0.4375,0.5,1.0
smollm2_135m,hotpotqa,16,-1,8,exact,8,0.875,0.265625,0.6979166666666666,0.75,1.0
smollm2_135m,hotpotqa,16,-1,8,hybrid,8,0.875,0.28125,0.6395833333333333,0.75,1.0
smollm2_135m,hotpotqa,16,-1,8,ngram,8,0.875,0.28125,0.8541666666666666,0.75,1.0
smollm2_135m,hotpotqa,16,-1,8,semantic,8,0.6875,0.234375,0.36875,0.5,1.0
smollm2_135m,hotpotqa,32,-4,2,approximate,8,0.6875,0.5,0.875,0.5,1.0
smollm2_135m,hotpotqa,32,-4,2,bm25,8,0.6875,0.375,0.75,0.625,1.0
smollm2_135m,hotpotqa,32,-4,2,edit,8,0.6875,0.5,0.875,0.5,1.0
smollm2_135m,hotpotqa,32,-4,2,embedding,8,0.375,0.25,0.375,0.25,1.0
smollm2_135m,hotpotqa,32,-4,2,exact,8,0.75,0.5625,0.8125,0.5,1.0
smollm2_135m,hotpotqa,32,-4,2,hybrid,8,0.3125,0.1875,0.375,0.25,1.0
smollm2_135m,hotpotqa,32,-4,2,ngram,8,0.625,0.4375,0.6875,0.375,1.0
smollm2_135m,hotpotqa,32,-4,2,semantic,8,0.3125,0.25,0.375,0.25,1.0
smollm2_135m,hotpotqa,32,-4,4,approximate,8,0.6875,0.25,0.875,0.5,1.0
smollm2_135m,hotpotqa,32,-4,4,bm25,8,0.75,0.28125,0.8125,0.625,1.0
smollm2_135m,hotpotqa,32,-4,4,edit,8,0.6875,0.25,0.875,0.5,1.0
smollm2_135m,hotpotqa,32,-4,4,embedding,8,0.75,0.21875,0.5416666666666666,0.625,1.0
smollm2_135m,hotpotqa,32,-4,4,exact,8,0.8125,0.3125,0.7708333333333334,0.625,1.0
smollm2_135m,hotpotqa,32,-4,4,hybrid,8,0.8125,0.3125,0.5833333333333334,0.75,1.0
smollm2_135m,hotpotqa,32,-4,4,ngram,8,0.8125,0.375,0.75,0.625,1.0
smollm2_135m,hotpotqa,32,-4,4,semantic,8,0.3125,0.125,0.375,0.25,1.0
smollm2_135m,hotpotqa,32,-4,8,approximate,8,0.9375,0.21875,0.9,0.875,1.0
smollm2_135m,hotpotqa,32,-4,8,bm25,8,0.9375,0.234375,0.8541666666666666,0.875,1.0
smollm2_135m,hotpotqa,32,-4,8,edit,8,0.9375,0.21875,0.9,0.875,1.0
smollm2_135m,hotpotqa,32,-4,8,embedding,8,0.9375,0.1875,0.5666666666666667,0.875,1.0
smollm2_135m,hotpotqa,32,-4,8,exact,8,0.9375,0.21875,0.7708333333333334,0.875,1.0
smollm2_135m,hotpotqa,32,-4,8,hybrid,8,0.875,0.21875,0.5833333333333334,0.875,1.0
smollm2_135m,hotpotqa,32,-4,8,ngram,8,1.0,0.28125,0.75,1.0,1.0
smollm2_135m,hotpotqa,32,-4,8,semantic,8,0.8125,0.15625,0.5,0.75,1.0
smollm2_135m,hotpotqa,32,-1,2,approximate,8,0.6875,0.5,0.875,0.5,1.0
smollm2_135m,hotpotqa,32,-1,2,bm25,8,0.6875,0.375,0.75,0.625,1.0
smollm2_135m,hotpotqa,32,-1,2,edit,8,0.6875,0.5,0.875,0.5,1.0
smollm2_135m,hotpotqa,32,-1,2,embedding,8,0.375,0.25,0.375,0.25,1.0
smollm2_135m,hotpotqa,32,-1,2,exact,8,0.75,0.5625,0.8125,0.5,1.0
smollm2_135m,hotpotqa,32,-1,2,hybrid,8,0.3125,0.1875,0.3125,0.25,1.0
smollm2_135m,hotpotqa,32,-1,2,ngram,8,0.625,0.4375,0.6875,0.375,1.0
smollm2_135m,hotpotqa,32,-1,2,semantic,8,0.25,0.1875,0.25,0.25,1.0
smollm2_135m,hotpotqa,32,-1,4,approximate,8,0.6875,0.25,0.875,0.5,1.0
smollm2_135m,hotpotqa,32,-1,4,bm25,8,0.75,0.28125,0.8125,0.625,1.0
smollm2_135m,hotpotqa,32,-1,4,edit,8,0.6875,0.25,0.875,0.5,1.0
smollm2_135m,hotpotqa,32,-1,4,embedding,8,0.75,0.21875,0.5416666666666666,0.625,1.0
smollm2_135m,hotpotqa,32,-1,4,exact,8,0.8125,0.3125,0.7708333333333334,0.625,1.0
smollm2_135m,hotpotqa,32,-1,4,hybrid,8,0.6875,0.3125,0.5,0.625,1.0
smollm2_135m,hotpotqa,32,-1,4,ngram,8,0.8125,0.375,0.75,0.625,1.0
smollm2_135m,hotpotqa,32,-1,4,semantic,8,0.4375,0.1875,0.4166666666666667,0.25,1.0
smollm2_135m,hotpotqa,32,-1,8,approximate,8,0.9375,0.21875,0.9,0.875,1.0
smollm2_135m,hotpotqa,32,-1,8,bm25,8,0.9375,0.234375,0.8541666666666666,0.875,1.0
smollm2_135m,hotpotqa,32,-1,8,edit,8,0.9375,0.21875,0.9,0.875,1.0
smollm2_135m,hotpotqa,32,-1,8,embedding,8,0.9375,0.1875,0.5666666666666667,0.875,1.0
smollm2_135m,hotpotqa,32,-1,8,exact,8,0.9375,0.21875,0.7708333333333334,0.875,1.0
smollm2_135m,hotpotqa,32,-1,8,hybrid,8,1.0,0.25,0.6041666666666666,1.0,1.0
smollm2_135m,hotpotqa,32,-1,8,ngram,8,1.0,0.28125,0.75,1.0,1.0
smollm2_135m,hotpotqa,32,-1,8,semantic,8,0.9375,0.1875,0.5052083333333334,0.875,1.0
smollm2_135m,hotpotqa,64,-4,2,approximate,8,0.875,0.5,0.875,0.875,1.0
smollm2_135m,hotpotqa,64,-4,2,bm25,8,1.0,0.5,0.9375,1.0,1.0
smollm2_135m,hotpotqa,64,-4,2,edit,8,0.875,0.5,0.875,0.875,1.0
smollm2_135m,hotpotqa,64,-4,2,embedding,8,0.625,0.375,0.4375,0.625,1.0
smollm2_135m,hotpotqa,64,-4,2,exact,8,0.9375,0.5625,0.8125,0.875,1.0
smollm2_135m,hotpotqa,64,-4,2,hybrid,8,0.5,0.3125,0.375,0.5,1.0
smollm2_135m,hotpotqa,64,-4,2,ngram,8,1.0,0.5,0.875,1.0,1.0
smollm2_135m,hotpotqa,64,-4,2,semantic,8,0.375,0.25,0.25,0.375,1.0
smollm2_135m,hotpotqa,64,-4,4,approximate,8,0.9375,0.28125,0.9166666666666666,0.875,1.0
smollm2_135m,hotpotqa,64,-4,4,bm25,8,1.0,0.25,0.9166666666666666,1.0,1.0
smollm2_135m,hotpotqa,64,-4,4,edit,8,0.9375,0.28125,0.9166666666666666,0.875,1.0
smollm2_135m,hotpotqa,64,-4,4,embedding,8,0.875,0.25,0.5,0.875,1.0
smollm2_135m,hotpotqa,64,-4,4,exact,8,1.0,0.34375,0.8125,1.0,1.0
smollm2_135m,hotpotqa,64,-4,4,hybrid,8,0.625,0.21875,0.4166666666666667,0.625,1.0
smollm2_135m,hotpotqa,64,-4,4,ngram,8,1.0,0.3125,0.875,1.0,1.0
smollm2_135m,hotpotqa,64,-4,4,semantic,8,0.625,0.1875,0.3541666666666667,0.625,1.0
smollm2_135m,hotpotqa,64,-4,8,approximate,8,0.9375,0.15625,0.9,0.875,1.0
smollm2_135m,hotpotqa,64,-4,8,bm25,8,1.0,0.15625,0.9166666666666666,1.0,1.0
smollm2_135m,hotpotqa,64,-4,8,edit,8,0.9375,0.15625,0.9,0.875,1.0
smollm2_135m,hotpotqa,64,-4,8,embedding,8,1.0,0.171875,0.5011904761904762,1.0,1.0
smollm2_135m,hotpotqa,64,-4,8,exact,8,1.0,0.171875,0.8125,1.0,1.0
smollm2_135m,hotpotqa,64,-4,8,hybrid,8,1.0,0.1875,0.4895833333333333,1.0,1.0
smollm2_135m,hotpotqa,64,-4,8,ngram,8,1.0,0.1875,0.875,1.0,1.0
smollm2_135m,hotpotqa,64,-4,8,semantic,8,0.9375,0.171875,0.39404761904761904,0.875,1.0
smollm2_135m,hotpotqa,64,-1,2,approximate,8,0.875,0.5,0.875,0.875,1.0
smollm2_135m,hotpotqa,64,-1,2,bm25,8,1.0,0.5,0.9375,1.0,1.0
smollm2_135m,hotpotqa,64,-1,2,edit,8,0.875,0.5,0.875,0.875,1.0
smollm2_135m,hotpotqa,64,-1,2,embedding,8,0.625,0.375,0.4375,0.625,1.0
smollm2_135m,hotpotqa,64,-1,2,exact,8,0.9375,0.5625,0.8125,0.875,1.0
smollm2_135m,hotpotqa,64,-1,2,hybrid,8,0.5,0.3125,0.3125,0.5,1.0
smollm2_135m,hotpotqa,64,-1,2,ngram,8,1.0,0.5,0.875,1.0,1.0
smollm2_135m,hotpotqa,64,-1,2,semantic,8,0.375,0.25,0.25,0.375,1.0
smollm2_135m,hotpotqa,64,-1,4,approximate,8,0.9375,0.28125,0.9166666666666666,0.875,1.0
smollm2_135m,hotpotqa,64,-1,4,bm25,8,1.0,0.25,0.9166666666666666,1.0,1.0
smollm2_135m,hotpotqa,64,-1,4,edit,8,0.9375,0.28125,0.9166666666666666,0.875,1.0
smollm2_135m,hotpotqa,64,-1,4,embedding,8,0.875,0.25,0.5,0.875,1.0
smollm2_135m,hotpotqa,64,-1,4,exact,8,1.0,0.34375,0.8125,1.0,1.0
smollm2_135m,hotpotqa,64,-1,4,hybrid,8,0.625,0.21875,0.375,0.625,1.0
smollm2_135m,hotpotqa,64,-1,4,ngram,8,1.0,0.3125,0.875,1.0,1.0
smollm2_135m,hotpotqa,64,-1,4,semantic,8,0.75,0.21875,0.3645833333333333,0.75,1.0
smollm2_135m,hotpotqa,64,-1,8,approximate,8,0.9375,0.15625,0.9,0.875,1.0
smollm2_135m,hotpotqa,64,-1,8,bm25,8,1.0,0.15625,0.9166666666666666,1.0,1.0
smollm2_135m,hotpotqa,64,-1,8,edit,8,0.9375,0.15625,0.9,0.875,1.0
smollm2_135m,hotpotqa,64,-1,8,embedding,8,1.0,0.171875,0.5011904761904762,1.0,1.0
smollm2_135m,hotpotqa,64,-1,8,exact,8,1.0,0.171875,0.8125,1.0,1.0
smollm2_135m,hotpotqa,64,-1,8,hybrid,8,1.0,0.1875,0.4895833333333333,1.0,1.0
smollm2_135m,hotpotqa,64,-1,8,ngram,8,1.0,0.1875,0.875,1.0,1.0
smollm2_135m,hotpotqa,64,-1,8,semantic,8,1.0,0.1875,0.4107142857142857,1.0,1.0
smollm2_135m,qasper,16,-4,2,approximate,8,0.7708333333333334,0.8125,0.8125,0.625,1.0
smollm2_135m,qasper,16,-4,2,bm25,8,0.3333333333333333,0.3125,0.375,0.125,1.0
smollm2_135m,qasper,16,-4,2,edit,8,0.7708333333333334,0.8125,0.8125,0.625,1.0
smollm2_135m,qasper,16,-4,2,embedding,8,0.6041666666666666,0.375,0.5,0.5,1.0
smollm2_135m,qasper,16,-4,2,exact,8,0.7291666666666666,0.8125,0.8125,0.5,1.0
smollm2_135m,qasper,16,-4,2,hybrid,8,0.375,0.3125,0.5625,0.125,1.0
smollm2_135m,qasper,16,-4,2,ngram,8,0.7708333333333334,0.5625,0.875,0.625,1.0
smollm2_135m,qasper,16,-4,2,semantic,8,0.4375,0.375,0.5625,0.25,1.0
smollm2_135m,qasper,16,-4,4,approximate,8,0.8541666666666666,0.6875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,16,-4,4,bm25,8,0.5833333333333334,0.40625,0.40625,0.375,1.0
smollm2_135m,qasper,16,-4,4,edit,8,0.8541666666666666,0.6875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,16,-4,4,embedding,8,0.6458333333333334,0.34375,0.5833333333333334,0.5,1.0
smollm2_135m,qasper,16,-4,4,exact,8,0.7291666666666666,0.71875,0.8125,0.5,1.0
smollm2_135m,qasper,16,-4,4,hybrid,8,0.7291666666666666,0.4375,0.6666666666666666,0.5,1.0
smollm2_135m,qasper,16,-4,4,ngram,8,0.9166666666666666,0.53125,0.8541666666666666,0.75,1.0
smollm2_135m,qasper,16,-4,4,semantic,8,0.6666666666666666,0.375,0.6875,0.375,1.0
smollm2_135m,qasper,16,-4,8,approximate,8,0.8958333333333334,0.671875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,16,-4,8,bm25,8,0.7291666666666666,0.359375,0.40625,0.625,1.0
smollm2_135m,qasper,16,-4,8,edit,8,0.8958333333333334,0.671875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,16,-4,8,embedding,8,0.7916666666666666,0.3125,0.5875,0.5,1.0
smollm2_135m,qasper,16,-4,8,exact,8,0.8333333333333334,0.5625,0.8125,0.75,1.0
smollm2_135m,qasper,16,-4,8,hybrid,8,0.8333333333333334,0.40625,0.6666666666666666,0.75,1.0
smollm2_135m,qasper,16,-4,8,ngram,8,0.9166666666666666,0.515625,0.8541666666666666,0.75,1.0
smollm2_135m,qasper,16,-4,8,semantic,8,0.9583333333333334,0.390625,0.71875,0.875,1.0
smollm2_135m,qasper,16,-1,2,approximate,8,0.7708333333333334,0.8125,0.8125,0.625,1.0
smollm2_135m,qasper,16,-1,2,bm25,8,0.3333333333333333,0.3125,0.375,0.125,1.0
smollm2_135m,qasper,16,-1,2,edit,8,0.7708333333333334,0.8125,0.8125,0.625,1.0
smollm2_135m,qasper,16,-1,2,embedding,8,0.6041666666666666,0.375,0.5,0.5,1.0
smollm2_135m,qasper,16,-1,2,exact,8,0.7291666666666666,0.8125,0.8125,0.5,1.0
smollm2_135m,qasper,16,-1,2,hybrid,8,0.4583333333333333,0.375,0.625,0.25,1.0
smollm2_135m,qasper,16,-1,2,ngram,8,0.7708333333333334,0.5625,0.875,0.625,1.0
smollm2_135m,qasper,16,-1,2,semantic,8,0.4791666666666667,0.4375,0.5,0.375,1.0
smollm2_135m,qasper,16,-1,4,approximate,8,0.8541666666666666,0.6875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,16,-1,4,bm25,8,0.5833333333333334,0.40625,0.40625,0.375,1.0
smollm2_135m,qasper,16,-1,4,edit,8,0.8541666666666666,0.6875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,16,-1,4,embedding,8,0.6458333333333334,0.34375,0.5833333333333334,0.5,1.0
smollm2_135m,qasper,16,-1,4,exact,8,0.7291666666666666,0.71875,0.8125,0.5,1.0
smollm2_135m,qasper,16,-1,4,hybrid,8,0.6458333333333334,0.34375,0.6041666666666666,0.5,1.0
smollm2_135m,qasper,16,-1,4,ngram,8,0.9166666666666666,0.53125,0.8541666666666666,0.75,1.0
smollm2_135m,qasper,16,-1,4,semantic,8,0.6666666666666666,0.3125,0.625,0.5,1.0
smollm2_135m,qasper,16,-1,8,approximate,8,0.8958333333333334,0.671875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,16,-1,8,bm25,8,0.7291666666666666,0.359375,0.40625,0.625,1.0
smollm2_135m,qasper,16,-1,8,edit,8,0.8958333333333334,0.671875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,16,-1,8,embedding,8,0.7916666666666666,0.3125,0.5875,0.5,1.0
smollm2_135m,qasper,16,-1,8,exact,8,0.8333333333333334,0.5625,0.8125,0.75,1.0
smollm2_135m,qasper,16,-1,8,hybrid,8,0.9583333333333334,0.4375,0.6770833333333334,0.875,1.0
smollm2_135m,qasper,16,-1,8,ngram,8,0.9166666666666666,0.515625,0.8541666666666666,0.75,1.0
smollm2_135m,qasper,16,-1,8,semantic,8,0.8333333333333334,0.359375,0.625,0.75,1.0
smollm2_135m,qasper,32,-4,2,approximate,8,0.7291666666666666,0.6875,0.6875,0.5,1.0
smollm2_135m,qasper,32,-4,2,bm25,8,0.4583333333333333,0.3125,0.4375,0.25,1.0
smollm2_135m,qasper,32,-4,2,edit,8,0.7291666666666666,0.6875,0.6875,0.5,1.0
smollm2_135m,qasper,32,-4,2,embedding,8,0.3958333333333333,0.3125,0.375,0.25,1.0
smollm2_135m,qasper,32,-4,2,exact,8,0.7291666666666666,0.8125,0.8125,0.5,1.0
smollm2_135m,qasper,32,-4,2,hybrid,8,0.6875,0.4375,0.75,0.5,1.0
smollm2_135m,qasper,32,-4,2,ngram,8,0.6875,0.625,0.8125,0.5,1.0
smollm2_135m,qasper,32,-4,2,semantic,8,0.625,0.4375,0.625,0.375,1.0
smollm2_135m,qasper,32,-4,4,approximate,8,0.9375,0.8125,0.7291666666666666,0.875,1.0
smollm2_135m,qasper,32,-4,4,bm25,8,0.6458333333333334,0.4375,0.4583333333333333,0.5,1.0
smollm2_135m,qasper,32,-4,4,edit,8,0.9375,0.8125,0.7291666666666666,0.875,1.0
smollm2_135m,qasper,32,-4,4,embedding,8,0.625,0.40625,0.4895833333333333,0.375,1.0
smollm2_135m,qasper,32,-4,4,exact,8,0.8333333333333334,0.6875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,32,-4,4,hybrid,8,0.7916666666666666,0.4375,0.75,0.625,1.0
smollm2_135m,qasper,32,-4,4,ngram,8,0.9583333333333334,0.625,0.8541666666666666,0.875,1.0
smollm2_135m,qasper,32,-4,4,semantic,8,0.7291666666666666,0.40625,0.6875,0.5,1.0
smollm2_135m,qasper,32,-4,8,approximate,8,1.0,0.640625,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,32,-4,8,bm25,8,0.8125,0.375,0.47291666666666665,0.75,1.0
smollm2_135m,qasper,32,-4,8,edit,8,1.0,0.640625,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,32,-4,8,embedding,8,0.9583333333333334,0.40625,0.5145833333333333,0.875,1.0
smollm2_135m,qasper,32,-4,8,exact,8,1.0,0.515625,0.8095238095238095,1.0,1.0
smollm2_135m,qasper,32,-4,8,hybrid,8,0.9375,0.40625,0.7604166666666666,0.875,1.0
smollm2_135m,qasper,32,-4,8,ngram,8,0.9583333333333334,0.53125,0.8541666666666666,0.875,1.0
smollm2_135m,qasper,32,-4,8,semantic,8,0.9375,0.375,0.7291666666666666,0.875,1.0
smollm2_135m,qasper,32,-1,2,approximate,8,0.7291666666666666,0.6875,0.6875,0.5,1.0
smollm2_135m,qasper,32,-1,2,bm25,8,0.4583333333333333,0.3125,0.4375,0.25,1.0
smollm2_135m,qasper,32,-1,2,edit,8,0.7291666666666666,0.6875,0.6875,0.5,1.0
smollm2_135m,qasper,32,-1,2,embedding,8,0.3958333333333333,0.3125,0.375,0.25,1.0
smollm2_135m,qasper,32,-1,2,exact,8,0.7291666666666666,0.8125,0.8125,0.5,1.0
smollm2_135m,qasper,32,-1,2,hybrid,8,0.3958333333333333,0.3125,0.4375,0.25,1.0
smollm2_135m,qasper,32,-1,2,ngram,8,0.6875,0.625,0.8125,0.5,1.0
smollm2_135m,qasper,32,-1,2,semantic,8,0.3541666666666667,0.25,0.4375,0.25,1.0
smollm2_135m,qasper,32,-1,4,approximate,8,0.9375,0.8125,0.7291666666666666,0.875,1.0
smollm2_135m,qasper,32,-1,4,bm25,8,0.6458333333333334,0.4375,0.4583333333333333,0.5,1.0
smollm2_135m,qasper,32,-1,4,edit,8,0.9375,0.8125,0.7291666666666666,0.875,1.0
smollm2_135m,qasper,32,-1,4,embedding,8,0.625,0.40625,0.4895833333333333,0.375,1.0
smollm2_135m,qasper,32,-1,4,exact,8,0.8333333333333334,0.6875,0.7916666666666666,0.75,1.0
smollm2_135m,qasper,32,-1,4,hybrid,8,0.75,0.34375,0.5208333333333334,0.625,1.0
smollm2_135m,qasper,32,-1,4,ngram,8,0.9583333333333334,0.625,0.8541666666666666,0.875,1.0
smollm2_135m,qasper,32,-1,4,semantic,8,0.7083333333333334,0.4375,0.625,0.5,1.0
smollm2_135m,qasper,32,-1,8,approximate,8,1.0,0.640625,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,32,-1,8,bm25,8,0.8125,0.375,0.47291666666666665,0.75,1.0
smollm2_135m,qasper,32,-1,8,edit,8,1.0,0.640625,0.7291666666666666,1.0,1.0
smollm2_135m,qasper,32,-1,8,embedding,8,0.9583333333333334,0.40625,0.5145833333333333,0.875,1.0
smollm2_135m,qasper,32,-1,8,exact,8,1.0,0.515625,0.8095238095238095,1.0,1.0
smollm2_135m,qasper,32,-1,8,hybrid,8,0.9583333333333334,0.421875,0.5625,0.875,1.0
smollm2_135m,qasper,32,-1,8,ngram,8,0.9583333333333334,0.53125,0.8541666666666666,0.875,1.0
smollm2_135m,qasper,32,-1,8,semantic,8,0.8541666666666666,0.421875,0.6666666666666666,0.625,1.0
smollm2_135m,qasper,64,-4,2,approximate,8,0.9583333333333334,0.75,0.75,0.875,1.0
