model,dataset,chunk_tokens,routing_layer_offset,chunk_budget,channel,examples,evidence_recall,precision,mrr,complete_recovery,scored_candidate_fraction
qwen3_0_6b,qasper,16,-4,4,bm25,8,0.625,0.34375,0.5104166666666666,0.375,1.0
qwen3_0_6b,qasper,16,-4,4,edit,8,0.9166666666666666,0.78125,0.8541666666666666,0.875,1.0
qwen3_0_6b,qasper,16,-4,4,embedding,8,0.6666666666666666,0.46875,0.5208333333333334,0.375,1.0
qwen3_0_6b,qasper,16,-4,4,exact,8,0.7708333333333334,0.71875,0.875,0.625,1.0
qwen3_0_6b,qasper,16,-4,4,hybrid,8,0.7083333333333334,0.5,0.6041666666666666,0.5,1.0
qwen3_0_6b,qasper,16,-4,4,ngram,8,1.0,0.5625,0.875,1.0,1.0
qwen3_0_6b,qasper,16,-4,4,semantic,8,0.6041666666666666,0.375,0.6041666666666666,0.5,1.0
qwen3_0_6b,qasper,16,-4,8,approximate,8,0.9583333333333334,0.734375,0.84375,0.875,1.0
qwen3_0_6b,qasper,16,-4,8,bm25,8,0.7291666666666666,0.40625,0.5208333333333334,0.5,1.0
qwen3_0_6b,qasper,16,-4,8,edit,8,0.9583333333333334,0.734375,0.84375,0.875,1.0
qwen3_0_6b,qasper,16,-4,8,embedding,8,0.7083333333333334,0.421875,0.5041666666666667,0.5,1.0
qwen3_0_6b,qasper,16,-4,8,exact,8,0.9583333333333334,0.5625,0.890625,0.875,1.0
qwen3_0_6b,qasper,16,-4,8,hybrid,8,0.8125,0.484375,0.59375,0.75,1.0
qwen3_0_6b,qasper,16,-4,8,ngram,8,1.0,0.546875,0.875,1.0,1.0
qwen3_0_6b,qasper,16,-4,8,semantic,8,0.7708333333333334,0.40625,0.6291666666666667,0.625,1.0
qwen3_0_6b,qasper,16,-1,2,approximate,8,0.8333333333333334,0.875,0.875,0.75,1.0
qwen3_0_6b,qasper,16,-1,2,bm25,8,0.5833333333333334,0.4375,0.5,0.375,1.0
qwen3_0_6b,qasper,16,-1,2,edit,8,0.8333333333333334,0.875,0.875,0.75,1.0
qwen3_0_6b,qasper,16,-1,2,embedding,8,0.3958333333333333,0.3125,0.375,0.25,1.0
qwen3_0_6b,qasper,16,-1,2,exact,8,0.7291666666666666,0.8125,0.875,0.5,1.0
qwen3_0_6b,qasper,16,-1,2,hybrid,8,0.4583333333333333,0.3125,0.5,0.25,1.0
qwen3_0_6b,qasper,16,-1,2,ngram,8,0.8541666666666666,0.6875,0.875,0.625,1.0
qwen3_0_6b,qasper,16,-1,2,semantic,8,0.5208333333333334,0.375,0.5625,0.375,1.0
qwen3_0_6b,qasper,16,-1,4,approximate,8,0.9166666666666666,0.78125,0.8541666666666666,0.875,1.0
qwen3_0_6b,qasper,16,-1,4,bm25,8,0.625,0.34375,0.5104166666666666,0.375,1.0
qwen3_0_6b,qasper,16,-1,4,edit,8,0.9166666666666666,0.78125,0.8541666666666666,0.875,1.0
qwen3_0_6b,qasper,16,-1,4,embedding,8,0.6666666666666666,0.46875,0.5208333333333334,0.375,1.0
qwen3_0_6b,qasper,16,-1,4,exact,8,0.7708333333333334,0.71875,0.875,0.625,1.0
qwen3_0_6b,qasper,16,-1,4,hybrid,8,0.7291666666666666,0.46875,0.6041666666666666,0.5,1.0
qwen3_0_6b,qasper,16,-1,4,ngram,8,1.0,0.5625,0.875,1.0,1.0
qwen3_0_6b,qasper,16,-1,4,semantic,8,0.7083333333333334,0.34375,0.6041666666666666,0.625,1.0
qwen3_0_6b,qasper,16,-1,8,approximate,8,0.9583333333333334,0.734375,0.84375,0.875,1.0
qwen3_0_6b,qasper,16,-1,8,bm25,8,0.7291666666666666,0.40625,0.5208333333333334,0.5,1.0
qwen3_0_6b,qasper,16,-1,8,edit,8,0.9583333333333334,0.734375,0.84375,0.875,1.0
qwen3_0_6b,qasper,16,-1,8,embedding,8,0.7083333333333334,0.421875,0.5041666666666667,0.5,1.0
qwen3_0_6b,qasper,16,-1,8,exact,8,0.9583333333333334,0.5625,0.890625,0.875,1.0
qwen3_0_6b,qasper,16,-1,8,hybrid,8,0.8333333333333334,0.4375,0.5833333333333334,0.75,1.0
qwen3_0_6b,qasper,16,-1,8,ngram,8,1.0,0.546875,0.875,1.0,1.0
qwen3_0_6b,qasper,16,-1,8,semantic,8,0.8333333333333334,0.375,0.6458333333333334,0.75,1.0
qwen3_0_6b,qasper,32,-4,2,approximate,8,0.7916666666666666,0.6875,0.75,0.625,1.0
qwen3_0_6b,qasper,32,-4,2,bm25,8,0.2916666666666667,0.25,0.25,0.125,1.0
qwen3_0_6b,qasper,32,-4,2,edit,8,0.7916666666666666,0.6875,0.75,0.625,1.0
qwen3_0_6b,qasper,32,-4,2,embedding,8,0.3125,0.3125,0.5,0.125,1.0
qwen3_0_6b,qasper,32,-4,2,exact,8,0.7708333333333334,0.875,0.875,0.625,1.0
qwen3_0_6b,qasper,32,-4,2,hybrid,8,0.5,0.375,0.5625,0.25,1.0
qwen3_0_6b,qasper,32,-4,2,ngram,8,0.5208333333333334,0.5,0.6875,0.375,1.0
qwen3_0_6b,qasper,32,-4,2,semantic,8,0.5,0.375,0.5625,0.25,1.0
qwen3_0_6b,qasper,32,-4,4,approximate,8,1.0,0.8125,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,32,-4,4,bm25,8,0.5833333333333334,0.34375,0.34375,0.375,1.0
qwen3_0_6b,qasper,32,-4,4,edit,8,1.0,0.8125,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,32,-4,4,embedding,8,0.7083333333333334,0.40625,0.6354166666666666,0.5,1.0
qwen3_0_6b,qasper,32,-4,4,exact,8,0.7708333333333334,0.71875,0.875,0.625,1.0
qwen3_0_6b,qasper,32,-4,4,hybrid,8,0.7708333333333334,0.4375,0.5833333333333334,0.625,1.0
qwen3_0_6b,qasper,32,-4,4,ngram,8,0.9583333333333334,0.53125,0.8125,0.875,1.0
qwen3_0_6b,qasper,32,-4,4,semantic,8,0.7083333333333334,0.40625,0.5625,0.5,1.0
qwen3_0_6b,qasper,32,-4,8,approximate,8,1.0,0.640625,0.78125,1.0,1.0
qwen3_0_6b,qasper,32,-4,8,bm25,8,0.8125,0.375,0.375,0.75,1.0
qwen3_0_6b,qasper,32,-4,8,edit,8,1.0,0.640625,0.78125,1.0,1.0
qwen3_0_6b,qasper,32,-4,8,embedding,8,0.8125,0.4375,0.6354166666666666,0.75,1.0
qwen3_0_6b,qasper,32,-4,8,exact,8,1.0,0.484375,0.9,1.0,1.0
qwen3_0_6b,qasper,32,-4,8,hybrid,8,0.7708333333333334,0.390625,0.5625,0.625,1.0
qwen3_0_6b,qasper,32,-4,8,ngram,8,0.9583333333333334,0.5,0.8125,0.875,1.0
qwen3_0_6b,qasper,32,-4,8,semantic,8,0.7708333333333334,0.390625,0.5520833333333334,0.625,1.0
qwen3_0_6b,qasper,32,-1,2,approximate,8,0.7916666666666666,0.6875,0.75,0.625,1.0
qwen3_0_6b,qasper,32,-1,2,bm25,8,0.2916666666666667,0.25,0.25,0.125,1.0
qwen3_0_6b,qasper,32,-1,2,edit,8,0.7916666666666666,0.6875,0.75,0.625,1.0
qwen3_0_6b,qasper,32,-1,2,embedding,8,0.3125,0.3125,0.5,0.125,1.0
qwen3_0_6b,qasper,32,-1,2,exact,8,0.7708333333333334,0.875,0.875,0.625,1.0
qwen3_0_6b,qasper,32,-1,2,hybrid,8,0.6041666666666666,0.375,0.5625,0.5,1.0
qwen3_0_6b,qasper,32,-1,2,ngram,8,0.5208333333333334,0.5,0.6875,0.375,1.0
qwen3_0_6b,qasper,32,-1,2,semantic,8,0.5416666666666666,0.375,0.5625,0.375,1.0
qwen3_0_6b,qasper,32,-1,4,approximate,8,1.0,0.8125,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,32,-1,4,bm25,8,0.5833333333333334,0.34375,0.34375,0.375,1.0
qwen3_0_6b,qasper,32,-1,4,edit,8,1.0,0.8125,0.7916666666666666,1.0,1.0
qwen3_0_6b,qasper,32,-1,4,embedding,8,0.7083333333333334,0.40625,0.6354166666666666,0.5,1.0
qwen3_0_6b,qasper,32,-1,4,exact,8,0.7708333333333334,0.71875,0.875,0.625,1.0
qwen3_0_6b,qasper,32,-1,4,hybrid,8,0.5833333333333334,0.28125,0.4791666666666667,0.5,1.0
qwen3_0_6b,qasper,32,-1,4,ngram,8,0.9583333333333334,0.53125,0.8125,0.875,1.0
qwen3_0_6b,qasper,32,-1,4,semantic,8,0.5208333333333334,0.28125,0.46875,0.375,1.0
qwen3_0_6b,qasper,32,-1,8,approximate,8,1.0,0.640625,0.78125,1.0,1.0
qwen3_0_6b,qasper,32,-1,8,bm25,8,0.8125,0.375,0.375,0.75,1.0
qwen3_0_6b,qasper,32,-1,8,edit,8,1.0,0.640625,0.78125,1.0,1.0
qwen3_0_6b,qasper,32,-1,8,embedding,8,0.8125,0.4375,0.6354166666666666,0.75,1.0
qwen3_0_6b,qasper,32,-1,8,exact,8,1.0,0.484375,0.9,1.0,1.0
qwen3_0_6b,qasper,32,-1,8,hybrid,8,0.7916666666666666,0.40625,0.5416666666666666,0.625,1.0
