dataset,model_tier,stage,setting,split_count,encoding_block_references,position_policy,requested_distance,oracle_mode,seed_count,example_count,loss_mean,loss_std,loss_median,token_accuracy_mean,token_accuracy_std,token_accuracy_median,rcb_mean,rcb_std,rcb_median,retrieval_key_rmse_vs_exact_mean,retrieval_key_rmse_vs_exact_std,retrieval_key_rmse_vs_exact_median,memory_attention_mass_mean,memory_attention_mass_std,memory_attention_mass_median,memory_last_query_attention_mass_mean,memory_last_query_attention_mass_std,memory_last_query_attention_mass_median,memory_attention_entropy_mean,memory_attention_entropy_std,memory_attention_entropy_median,memory_attention_max_weight_mean,memory_attention_max_weight_std,memory_attention_max_weight_median,retrieval_logit_rmse_vs_exact_mean,retrieval_logit_rmse_vs_exact_std,retrieval_logit_rmse_vs_exact_median,retrieval_attention_l1_vs_exact_mean,retrieval_attention_l1_vs_exact_std,retrieval_attention_l1_vs_exact_median,retrieval_top_token_agreement_vs_exact_mean,retrieval_top_token_agreement_vs_exact_std,retrieval_top_token_agreement_vs_exact_median,recall_at_k_mean,recall_at_k_std,recall_at_k_median,routing_mrr_mean,routing_mrr_std,routing_mrr_median,retrieved_physical_kv_tokens_mean,retrieved_physical_kv_tokens_std,retrieved_physical_kv_tokens_median,original_logical_distance_mean,original_logical_distance_std,original_logical_distance_median,effective_distance_mean,effective_distance_std,effective_distance_median,maximum_native_operation_mean,maximum_native_operation_std,maximum_native_operation_median,native_limit_violations_mean,native_limit_violations_std,native_limit_violations_median
hotpotqa,tiny,distance,split5_block4_oracle,5,4,exact,,native_oracle,5,60,0.06548172570765018,0.011384144843989332,0.061650532918671765,1.0,0.0,1.0,0.9955844014074995,0.004439814959517688,0.9986709448094174,0.0,0.0,0.0,0.8553623671332995,0.013352380135284787,0.8651251147190729,0.8096175397435825,0.05655492083724495,0.8394796972473463,3.0141085704167687,0.10440995122985282,3.012205799420675,0.8695258177816868,0.154707360527746,0.9717767735322317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,87.25,0.0,87.25,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,fixed_1024,1024,native_oracle,5,60,1.1854817515860003,0.5574550940012549,0.9869556867827972,0.5,0.0,0.5,0.22840924253843342,0.13047425581503203,0.2070385914120094,0.9259367922941844,0.04171642216623942,0.9179231772820154,0.8406821231047312,0.009950069499288828,0.846008688211441,0.744162130355835,0.04691041313908395,0.758660356203715,3.18905712167422,0.03162907873917912,3.178771416346232,0.3540506203969319,0.08982089087418466,0.3525642901659012,6.671783156196277,1.4783637505576248,7.407518565654755,1.5693042675654092,0.12288525695520235,1.5905595322450001,0.08958333333333333,0.05535554273161009,0.052083333333333336,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,1024.0,0.0,1024.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,fixed_128,128,native_oracle,5,60,0.06333125308156014,0.010362259982707452,0.06176909369726976,1.0,0.0,1.0,0.9975954921931042,0.00301576156614308,0.9990381843887599,0.6690873617927233,0.023707046248905628,0.6594132855534554,0.8515792459249496,0.01186504001682872,0.858261172970136,0.7991469308733941,0.05270500371912495,0.8329741110404333,3.0584759076436363,0.08112063536881998,3.049187352259954,0.839240001142025,0.14348597147570363,0.8673670589923859,2.9084799895683924,0.6476969234030867,2.8017362356185913,0.8435695922623078,0.1240421027239155,0.8904374067982038,0.475,0.13938107236398112,0.4895833333333333,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,128.0,0.0,128.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,fixed_2048,2048,native_oracle,5,60,0.12429846009860437,0.06857415337953257,0.09310651446382205,1.0,0.0,1.0,0.9606004963964377,0.034703404917983245,0.9798775798698491,0.6903602336843809,0.02507093887223679,0.67850278566281,0.8488845398028693,0.010371443537448483,0.8538271163900694,0.7865021884441376,0.04921423003562121,0.8076712290445963,3.1149841407934824,0.06791564584895958,3.1014380852381387,0.6735470741987228,0.2047198200058061,0.636923232426246,4.008373200893402,0.8843233790295968,3.920279249548912,0.973909010613958,0.11647549251039274,0.9030760955065489,0.38958333333333334,0.10976616560266242,0.40625,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,2048.0,0.0,2048.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,fixed_256,256,native_oracle,5,60,0.06378689675281446,0.011441725599935983,0.06089194770902395,1.0,0.0,1.0,0.9969316053552972,0.004242735527401839,0.9994032205885094,0.691188570857048,0.027471820560606493,0.6807858074704806,0.8497431625922521,0.010227083858926189,0.8572107950846354,0.7911541864275933,0.047577672339866595,0.8201138079166412,3.085044240951538,0.0695093730992917,3.0683206021785736,0.7817476364473502,0.15061717175454262,0.7235844830671946,3.5368477980295814,0.8100116144022258,3.422902246316274,0.9045239275942245,0.1031991631330707,0.9365522513786951,0.4395833333333333,0.14364428479948502,0.4166666666666667,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,256.0,0.0,256.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,fixed_32,32,native_oracle,5,60,0.06663770924011866,0.012482916497929757,0.0628891388575236,1.0,0.0,1.0,0.9946497419806958,0.006162606526453997,0.9977716430791895,0.6319257294138273,0.02889515799988345,0.6226956434547901,0.8495636502901712,0.009854090833769976,0.8543655524651209,0.7888028179605803,0.04534753938841802,0.7937208985288938,3.067023692528407,0.0730733869107643,3.051492909590403,0.8452241445581118,0.15129286574948023,0.9258255809545517,3.2095160533984504,0.8060477132443897,2.9548153281211853,0.8471123293042183,0.1550735960722726,0.7959278995792071,0.4645833333333333,0.11740835669671142,0.4375,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,32.0,0.0,32.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,fixed_4096,4096,native_oracle,5,60,0.8281836336478591,0.44411754033499873,0.8039218690246344,0.65,0.2,0.5,0.4934932815100592,0.14838687797551123,0.4026605399530216,0.8615133861700693,0.036147517966031405,0.8465520292520523,0.8432889233032862,0.011694587120188357,0.8512648617227873,0.7572467898329098,0.05362002386114074,0.7879166156053543,3.193376306692759,0.0256185323080753,3.1826618909835815,0.31973668187856674,0.10141474521529788,0.33975167324145633,5.821095976233482,1.3291254422663874,5.64974503715833,1.4216551254192988,0.12606260387730878,1.4581066121657689,0.17708333333333331,0.05103103630798287,0.15625,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,4096.0,0.0,4096.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,fixed_512,512,native_oracle,5,60,0.07335944784184298,0.013084955418479517,0.07370475182930629,1.0,0.0,1.0,0.9893348512833869,0.007239802664716813,0.9931348246582609,0.7564624175429344,0.028960592633126624,0.7485283290346464,0.8478803550203642,0.010876229044281344,0.8529305532574654,0.7818809534112613,0.049963719747702424,0.8072287167112032,3.1181185881296796,0.06786330866476283,3.1027476092179618,0.6686303518712521,0.13486945343937873,0.669409554451704,4.364393398165703,0.8395969404339865,4.487675537665685,1.0771000113338232,0.08027452056277981,1.0715664699673653,0.31666666666666665,0.0904752114608686,0.3541666666666667,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,512.0,0.0,512.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,fixed_64,64,native_oracle,5,60,0.06572809120019277,0.014934608309441424,0.06129941747834285,1.0,0.0,1.0,0.9947781735614665,0.00839535658244912,0.9992336465174901,0.6014257428546746,0.017733240041547534,0.5930082773168882,0.8516412566105525,0.011282648945199312,0.8591017574071884,0.7974045932292938,0.05082778993470762,0.8254233102003733,3.048287049929301,0.08528424193001978,3.040263911088308,0.8598627833028635,0.1493102485568501,0.9431707014640173,2.666200751066208,0.6191532600856458,2.4844672083854675,0.7556254165867964,0.13451177468137684,0.7851069333652655,0.5083333333333333,0.11494261853444766,0.5104166666666666,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,64.0,0.0,64.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
hotpotqa,tiny,distance,split5_block4_oracle,5,4,local,,native_oracle,5,60,0.13471464396764837,0.07759362909412197,0.0979090699305137,0.9666666666666666,0.06666666666666665,1.0,0.9483604881040474,0.051589741183370605,0.9824028721810908,0.7634097973505656,0.038968779486233944,0.7509061768651009,0.8429254000385603,0.007596631110717563,0.8474262083570162,0.7590697184205055,0.03498617046516263,0.7643858889738718,3.1343726495901745,0.04592369847730389,3.1290535628795624,0.7067779767016569,0.12523743345859956,0.7449873859683672,4.883364008863767,1.3943730548679163,4.460151935617129,1.1199068536361056,0.10814454326437123,1.0940945148468018,0.32916666666666666,0.09895285072531598,0.3229166666666667,1.0,0.0,1.0,1.0,0.0,1.0,23.583333333333332,0.0,23.583333333333332,87.25,0.0,87.25,1.0,0.0,1.0,102.83333333333333,0.0,102.83333333333333,0.0,0.0,0.0
