git_sha,dataset,model_tier,seed,tokenizer_fingerprint,stage,setting,example_id,split_count,encoding_block_references,encoding_context_tokens,routing_chunk_tokens,materialization_budget,k_storage_mode,position_policy,requested_distance,original_logical_distance,effective_distance,distance_over_training_context,distance_over_model_operation_limit,oracle_mode,loss,token_accuracy,sa_full_loss,sa_tail_loss,rcb,retrieval_key_rmse_vs_exact,memory_attention_mass,memory_last_query_attention_mass,memory_attention_entropy,memory_attention_max_weight,retrieval_logit_rmse_vs_exact,retrieval_attention_l1_vs_exact,retrieval_top_token_agreement_vs_exact,recall_at_k,routing_mrr,retrieved_physical_kv_tokens,maximum_native_operation,model_operation_limit,native_limit_violations
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5adfa12c554299025d62a301,5,4,98,24.0,160,pre_position_deferred,local,,82.0,1.0,0.00390625,0.00390625,native_oracle,0.056163493543863297,1.0,0.055014015485843025,1.6583466678857803,0.9992830695138032,0.6323627531528473,0.8405895233154297,0.7397748827934265,3.158118724822998,0.7709313631057739,3.7443438172340393,1.022520512342453,0.375,1.0,1.0,24.0,98,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5ab54056554299488d4d9923,5,4,113,27.0,160,pre_position_deferred,local,,94.0,1.0,0.00390625,0.00390625,native_oracle,0.27264872193336487,1.0,0.055014015485843025,1.6583466678857803,0.8642610402016344,0.8286273777484894,0.8553383648395538,0.7538941502571106,3.2291178703308105,0.9029345512390137,4.7383235692977905,1.2721872925758362,0.25,1.0,1.0,27.0,113,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5ab66e1355429954757d32b2,5,4,104,18.0,160,pre_position_deferred,local,,94.0,1.0,0.00390625,0.00390625,native_oracle,0.9490454196929932,0.0,0.055014015485843025,1.6583466678857803,0.44239181877265116,0.836172878742218,0.7983306646347046,0.658774733543396,2.933493971824646,0.6878482103347778,5.896537899971008,1.479830265045166,0.125,1.0,1.0,18.0,104,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5ae39fb85542990afbd1e197,5,4,89,18.0,160,pre_position_deferred,local,,79.0,1.0,0.00390625,0.00390625,native_oracle,0.057471632957458496,1.0,0.055014015485843025,1.6583466678857803,0.9984671817991501,0.693512499332428,0.8002741038799286,0.6793813109397888,2.9581165313720703,0.5280770659446716,4.196208596229553,0.9491130411624908,0.625,1.0,1.0,18.0,89,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5a80d1ce554299260e20a178,5,4,98,28.0,160,pre_position_deferred,local,,78.0,1.0,0.00390625,0.00390625,native_oracle,0.057901035994291306,1.0,0.055014015485843025,1.6583466678857803,0.9981993627435162,0.64896360039711,0.8588254451751709,0.7741392552852631,3.269897937774658,0.8865991830825806,3.5163435339927673,0.995374858379364,0.375,1.0,1.0,28.0,98,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5ae34a225542992e3233c370,5,4,110,21.0,160,pre_position_deferred,local,,97.0,1.0,0.00390625,0.00390625,native_oracle,0.05671105906367302,1.0,0.055014015485843025,1.6583466678857803,0.998941552412539,0.7601345181465149,0.8219811022281647,0.7100505828857422,3.0631463527679443,0.7246856093406677,3.557904064655304,0.7902436256408691,0.5,1.0,1.0,21.0,110,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5ab7af9d5542993667793fe9,5,4,99,23.0,160,pre_position_deferred,local,,84.0,1.0,0.00390625,0.00390625,native_oracle,0.05625027045607567,1.0,0.055014015485843025,1.6583466678857803,0.9992289466765476,0.6754579246044159,0.8295607268810272,0.7185098528862,3.1143280267715454,0.800826907157898,3.9032167196273804,0.9384984374046326,0.25,1.0,1.0,23.0,99,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5a80e47d55429938b6142238,5,4,101,24.0,160,pre_position_deferred,local,,85.0,1.0,0.00390625,0.00390625,native_oracle,0.611677348613739,1.0,0.055014015485843025,1.6583466678857803,0.6528085844851607,0.800288200378418,0.8362255394458771,0.7226020693778992,3.157618999481201,0.7852748036384583,4.88765287399292,1.2869415283203125,0.125,1.0,1.0,24.0,101,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5adea62e55429975fa854f3b,5,4,105,32.0,160,pre_position_deferred,local,,81.0,1.0,0.00390625,0.00390625,native_oracle,0.08595907688140869,1.0,0.055014015485843025,1.6583466678857803,0.9806995377102525,0.6822846531867981,0.870267391204834,0.7767322063446045,3.361407995223999,0.9227292537689209,4.179022192955017,0.9575477838516235,0.375,1.0,1.0,32.0,105,256,0
03c9566ebbd7b746ecbba1f4bdae41e9cbdc67b6,hotpotqa,tiny,1,cbc5253fb90c25c2a282773b05bf89b4cdf17ada16b98c0a4dd1e66b2b872f39,distance,split5_block4_oracle,hotpotqa-5abb14d85542996cc5e49f92,5,4,100,21.0,160,pre_position_deferred,local,,87.0,1.0,0.00390625,0.00390625,native_oracle,0.835175633430481,0.0,0.055014015485843025,1.6583466678857803,0.5134125056476219,0.8375449776649475,0.8177239894866943,0.6818518042564392,3.0509077310562134,0.7352259755134583,5.283055663108826,1.2959482073783875,0.25,1.0,1.0,21.0,100,256,0
