active_layer_tokens_mean,address_index_bytes_mean,candidate,case_count,consumer_layer_count,consumer_layer_fraction,delta_vs_full_context_mean,delta_vs_no_memory_mean,detail_kv_bytes_mean,family,latency_seconds_mean,max_abs_logit_error_vs_full_max,model_id,model_key,physical_layers,revision,target_log_probability_mean,target_rank_mean
7.0,2304.0,last_1,3,1,0.25,-7.817557116349538,1.3743235270182292,7168.0,gemma3,0.2727687666968753,10.8134765625,google/gemma-3-1b-it,gemma,[23],dcc83ea841ab6100d6b47a070329e1ba4cf78752,-7.919191360473633,72.33333333333333
28.0,2304.0,all_layers,3,4,1.0,-0.03798656600217024,9.153894077365598,28672.0,gemma3,0.30998539994470775,9.541015625,google/gemma-3-1b-it,gemma,"[5, 11, 17, 23]",dcc83ea841ab6100d6b47a070329e1ba4cf78752,-0.1396208101262649,1.0
28.0,2304.0,early_4,3,4,1.0,-0.03798656600217024,9.153894077365598,28672.0,gemma3,0.27317780007918674,9.541015625,google/gemma-3-1b-it,gemma,"[5, 11, 17, 23]",dcc83ea841ab6100d6b47a070329e1ba4cf78752,-0.1396208101262649,1.0
28.0,2304.0,even_4,3,4,1.0,-0.03798656600217024,9.153894077365598,28672.0,gemma3,0.3283411666440467,9.541015625,google/gemma-3-1b-it,gemma,"[5, 11, 17, 23]",dcc83ea841ab6100d6b47a070329e1ba4cf78752,-0.1396208101262649,1.0
28.0,2304.0,last_4,3,4,1.0,-0.03798656600217024,9.153894077365598,28672.0,gemma3,0.28497873339802027,9.541015625,google/gemma-3-1b-it,gemma,"[5, 11, 17, 23]",dcc83ea841ab6100d6b47a070329e1ba4cf78752,-0.1396208101262649,1.0
28.0,2304.0,middle_4,3,4,1.0,-0.03798656600217024,9.153894077365598,28672.0,gemma3,0.2631169999949634,9.541015625,google/gemma-3-1b-it,gemma,"[5, 11, 17, 23]",dcc83ea841ab6100d6b47a070329e1ba4cf78752,-0.1396208101262649,1.0
6.666666666666667,4096.0,last_1,3,1,0.0625,-2.708121180534363,0.13522202769915262,13653.333333333334,llama,0.28387459996156394,6.6328125,unsloth/Llama-3.2-1B,llama,[15],9535bd9b1d1dea6acafbdc4813b728796aeb28da,-3.5255430142084756,16.666666666666668
26.666666666666668,4096.0,early_4,3,4,0.25,-6.351498047510783,-3.5081548392772675,54613.333333333336,llama,0.26820099997955066,13.505859375,unsloth/Llama-3.2-1B,llama,"[0, 1, 2, 3]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-7.1689198811848955,49.666666666666664
26.666666666666668,4096.0,even_4,3,4,0.25,-7.066380898157756,-4.22303768992424,54613.333333333336,llama,0.2707571332187702,13.171875,unsloth/Llama-3.2-1B,llama,"[0, 5, 10, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-7.883802731831868,886.0
26.666666666666668,4096.0,last_4,3,4,0.25,-2.4372713565826416,0.40607185165087384,54613.333333333336,llama,0.2618329332520564,6.73046875,unsloth/Llama-3.2-1B,llama,"[12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-3.2546931902567544,10.666666666666666
