active_layer_tokens_mean,address_index_bytes_mean,candidate,detail_kv_bytes_mean,model_key
7.0,2304.0,last_1,7168.0,gemma
28.0,2304.0,all_layers,28672.0,gemma
28.0,2304.0,early_4,28672.0,gemma
28.0,2304.0,even_4,28672.0,gemma
28.0,2304.0,last_4,28672.0,gemma
28.0,2304.0,middle_4,28672.0,gemma
6.666666666666667,4096.0,last_1,13653.333333333334,llama
26.666666666666668,4096.0,early_4,54613.333333333336,llama
26.666666666666668,4096.0,even_4,54613.333333333336,llama
26.666666666666668,4096.0,last_4,54613.333333333336,llama
26.666666666666668,4096.0,middle_4,54613.333333333336,llama
53.333333333333336,4096.0,early_8,109226.66666666667,llama
53.333333333333336,4096.0,even_8,109226.66666666667,llama
53.333333333333336,4096.0,last_8,109226.66666666667,llama
53.333333333333336,4096.0,middle_8,109226.66666666667,llama
80.0,4096.0,last_12,163840.0,llama
93.33333333333333,4096.0,last_14,191146.66666666666,llama
106.66666666666667,4096.0,all_layers,218453.33333333334,llama
106.66666666666667,4096.0,last_16,218453.33333333334,llama
7.0,2048.0,last_1,28672.0,qwen
28.0,2048.0,early_4,114688.0,qwen
28.0,2048.0,even_4,114688.0,qwen
28.0,2048.0,last_4,114688.0,qwen
28.0,2048.0,middle_4,114688.0,qwen
56.0,2048.0,early_8,229376.0,qwen
56.0,2048.0,even_8,229376.0,qwen
56.0,2048.0,last_8,229376.0,qwen
56.0,2048.0,middle_8,229376.0,qwen
84.0,2048.0,last_12,344064.0,qwen
98.0,2048.0,last_14,401408.0,qwen
112.0,2048.0,last_16,458752.0,qwen
140.0,2048.0,last_20,573440.0,qwen
168.0,2048.0,last_24,688128.0,qwen
196.0,2048.0,all_layers,802816.0,qwen
