gemma,llama,objective,portable_profile_name,qwen
all_layers,all_layers,reference_correctness,True,all_layers
all_layers,all_layers,quality_max,False,last_24
all_layers,all_layers,balanced,True,all_layers
last_1,last_1,economy,True,last_1
