left,right,identities,top1_effect,bootstrap_ci_low,bootstrap_ci_high,discordant_left_wins,discordant_right_wins,exact_two_sided_p
P3_tags,P1_bm25,144,0.3958333333333333,0.2986111111111111,0.5,67,10,1.696740832819895e-11
P8_lexical_dictionary_embedding,P1_bm25,144,0.3819444444444444,0.3055555555555556,0.4652777777777778,55,0,5.551115123125783e-17
external_dictionary,native_mean_k,144,0.6875,0.6041666666666666,0.7638888888888888,101,2,1.05648196731724e-27
external_dictionary,native_token_qk,144,0.6805555555555556,0.5972222222222222,0.7638888888888888,100,2,2.072337598015598e-27
external_dictionary,paper2_8_rank16_zero_shot,144,0.6875,0.6111111111111112,0.7638888888888888,99,0,3.1554436208840472e-30
