mode,label,overlap_bin,mean_token_overlap,mean_lexical_distance,queries,top1
P1_bm25,BM25,zero,0.0,1.0,75,0.06666666666666667
P1_bm25,BM25,low,0.07975155219737264,0.9202484478026275,11,0.36363636363636365
P1_bm25,BM25,medium,0.15624952683776216,0.843750473162238,37,0.5945945945945946
P1_bm25,BM25,high,0.45018896447467877,0.5498110355253211,21,0.9047619047619048
P2_dictionary,Dictionary,zero,0.0,1.0,75,0.6533333333333333
P2_dictionary,Dictionary,low,0.07975155219737264,0.9202484478026275,11,0.6363636363636364
P2_dictionary,Dictionary,medium,0.15624952683776216,0.843750473162238,37,0.7837837837837838
P2_dictionary,Dictionary,high,0.45018896447467877,0.5498110355253211,21,0.9523809523809523
P5_english_embedding,English embedding,zero,0.0,1.0,75,0.37333333333333335
P5_english_embedding,English embedding,low,0.07975155219737264,0.9202484478026275,11,0.7272727272727273
P5_english_embedding,English embedding,medium,0.15624952683776216,0.843750473162238,37,0.7027027027027027
P5_english_embedding,English embedding,high,0.45018896447467877,0.5498110355253211,21,0.9047619047619048
P8_lexical_dictionary_embedding,Hybrid,zero,0.0,1.0,75,0.6266666666666667
P8_lexical_dictionary_embedding,Hybrid,low,0.07975155219737264,0.9202484478026275,11,0.5454545454545454
P8_lexical_dictionary_embedding,Hybrid,medium,0.15624952683776216,0.843750473162238,37,0.8378378378378378
P8_lexical_dictionary_embedding,Hybrid,high,0.45018896447467877,0.5498110355253211,21,1.0
