mode,label,language,queries,top1,mrr,recall_at_3
P0_token,Token,en,90,0.3,0.43807880209840994,0.43333333333333335
P0_token,Token,es,18,0.2222222222222222,0.3464362026862027,0.3888888888888889
P0_token,Token,fr,18,0.2222222222222222,0.3440494146376499,0.3333333333333333
P0_token,Token,pt,18,0.1111111111111111,0.3002663458545812,0.3333333333333333
P1_bm25,BM25,en,90,0.4444444444444444,0.5622008238674905,0.5888888888888889
P1_bm25,BM25,es,18,0.16666666666666666,0.3441344149677483,0.3888888888888889
P1_bm25,BM25,fr,18,0.16666666666666666,0.3473090181423515,0.3888888888888889
P1_bm25,BM25,pt,18,0.2222222222222222,0.37458174541507877,0.3888888888888889
P2_dictionary,Dictionary,en,90,0.6333333333333333,0.7316789383456049,0.7888888888888889
P2_dictionary,Dictionary,es,18,0.8888888888888888,0.9444444444444444,1.0
P2_dictionary,Dictionary,fr,18,0.8888888888888888,0.9444444444444444,1.0
P2_dictionary,Dictionary,pt,18,0.8888888888888888,0.9444444444444444,1.0
P3_tags,Tags,en,90,0.5888888888888889,0.7171988196988197,0.8
P3_tags,Tags,es,18,1.0,1.0,1.0
P3_tags,Tags,fr,18,1.0,1.0,1.0
P3_tags,Tags,pt,18,1.0,1.0,1.0
P5_english_embedding,English embedding,en,90,0.6777777777777778,0.7822442680776015,0.8555555555555555
P5_english_embedding,English embedding,es,18,0.2777777777777778,0.47469654528478056,0.5555555555555556
P5_english_embedding,English embedding,fr,18,0.4444444444444444,0.5518043684710352,0.6111111111111112
P5_english_embedding,English embedding,pt,18,0.3888888888888889,0.5171406525573192,0.5555555555555556
P6_multilingual_embedding,Multilingual embedding,en,90,0.5777777777777777,0.70082383665717,0.7777777777777778
P6_multilingual_embedding,Multilingual embedding,es,18,0.5555555555555556,0.6749118165784833,0.7777777777777778
P6_multilingual_embedding,Multilingual embedding,fr,18,0.3888888888888889,0.6082451499118167,0.7777777777777778
P6_multilingual_embedding,Multilingual embedding,pt,18,0.6111111111111112,0.7354938271604938,0.8333333333333334
P8_lexical_dictionary_embedding,Hybrid,en,90,0.5888888888888889,0.7048280423280424,0.8
P8_lexical_dictionary_embedding,Hybrid,es,18,1.0,1.0,1.0
P8_lexical_dictionary_embedding,Hybrid,fr,18,1.0,1.0,1.0
P8_lexical_dictionary_embedding,Hybrid,pt,18,0.8888888888888888,0.9444444444444444,1.0
P10_staged_external,Staged,en,90,0.5888888888888889,0.704457671957672,0.8
P10_staged_external,Staged,es,18,1.0,1.0,1.0
P10_staged_external,Staged,fr,18,1.0,1.0,1.0
P10_staged_external,Staged,pt,18,0.8888888888888888,0.9444444444444444,1.0
