mode,label,hardness_level,queries,top1,mrr,recall_at_3
P0_token,Token,H0,18,0.7777777777777778,0.8888888888888888,1.0
P0_token,Token,H1,18,0.2222222222222222,0.37319064377887906,0.3333333333333333
P0_token,Token,H2,18,0.2222222222222222,0.32393796744286946,0.2222222222222222
P0_token,Token,H3,18,0.05555555555555555,0.2583684062850729,0.2777777777777778
P0_token,Token,H4,18,0.2222222222222222,0.34600810409633936,0.3333333333333333
P0_token,Token,H5,54,0.18518518518518517,0.3302506543928112,0.35185185185185186
P1_bm25,BM25,H0,18,0.8888888888888888,0.9277777777777777,0.9444444444444444
P1_bm25,BM25,H1,18,0.5,0.6020743145743146,0.6111111111111112
P1_bm25,BM25,H2,18,0.3333333333333333,0.46957533207533214,0.5
P1_bm25,BM25,H3,18,0.2222222222222222,0.3821214279547613,0.4444444444444444
P1_bm25,BM25,H4,18,0.2777777777777778,0.429455266955267,0.4444444444444444
P1_bm25,BM25,H5,54,0.18518518518518517,0.35534172617505955,0.3888888888888889
P2_dictionary,Dictionary,H0,18,0.8888888888888888,0.925925925925926,0.9444444444444444
P2_dictionary,Dictionary,H1,18,0.8888888888888888,0.9042735042735042,0.8888888888888888
P2_dictionary,Dictionary,H2,18,0.5,0.6389550264550264,0.7777777777777778
P2_dictionary,Dictionary,H3,18,0.4444444444444444,0.5738081363081363,0.6111111111111112
P2_dictionary,Dictionary,H4,18,0.4444444444444444,0.615432098765432,0.7222222222222222
P2_dictionary,Dictionary,H5,54,0.8888888888888888,0.9444444444444444,1.0
P3_tags,Tags,H0,18,0.8888888888888888,0.9185185185185184,0.9444444444444444
P3_tags,Tags,H1,18,0.6111111111111112,0.7379629629629628,0.8333333333333334
P3_tags,Tags,H2,18,0.3888888888888889,0.6071174196174195,0.7777777777777778
P3_tags,Tags,H3,18,0.5,0.6052655677655677,0.6111111111111112
P3_tags,Tags,H4,18,0.5555555555555556,0.7171296296296297,0.8333333333333334
P3_tags,Tags,H5,54,1.0,1.0,1.0
P5_english_embedding,English embedding,H0,18,0.8888888888888888,0.9351851851851851,1.0
P5_english_embedding,English embedding,H1,18,0.7222222222222222,0.8042328042328042,0.8333333333333334
P5_english_embedding,English embedding,H2,18,0.6111111111111112,0.7389550264550265,0.8333333333333334
P5_english_embedding,English embedding,H3,18,0.7222222222222222,0.7841710758377425,0.7777777777777778
P5_english_embedding,English embedding,H4,18,0.4444444444444444,0.6486772486772486,0.8333333333333334
P5_english_embedding,English embedding,H5,54,0.37037037037037035,0.514547188771045,0.5740740740740741
P6_multilingual_embedding,Multilingual embedding,H0,18,0.9444444444444444,0.9555555555555555,0.9444444444444444
P6_multilingual_embedding,Multilingual embedding,H1,18,0.7222222222222222,0.8055555555555556,0.8888888888888888
P6_multilingual_embedding,Multilingual embedding,H2,18,0.4444444444444444,0.6086716524216524,0.7222222222222222
P6_multilingual_embedding,Multilingual embedding,H3,18,0.5,0.6570987654320988,0.7777777777777778
P6_multilingual_embedding,Multilingual embedding,H4,18,0.2777777777777778,0.4772376543209877,0.5555555555555556
P6_multilingual_embedding,Multilingual embedding,H5,54,0.5185185185185185,0.672883597883598,0.7962962962962963
P8_lexical_dictionary_embedding,Hybrid,H0,18,0.9444444444444444,0.9537037037037037,0.9444444444444444
P8_lexical_dictionary_embedding,Hybrid,H1,18,0.6111111111111112,0.7361111111111112,0.8888888888888888
P8_lexical_dictionary_embedding,Hybrid,H2,18,0.6666666666666666,0.769047619047619,0.8888888888888888
P8_lexical_dictionary_embedding,Hybrid,H3,18,0.3333333333333333,0.5138888888888888,0.7222222222222222
P8_lexical_dictionary_embedding,Hybrid,H4,18,0.3888888888888889,0.5513888888888889,0.5555555555555556
P8_lexical_dictionary_embedding,Hybrid,H5,54,0.9629629629629629,0.9814814814814815,1.0
P10_staged_external,Staged,H0,18,0.9444444444444444,0.9537037037037037,0.9444444444444444
P10_staged_external,Staged,H1,18,0.6111111111111112,0.7361111111111112,0.8888888888888888
P10_staged_external,Staged,H2,18,0.6666666666666666,0.7690476190476191,0.8888888888888888
P10_staged_external,Staged,H3,18,0.3333333333333333,0.5138888888888888,0.7222222222222222
P10_staged_external,Staged,H4,18,0.3888888888888889,0.549537037037037,0.5555555555555556
P10_staged_external,Staged,H5,54,0.9629629629629629,0.9814814814814815,1.0
