mode,label,queries,top1,mrr,recall_at_3,recall_at_5,median_latency_ms,p95_latency_ms,index_bytes,model_bytes
external_lexical_bm25,BM25,144,0.3472222222222222,0.4846286622328289,0.5138888888888888,0.5902777777777778,8.564400020986795,13.992880145087838,13427,0
external_dictionary,Tags,144,0.7430555555555556,0.8232492623117623,0.875,0.9166666666666666,8.564400020986795,13.992880145087838,5141,0
external_compact_embedding,English embedding,144,0.5625,0.6818578633376428,0.75,0.8125,12.274100020637409,17.70258014473845,27648,133440000
external_hybrid_p8,Hybrid,144,0.7291666666666666,0.808573082010582,0.875,0.9444444444444444,12.274100020637409,17.70258014473845,83507,133440000
native_mean_k,Native mean K,144,0.05555555555555555,0.2330048168743022,0.3125,0.4444444444444444,116.72635015565902,125.15048502245918,36864,1192099840
native_token_qk,Native token QK,144,0.0625,0.22012266453136548,0.18055555555555555,0.3680555555555556,115.94000004697591,124.18224496068433,3328000,1192099840
paper2_8_rank16_zero_shot,P2.8 rank-16,144,0.05555555555555555,0.19431228833802364,0.16666666666666666,0.2777777777777778,122.92875011917204,131.23791506513953,52000,1192099840
paper2_8_rank8_centroids_zero_shot,P2.8 rank-8/8c,144,0.04861111111111111,0.1903293307092327,0.16666666666666666,0.2777777777777778,1658.3742500515655,1708.8590800529346,2304,1192099840
