annotated_depth,chunk_size,oracle_parents,root_evidence_fraction,H0_recall,H1_recall,H2_recall,H3_recall,H4_recall,complete_recovery,mean_minimum_native_depth,nodes_expanded,selected_source_fraction
2,16,17.666666666666668,0.07032159591625978,0.5,1.0,1.0,1.0,1.0,1.0,1.0,9.5,0.05975922677729686
2,32,9.5,0.13991538979467386,0.5,1.0,1.0,1.0,1.0,1.0,1.0,10.833333333333334,0.13281508518348453
2,64,5.666666666666667,0.2677515520502331,0.5,1.0,1.0,1.0,1.0,1.0,1.0,11.333333333333334,0.2773002834386183
2,128,4.0,0.3589074312322728,0.5,0.9166666666666666,1.0,1.0,1.0,1.0,1.1666666666666667,10.666666666666666,0.5226774957377379
2,256,3.1666666666666665,0.3811304169997885,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.666666666666667,0.984115165053363
3,16,24.666666666666668,0.07321820485903777,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,10.0,0.0672629927721463
3,32,13.833333333333334,0.13997089247669622,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,9.833333333333334,0.13190190516529007
3,64,8.0,0.222348410819734,0.5,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.3333333333333333,1.5,9.833333333333334,0.26336379157147183
3,128,5.5,0.3171049383065074,0.5555555555555555,0.8888888888888888,0.9444444444444445,0.9444444444444445,0.9444444444444445,0.8333333333333334,1.2,9.5,0.505476453783135
3,256,3.8333333333333335,0.4803028048306706,0.611111111111111,0.9444444444444445,1.0,1.0,1.0,1.0,1.0,7.5,0.9408035991637306
4,16,40.833333333333336,0.05401206625084731,0.375,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.3333333333333333,1.5,10.5,0.061004527876507654
4,32,21.666666666666668,0.10802413250169463,0.375,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.3333333333333333,1.5,11.0,0.12823523008822652
4,64,12.333333333333334,0.19992147963131468,0.4166666666666667,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,1.25,10.5,0.2447695496633665
4,128,7.666666666666667,0.2645015946454074,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,10.833333333333334,0.5115452939651307
4,256,5.0,0.33072079556467043,0.4583333333333333,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,1.5,8.5,0.9134147271320496
