dataset,example_id,partition,annotated_hops,graph_type,seed,node_id,parent_id,facet_count,max_facet_score,top2_facet_score,winning_facet,path_facet_coverage,incremental_facet_coverage
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,11,0,8,13,0.025587379932403564,0.024103783071041107,10,0.9770764708518982,0.9770764708518982
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,11,1,3,13,-0.1580609530210495,-0.18245238065719604,0,0.9770764708518982,0.0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,23,0,8,13,0.3942840099334717,0.3815074563026428,10,0.878422737121582,0.878422737121582
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,23,1,3,13,0.32539692521095276,0.32121920585632324,10,0.9493800401687622,0.07095730304718018
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,37,0,8,13,-0.00977158360183239,-0.031196676194667816,6,0.979561448097229,0.979561448097229
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,37,1,3,13,-0.18532896041870117,-0.1978280395269394,10,0.979561448097229,0.0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,53,0,8,13,0.14646126329898834,0.1461060643196106,0,0.9430822134017944,0.9430822134017944
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,53,1,3,13,0.05712452903389931,0.04607477784156799,2,0.9430822134017944,0.0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,71,0,8,13,0.3895792067050934,0.357624351978302,12,0.886139452457428,0.886139452457428
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,71,1,3,13,0.34619075059890747,0.3079669177532196,12,0.9032851457595825,0.01714569330215454
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,11,0,3,20,-0.16361616551876068,-0.1673075556755066,4,0.0,0.0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,11,1,2,20,-0.0689397007226944,-0.0707094818353653,4,0.43423396348953247,0.43423396348953247
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,23,0,3,20,-0.052655212581157684,-0.07104599475860596,18,0.0,0.0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,23,1,2,20,0.13505566120147705,0.12829336524009705,18,0.5283704996109009,0.5283704996109009
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,37,0,3,20,-0.11094147711992264,-0.1389378160238266,4,0.005142146721482277,0.005142146721482277
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,37,1,2,20,-0.03873522952198982,-0.057938940823078156,4,0.48616892099380493,0.48102677427232265
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,53,0,3,20,0.015827704221010208,0.008232633583247662,4,1.7260637832805514e-05,1.7260637832805514e-05
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,53,1,2,20,0.14745379984378815,0.1314505636692047,5,0.4024929404258728,0.40247567978804
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,71,0,3,20,-0.05825893208384514,-0.0798925831913948,9,0.0317259356379509,0.0317259356379509
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,71,1,2,20,0.12761324644088745,0.10139253735542297,19,0.704254150390625,0.6725282147526741
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,11,0,3,19,-0.08951897919178009,-0.11007383465766907,6,0.6841475367546082,0.6841475367546082
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,11,1,2,19,-0.003880217671394348,-0.08874409645795822,0,0.8152234554290771,0.131075918674469
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,23,0,3,19,0.3565148413181305,0.33956190943717957,6,0.8082137107849121,0.8082137107849121
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,23,1,2,19,0.41975295543670654,0.38933664560317993,0,0.9816099405288696,0.17339622974395752
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,37,0,3,19,-0.12302660942077637,-0.13804607093334198,5,0.41352078318595886,0.41352078318595886
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,37,1,2,19,-0.17040236294269562,-0.17921580374240875,10,0.7590446472167969,0.345523864030838
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,53,0,3,19,0.16786739230155945,0.14547774195671082,6,0.5898334980010986,0.5898334980010986
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,53,1,2,19,-0.002282986417412758,-0.023070774972438812,0,0.707114040851593,0.11728054285049438
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,71,0,3,19,0.18283744156360626,0.17885413765907288,3,0.4994916319847107,0.4994916319847107
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,independent,71,1,2,19,0.21517395973205566,0.19507691264152527,12,0.5600578188896179,0.06056618690490723
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,11,0,7,18,0.2266845703125,0.1024453341960907,0,0.4790056645870209,0.4790056645870209
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,11,1,0,18,0.21708834171295166,0.19758588075637817,6,0.8835950493812561,0.40458938479423523
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,23,0,7,18,0.4100303649902344,0.40530067682266235,0,0.5633871555328369,0.5633871555328369
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,23,1,0,18,0.3131571114063263,0.26460155844688416,5,0.5963582992553711,0.03297114372253418
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,37,0,7,18,-0.14320304989814758,-0.14338825643062592,6,0.4546470642089844,0.4546470642089844
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,37,1,0,18,0.08465741574764252,0.08384357392787933,6,0.9863932132720947,0.5317461490631104
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,53,0,7,18,0.1776810884475708,0.17182698845863342,0,0.6113856434822083,0.6113856434822083
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,53,1,0,18,0.29915833473205566,0.2951051592826843,6,0.925602376461029,0.3142167329788208
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,71,0,7,18,0.3065715730190277,0.23496627807617188,17,0.5779275298118591,0.5779275298118591
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,independent,71,1,0,18,0.29205694794654846,0.23161369562149048,17,0.8909676671028137,0.3130401372909546
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,branching,11,0,1,20,0.22330212593078613,0.1321638822555542,0,0.7284402847290039,0.7284402847290039
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,branching,11,1,0,20,0.48547667264938354,0.2698328495025635,0,0.7899038195610046,0.06146353483200073
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,branching,11,2,6,20,0.09777487814426422,0.09535850584506989,11,0.8839932680130005,0.09408944845199585
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,branching,11,3,6,20,0.09777487814426422,0.09535850584506989,11,0.8839932680130005,0.0
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,branching,11,4,2,20,0.27804407477378845,0.20719167590141296,0,0.9783481359481812,0.09435486793518066
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,branching,23,0,1,20,0.47629252076148987,0.46881306171417236,0,0.8098804354667664,0.8098804354667664
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,branching,23,1,0,20,0.5791230201721191,0.46601101756095886,0,0.8190591931343079,0.009178757667541504
