dataset,chunk_size,K,B,complete_recovery,node_recall,selected_source_fraction,evidence_density,nodes_expanded
musique,16,1,6,0.3333333333333333,0.6435185185185186,0.021847672232616876,0.5268518518518518,3.4444444444444446
musique,16,1,16,0.3333333333333333,0.6435185185185186,0.021847672232616876,0.5268518518518518,3.4444444444444446
musique,16,1,none,0.3333333333333333,0.6435185185185186,0.021847672232616876,0.5268518518518518,3.4444444444444446
musique,16,2,6,0.3333333333333333,0.6712962962962963,0.0313377078148912,0.3943287037037037,4.666666666666667
musique,16,2,16,0.3333333333333333,0.6712962962962963,0.03229974787467563,0.3848627645502646,5.111111111111111
musique,16,2,none,0.3333333333333333,0.6712962962962963,0.03229974787467563,0.3848627645502646,5.111111111111111
musique,16,4,6,0.3888888888888889,0.7175925925925926,0.037919654045710294,0.359375,2.7777777777777777
musique,16,4,16,0.3888888888888889,0.7592592592592592,0.05308871827006009,0.28667515933140936,8.444444444444445
musique,16,4,none,0.3888888888888889,0.7592592592592592,0.05308871827006009,0.28667515933140936,8.444444444444445
musique,16,6,6,0.3888888888888889,0.7453703703703703,0.037919654045710294,0.390625,2.0
musique,16,6,16,0.5,0.8194444444444444,0.06267558247531695,0.25808782267115604,10.0
musique,16,6,none,0.5,0.8194444444444444,0.06267558247531695,0.25808782267115604,10.0
musique,16,8,6,0.3888888888888889,0.7453703703703703,0.037919654045710294,0.390625,2.0
musique,16,8,16,0.5,0.8194444444444444,0.07495433837648108,0.23925339706589707,11.444444444444445
musique,16,8,none,0.5,0.8194444444444444,0.07495433837648108,0.23925339706589707,11.777777777777779
musique,32,1,6,0.2222222222222222,0.6018518518518519,0.048549028870583266,0.4370659722222222,3.7777777777777777
musique,32,1,16,0.2222222222222222,0.6018518518518519,0.048549028870583266,0.4370659722222222,3.7777777777777777
musique,32,1,none,0.2222222222222222,0.6018518518518519,0.048549028870583266,0.4370659722222222,3.7777777777777777
musique,32,2,6,0.2777777777777778,0.6666666666666666,0.06549047038415538,0.3667534722222222,4.555555555555555
musique,32,2,16,0.3333333333333333,0.6990740740740741,0.07012835910406401,0.36538938492063494,5.555555555555555
musique,32,2,none,0.3333333333333333,0.6990740740740741,0.07012835910406401,0.36538938492063494,5.555555555555555
musique,32,4,6,0.3333333333333333,0.6944444444444444,0.07492245518900813,0.3534722222222222,2.888888888888889
musique,32,4,16,0.4444444444444444,0.787037037037037,0.11145005011409857,0.27848305725909894,9.0
musique,32,4,none,0.4444444444444444,0.787037037037037,0.11145005011409857,0.27848305725909894,9.0
musique,32,6,6,0.3333333333333333,0.7453703703703703,0.07583930809142059,0.3868634259259259,2.0
musique,32,6,16,0.5,0.8194444444444444,0.13098407347900037,0.25477427183156354,10.555555555555555
musique,32,6,none,0.5,0.8194444444444444,0.13098407347900037,0.25477427183156354,10.555555555555555
musique,32,8,6,0.3333333333333333,0.7453703703703703,0.07583930809142059,0.3868634259259259,2.0
musique,32,8,16,0.5555555555555556,0.837962962962963,0.15160706853134842,0.2385965596903097,11.61111111111111
musique,32,8,none,0.5555555555555556,0.837962962962963,0.15160706853134842,0.2385965596903097,11.944444444444445
musique,64,1,6,0.2777777777777778,0.6851851851851852,0.10602002370897794,0.3698446842708696,4.0
musique,64,1,16,0.2777777777777778,0.6851851851851852,0.10602002370897794,0.3698446842708696,4.0
musique,64,1,none,0.2777777777777778,0.6851851851851852,0.10602002370897794,0.3698446842708696,4.0
musique,64,2,6,0.3333333333333333,0.7268518518518519,0.14217726885108262,0.3041122337660768,4.5
musique,64,2,16,0.3333333333333333,0.7268518518518519,0.1593262222986737,0.2765514308351976,6.166666666666667
musique,64,2,none,0.3333333333333333,0.7268518518518519,0.1593262222986737,0.2765514308351976,6.166666666666667
musique,64,4,6,0.3333333333333333,0.7546296296296297,0.15165931935909838,0.3158743865438545,2.7777777777777777
musique,64,4,16,0.5555555555555556,0.8333333333333334,0.2263844359655793,0.24134355640752833,9.0
musique,64,4,none,0.5555555555555556,0.8333333333333334,0.2263844359655793,0.24134355640752833,9.0
musique,64,6,6,0.2777777777777778,0.7407407407407408,0.15165931935909838,0.31138943284015086,2.0
musique,64,6,16,0.6666666666666666,0.8796296296296297,0.26181120822448556,0.22544986095455577,10.555555555555555
musique,64,6,none,0.6666666666666666,0.8796296296296297,0.26181120822448556,0.22544986095455577,10.555555555555555
musique,64,8,6,0.2777777777777778,0.7407407407407408,0.15165931935909838,0.31138943284015086,2.0
musique,64,8,16,0.7777777777777778,0.9166666666666666,0.302387272095596,0.21790409155345594,11.944444444444445
musique,64,8,none,0.7777777777777778,0.9166666666666666,0.302387272095596,0.21790409155345594,11.944444444444445
musique,128,1,6,0.3333333333333333,0.7314814814814814,0.19464750405701223,0.32159482692297403,3.6666666666666665
musique,128,1,16,0.3333333333333333,0.7314814814814814,0.19729991402012714,0.3190216622404343,3.7777777777777777
musique,128,1,none,0.3333333333333333,0.7314814814814814,0.19729991402012714,0.3190216622404343,3.7777777777777777
musique,128,2,6,0.4444444444444444,0.7824074074074074,0.28842584700225504,0.2393261419014213,4.555555555555555
musique,128,2,16,0.5555555555555556,0.837962962962963,0.3300120318409112,0.22247157859802572,6.333333333333333
musique,128,2,none,0.5555555555555556,0.837962962962963,0.3300120318409112,0.22247157859802572,6.333333333333333
musique,128,4,6,0.5555555555555556,0.8564814814814814,0.30176904043024877,0.2530341858829028,2.8333333333333335
musique,128,4,16,0.8333333333333334,0.949074074074074,0.4477254637870876,0.19820752697975833,8.833333333333334
musique,128,4,none,0.8333333333333334,0.949074074074074,0.4477254637870876,0.19820752697975833,8.833333333333334
musique,128,6,6,0.4444444444444444,0.8148148148148148,0.30176904043024877,0.24999599143845833,2.0
musique,128,6,16,0.9444444444444444,0.9814814814814815,0.5132330811620012,0.18442801785165894,10.333333333333334
musique,128,6,none,0.9444444444444444,0.9814814814814815,0.5132330811620012,0.18442801785165894,10.333333333333334
musique,128,8,6,0.4444444444444444,0.8148148148148148,0.30176904043024877,0.24999599143845833,2.0
musique,128,8,16,1.0,1.0,0.5726151613142858,0.17775440350286353,11.444444444444445
musique,128,8,none,1.0,1.0,0.5726151613142858,0.17775440350286353,11.444444444444445
musique,256,1,6,0.3888888888888889,0.7824074074074074,0.38402065954140086,0.23830232276337066,3.7777777777777777
musique,256,1,16,0.3888888888888889,0.7824074074074074,0.38402065954140086,0.23830232276337066,3.7777777777777777
musique,256,1,none,0.3888888888888889,0.7824074074074074,0.38402065954140086,0.23830232276337066,3.7777777777777777
musique,256,2,6,0.6666666666666666,0.8657407407407408,0.5359181121148425,0.1933228552042265,4.388888888888889
musique,256,2,16,0.7222222222222222,0.8842592592592592,0.6134373757578395,0.18200707275570488,6.055555555555555
musique,256,2,none,0.7222222222222222,0.8842592592592592,0.6134373757578395,0.18200707275570488,6.055555555555555
musique,256,4,6,0.6666666666666666,0.8888888888888888,0.5906755638908723,0.19396331541162076,2.8333333333333335
musique,256,4,16,0.8888888888888888,0.9583333333333334,0.8216395682331794,0.17268708206617756,7.722222222222222
musique,256,4,none,0.8888888888888888,0.9583333333333334,0.8216395682331794,0.17268708206617756,7.722222222222222
musique,256,6,6,0.5555555555555556,0.8564814814814814,0.5918468206176846,0.19320800963004367,2.0
musique,256,6,16,1.0,1.0,0.9461111637830477,0.15645887696144867,7.888888888888889
musique,256,6,none,1.0,1.0,0.9461111637830477,0.15645887696144867,7.888888888888889
musique,256,8,6,0.5555555555555556,0.8564814814814814,0.5918468206176846,0.19320800963004367,2.0
musique,256,8,16,1.0,1.0,1.0,0.15283203160413464,4.111111111111111
musique,256,8,none,1.0,1.0,1.0,0.15283203160413464,4.111111111111111
2wikimultihopqa,16,1,6,0.375,0.7062499999999999,0.052155075983998704,0.39780787788600286,3.875
2wikimultihopqa,16,1,16,0.375,0.7062499999999999,0.052155075983998704,0.39780787788600286,3.875
2wikimultihopqa,16,1,none,0.375,0.7062499999999999,0.052155075983998704,0.39780787788600286,3.875
2wikimultihopqa,16,2,6,0.375,0.7062499999999999,0.06529871150194944,0.32006577362420685,4.791666666666667
2wikimultihopqa,16,2,16,0.375,0.7062499999999999,0.06529871150194944,0.32006577362420685,5.0
2wikimultihopqa,16,2,none,0.375,0.7062499999999999,0.06529871150194944,0.32006577362420685,5.0
2wikimultihopqa,16,4,6,0.375,0.7062499999999999,0.07813867742133355,0.27539794007490637,2.5
2wikimultihopqa,16,4,16,0.4166666666666667,0.7270833333333333,0.10385338356927544,0.21923891386375902,7.666666666666667
2wikimultihopqa,16,4,none,0.4166666666666667,0.7270833333333333,0.10385338356927544,0.21923891386375902,7.666666666666667
2wikimultihopqa,16,6,6,0.375,0.7062499999999999,0.07813867742133355,0.27539794007490637,2.0
2wikimultihopqa,16,6,16,0.5833333333333334,0.7958333333333334,0.17204734537876765,0.15482925379279705,9.833333333333334
2wikimultihopqa,16,6,none,0.625,0.8229166666666666,0.20383830539452305,0.15370357217630318,13.583333333333334
2wikimultihopqa,16,8,6,0.375,0.7062499999999999,0.07813867742133355,0.27539794007490637,2.0
2wikimultihopqa,16,8,16,0.5416666666666666,0.7854166666666668,0.20479951493947546,0.1382811729389747,6.583333333333333
2wikimultihopqa,16,8,none,0.7916666666666666,0.90625,0.3526975988828763,0.1100279547959279,24.666666666666668
2wikimultihopqa,32,1,6,0.375,0.7166666666666667,0.10219668335108027,0.3153221760321101,3.875
2wikimultihopqa,32,1,16,0.375,0.7166666666666667,0.10219668335108027,0.3153221760321101,3.875
2wikimultihopqa,32,1,none,0.375,0.7166666666666667,0.10219668335108027,0.3153221760321101,3.875
2wikimultihopqa,32,2,6,0.4166666666666667,0.7270833333333333,0.12789094807410747,0.258572070468232,4.625
