dataset,example_id,chunk_size,source_tokens,parent_count,local_count,native_dot_products,adjacency_build_seconds,feature_build_seconds,routing_search_cache_bytes,h2d_bytes,h2d_seconds,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,64,1560,25,49,38937600,0.5663034999743104,5.116543899988756,2500,9635752,0.0055056000128388405,91756032,119537664
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,128,1560,13,49,38937600,0.17620350001379848,5.116543899988756,676,9635752,0.002985099970828742,91760128,119537664
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,256,1560,7,49,38937600,0.1727924000006169,5.116543899988756,196,9635752,0.0027129999944008887,91757568,119537664
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,64,777,13,25,9659664,0.05011240002932027,1.7175381000270136,676,4916200,0.0016056000022217631,53560832,77594624
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,128,777,7,25,9659664,0.049773799953982234,1.7175381000270136,196,4916200,0.0018857000395655632,53561856,62914560
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,256,777,4,25,9659664,0.05026749998796731,1.7175381000270136,64,4916200,0.0016731999930925667,53560832,62914560
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,64,654,11,21,6843456,0.03641320002498105,1.4635897999978624,484,4129608,0.0014913000050000846,48044032,62914560
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,128,654,6,21,6843456,0.037922299990896136,1.4635897999978624,144,4129608,0.0014875999768264592,48044544,62914560
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,256,654,3,21,6843456,0.03726360003929585,1.4635897999978624,36,4129608,0.0014338999753817916,47192064,62914560
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,64,1293,21,41,26749584,0.1244351000059396,2.5412754000280984,1764,8062568,0.004990099987480789,79156736,94371840
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,128,1293,11,41,26749584,0.12408290000166744,2.5412754000280984,484,8062568,0.0030993999680504203,79157760,94371840
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,256,1293,6,41,26749584,0.12456819997169077,2.5412754000280984,144,8062568,0.00253060000250116,79155712,94371840
