dataset,example_id,partition,seed,scale,facet_count,mean_score,score_std,scale_max
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,global,1,-0.3192799985408783,0.18528538942337036,0.052551381289958954
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,13,-0.366727352142334,0.15930546820163727,0.028810545802116394
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,2,12,-0.3964861035346985,0.1527402549982071,0.025587379932403564
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,4,10,-0.42262861132621765,0.1532580405473709,-0.03079436719417572
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,8,6,-0.4424850642681122,0.15695208311080933,-0.0385657399892807
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,global,1,-0.07668076455593109,0.23109948635101318,0.37061887979507446
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,1,13,-0.0583721362054348,0.19444341957569122,0.4288363456726074
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,2,12,-0.06133629009127617,0.1991189867258072,0.3942840099334717
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,4,10,-0.07344051450490952,0.20416978001594543,0.3402283489704132
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,8,6,-0.0813860148191452,0.2082197368144989,0.31562069058418274
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,global,1,-0.58683180809021,0.137822687625885,-0.33510345220565796
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,1,13,-0.32546865940093994,0.1509353518486023,0.07066759467124939
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,2,12,-0.3447805643081665,0.139093279838562,-0.00977158360183239
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,4,10,-0.36528152227401733,0.13342012465000153,-0.05695824325084686
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,8,6,-0.37816789746284485,0.13505429029464722,-0.07217628508806229
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,global,1,-0.2623026967048645,0.21861359477043152,0.14646126329898834
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,13,-0.19278673827648163,0.18733707070350647,0.2848230302333832
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,2,12,-0.20393556356430054,0.18380016088485718,0.23159050941467285
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,4,10,-0.22432471811771393,0.17043852806091309,0.1708153486251831
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,8,6,-0.2405836135149002,0.16598820686340332,0.09667550027370453
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,global,1,-0.2869890332221985,0.2394086718559265,0.1264725923538208
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,13,-0.12056079506874084,0.16350816190242767,0.3820696473121643
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,2,12,-0.1353483349084854,0.1652076095342636,0.3895792067050934
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,4,10,-0.1448919177055359,0.16298548877239227,0.3329038619995117
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,8,6,-0.1496485471725464,0.16059671342372894,0.24284157156944275
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,global,1,-0.42492660880088806,0.13779957592487335,-0.14397835731506348
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,20,-0.14218123257160187,0.12772709131240845,0.17903104424476624
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,2,19,-0.1484164148569107,0.12697206437587738,0.08648589998483658
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,4,17,-0.1512051820755005,0.12010566890239716,0.07306630909442902
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,8,13,-0.16123193502426147,0.11250139772891998,0.04540877416729927
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,16,5,-0.15866908431053162,0.11398480832576752,0.020432159304618835
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,global,1,-0.2058681696653366,0.13566191494464874,0.06309289485216141
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,20,0.01372679602354765,0.12868335843086243,0.3561633825302124
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,2,19,0.018075712025165558,0.12730707228183746,0.3580574691295624
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,4,17,0.018099326640367508,0.12583623826503754,0.3392818570137024
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,8,13,0.017426619306206703,0.12311215698719025,0.3254844844341278
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,16,5,0.026371262967586517,0.11442949622869492,0.2740398943424225
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,global,1,-0.5882523655891418,0.05925770103931427,-0.5028750896453857
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,1,20,-0.17602939903736115,0.13907518982887268,0.21729369461536407
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,2,19,-0.18113599717617035,0.1293869912624359,0.16321907937526703
