dataset,example_id,partition,question_type,annotated_hops,graph_type,chunk_size,source_tokens,parent_count,oracle_parent_count,annotated_node_count,annotated_transition_count,preserved_parent_transition_count,collapsed_transition_count,partially_collapsed_transition_count,unmappable_transition_count,root_parent_count,evidence_group_collisions,evidence_tokens,selected_parent_tokens,selected_evidence_tokens,non_evidence_selected_tokens,evidence_density,root_evidence_fraction,root_contains_all_evidence
musique,4hop1__105401_17130_70784_61381,test,4hop,4,chain,64,2986,47,17,4,3,56,0,0,0,1,0,894,1088,894,194,0.8216911764705882,0.07158836689038031,False
musique,4hop1__105401_17130_70784_61381,test,4hop,4,chain,128,2986,24,11,4,3,22,0,0,0,1,0,894,1408,894,514,0.6349431818181818,0.07158836689038031,False
musique,4hop1__105401_17130_70784_61381,test,4hop,4,chain,256,2986,12,8,4,3,16,0,0,0,1,1,894,2048,894,1154,0.4365234375,0.07158836689038031,False
musique,4hop1__105401_17130_70784_79935,validation,4hop,4,chain,16,2867,180,52,4,3,606,0,0,0,1,0,766,832,766,66,0.9206730769230769,0.020887728459530026,False
musique,4hop1__105401_17130_70784_79935,validation,4hop,4,chain,32,2867,90,27,4,3,177,0,0,0,1,1,766,864,766,98,0.8865740740740741,0.04177545691906005,False
musique,4hop1__105401_17130_70784_79935,validation,4hop,4,chain,64,2867,45,15,4,3,57,0,0,0,1,1,766,960,766,194,0.7979166666666667,0.07180156657963446,False
musique,4hop1__105401_17130_70784_79935,validation,4hop,4,chain,128,2867,23,8,4,3,18,0,0,0,1,1,766,1024,766,258,0.748046875,0.09530026109660575,False
musique,4hop1__105401_17130_70784_79935,validation,4hop,4,chain,256,2867,12,5,4,3,8,0,0,0,1,1,766,1280,766,514,0.5984375,0.09530026109660575,False
musique,4hop1__105688_17130_70784_61381,test,4hop,4,chain,16,3006,188,58,4,3,692,0,0,0,1,0,889,926,889,37,0.9600431965442765,0.01799775028121485,False
musique,4hop1__105688_17130_70784_61381,test,4hop,4,chain,32,3006,94,30,4,3,182,0,0,0,1,0,889,958,889,69,0.9279749478079332,0.0359955005624297,False
musique,4hop1__105688_17130_70784_61381,test,4hop,4,chain,64,3006,47,16,4,3,60,0,0,0,1,1,889,1022,889,133,0.8698630136986302,0.04611923509561305,False
musique,4hop1__105688_17130_70784_61381,test,4hop,4,chain,128,3006,24,10,4,3,24,0,0,0,1,1,889,1214,889,325,0.7322899505766063,0.04611923509561305,False
musique,4hop1__105688_17130_70784_61381,test,4hop,4,chain,256,3006,12,6,4,3,10,0,0,0,1,1,889,1470,889,581,0.6047619047619047,0.17997750281214847,False
musique,4hop1__105688_17130_70784_79935,test,4hop,4,chain,16,2812,176,50,4,3,564,0,0,0,1,0,761,796,761,35,0.9560301507537688,0.02102496714848883,False
musique,4hop1__105688_17130_70784_79935,test,4hop,4,chain,32,2812,88,26,4,3,150,0,0,0,1,0,761,828,761,67,0.9190821256038647,0.04204993429697766,False
musique,4hop1__105688_17130_70784_79935,test,4hop,4,chain,64,2812,44,14,4,3,42,0,0,0,1,0,761,892,761,131,0.8531390134529148,0.07227332457293036,False
musique,4hop1__105688_17130_70784_79935,test,4hop,4,chain,128,2812,22,8,4,3,13,0,0,0,1,0,761,1020,761,259,0.746078431372549,0.08935611038107753,False
musique,4hop1__105688_17130_70784_79935,test,4hop,4,chain,256,2812,11,5,4,3,6,0,0,0,1,1,761,1276,761,515,0.5963949843260188,0.08935611038107753,False
musique,4hop1__105773_457883_650651_7262,validation,4hop,4,chain,16,2498,157,34,4,3,196,0,0,0,1,0,499,544,499,45,0.9172794117647058,0.03206412825651302,False
musique,4hop1__105773_457883_650651_7262,validation,4hop,4,chain,32,2498,79,18,4,3,62,0,1,0,1,2,499,576,499,77,0.8663194444444444,0.06412825651302605,False
musique,4hop1__105773_457883_650651_7262,validation,4hop,4,chain,64,2498,40,10,4,3,22,0,1,0,1,2,499,640,499,141,0.7796875,0.09418837675350701,False
musique,4hop1__105773_457883_650651_7262,validation,4hop,4,chain,128,2498,20,6,4,3,10,0,1,0,1,2,499,768,499,269,0.6497395833333334,0.20641282565130262,False
musique,4hop1__105773_457883_650651_7262,validation,4hop,4,chain,256,2498,10,4,4,3,5,0,1,0,1,2,499,1024,499,525,0.4873046875,0.20641282565130262,False
musique,4hop2__103790_14670_8987_8529,validation,4hop,4,convergent,16,2716,170,26,4,3,133,0,0,0,2,0,365,416,365,51,0.8774038461538461,0.08767123287671233,False
musique,4hop2__103790_14670_8987_8529,validation,4hop,4,convergent,32,2716,85,15,4,3,44,0,0,0,2,0,365,480,365,115,0.7604166666666666,0.17534246575342466,False
musique,4hop2__103790_14670_8987_8529,validation,4hop,4,convergent,64,2716,43,9,4,3,18,0,0,0,2,1,365,576,365,211,0.6336805555555556,0.27123287671232876,False
musique,4hop2__103790_14670_8987_8529,validation,4hop,4,convergent,128,2716,22,7,4,3,10,0,0,0,2,1,365,896,365,531,0.40736607142857145,0.42191780821917807,False
musique,4hop2__103790_14670_8987_8529,validation,4hop,4,convergent,256,2716,11,4,4,3,5,0,1,0,1,2,365,1024,365,659,0.3564453125,0.42191780821917807,False
musique,4hop2__103790_14670_8987_8974,test,4hop,4,convergent,16,2784,174,30,4,3,144,0,0,0,2,0,418,480,418,62,0.8708333333333333,0.07655502392344497,False
musique,4hop2__103790_14670_8987_8974,test,4hop,4,convergent,32,2784,87,16,4,3,48,0,1,0,2,1,418,512,418,94,0.81640625,0.15311004784688995,False
musique,4hop2__103790_14670_8987_8974,test,4hop,4,convergent,64,2784,44,10,4,3,21,0,1,0,2,1,418,640,418,222,0.653125,0.2942583732057416,False
musique,4hop2__103790_14670_8987_8974,test,4hop,4,convergent,128,2784,22,7,4,3,10,0,1,0,2,1,418,896,418,478,0.46651785714285715,0.3397129186602871,False
musique,4hop2__103790_14670_8987_8974,test,4hop,4,convergent,256,2784,11,4,4,3,4,1,2,0,2,2,418,1024,418,606,0.408203125,0.3588516746411483,False
