dataset,example_id,partition,seed,proposal_width_per_facet,root_budget,candidate_count,correct_root_present,oracle_node_recall,complete_graph,visited_count,selection_seconds,search_seconds,logical_reference_tokens,conceptual_active_parents,counterfactual_native_kv_tokens,active_kv_fraction,native_kv_tokens,materialization_performed,evidence_tokens,selected_parent_tokens,selected_evidence_tokens,non_evidence_selected_tokens,evidence_density,root_evidence_fraction,root_contains_all_evidence
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,1,2,1,1.0,1,7,0.0008246999932453036,0.0034688999876379967,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,2,2,1,1.0,1,7,0.0004263000446371734,0.004254500032402575,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,4,2,1,1.0,1,7,0.0005064000142738223,0.0042236000299453735,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,11,1,8,2,1,1.0,1,7,0.00046740000834688544,0.0044550999882631,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,1,1,5,0,1.0,1,7,0.0004086000262759626,0.0025824999902397394,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,1,2,5,0,1.0,1,7,0.0002557000261731446,0.0024506999761797488,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,1,4,5,1,1.0,1,8,0.00040520000038668513,0.0050623000133782625,1560,8,920,0.5897435897435898,0,False,48,920,48,872,0.05217391304347826,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,23,1,8,5,1,1.0,1,8,0.0003445000038482249,0.0030046000028960407,1560,8,920,0.5897435897435898,0,False,48,920,48,872,0.05217391304347826,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,1,1,2,1,1.0,1,7,0.00029009999707341194,0.0025215999921783805,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,1,2,2,1,1.0,1,7,0.0002463000128045678,0.0024289999855682254,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,1,4,2,1,1.0,1,7,0.00024209998082369566,0.0024234000011347234,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,37,1,8,2,1,1.0,1,7,0.00024179997853934765,0.004193899978417903,1560,7,792,0.5076923076923077,0,False,48,792,46,746,0.05808080808080808,0.9583333333333334,False
