dataset,current_routed_R_at_4,oracle_multiscale_root_R_at_1,oracle_multiscale_root_R_at_2,oracle_multiscale_root_R_at_4,oracle_multiscale_root_R_at_8,best_root_scale,terminal_oracle_multiscale_R_at_4,lexical_root_R_at_4,lexical_terminal_R_at_4,root_rows,terminal_rows
musique,0.4222222222222222,0.7111111111111111,0.8333333333333334,0.8777777777777778,0.9666666666666667,1,0.7111111111111111,0.8888888888888888,0.4444444444444444,90,90
2wikimultihopqa,0.6083333333333333,0.5916666666666667,0.8,0.95,1.0,1,0.8555555555555555,0.875,0.5555555555555556,120,90
