operating_point,dataset,chunk_size,K,B,complete_recovery,node_recall,selected_source_fraction,evidence_density,nodes_expanded
conservative,musique,16,6,16,0.5,0.8194444444444444,0.06267558247531695,0.25808782267115604,10.0
balanced,musique,128,8,16,1.0,1.0,0.5726151613142858,0.17775440350286353,11.444444444444445
high_recall,musique,128,8,16,1.0,1.0,0.5726151613142858,0.17775440350286353,11.444444444444445
conservative,2wikimultihopqa,16,6,16,0.5833333333333334,0.7958333333333334,0.17204734537876765,0.15482925379279705,9.833333333333334
balanced,2wikimultihopqa,32,8,none,0.875,0.9375,0.47510669764853697,0.10646255417900237,17.791666666666668
high_recall,2wikimultihopqa,128,8,16,1.0,1.0,0.9176515178649297,0.07951169098479416,7.125
