dataset,example_id,partition,seed,root_mode,R_root,K,H,B,correct_root_present,oracle_node_recall,complete_graph,conditional_complete_graph,visited_count,nodes_expanded,search_comparisons,search_seconds
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,6,2,10,0.0009260000078938901
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,6,2,10,0.0009054999682120979
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,6,2,10,0.000716000038664788
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,bounded_contextual_facets,1,6,4,16,0,1.0,1,,6,2,10,0.0009255000040866435
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,bounded_contextual_facets,2,6,4,16,0,1.0,1,,6,2,10,0.0008546999888494611
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,6,2,10,0.0007136999629437923
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,bounded_contextual_facets,1,6,4,16,0,1.0,1,,6,2,10,0.002051800023764372
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,bounded_contextual_facets,2,6,4,16,0,1.0,1,,6,2,10,0.0021915999823249876
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,6,2,10,0.0013099999632686377
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,bounded_contextual_facets,1,6,4,16,0,1.0,1,,6,2,10,0.0012032999657094479
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,bounded_contextual_facets,2,6,4,16,0,1.0,1,,6,2,10,0.0010322000016458333
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,71,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,6,2,10,0.0008604999748058617
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,bounded_contextual_facets,1,6,4,16,0,0.5,0,,8,8,48,0.0034337000106461346
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,9,9,54,0.0037480000173673034
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,11,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,10,10,60,0.007338800001889467
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,bounded_contextual_facets,1,6,4,16,0,0.5,0,,8,8,48,0.005162200017366558
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,bounded_contextual_facets,2,6,4,16,0,0.5,0,,8,8,48,0.0052835000096820295
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,23,bounded_contextual_facets,4,6,4,16,0,0.5,0,,8,8,48,0.004801200004294515
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,bounded_contextual_facets,1,6,4,16,1,0.5,0,0,8,8,48,0.004602600005455315
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,bounded_contextual_facets,2,6,4,16,1,0.5,0,0,8,8,48,0.004306300019379705
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,37,bounded_contextual_facets,4,6,4,16,1,0.5,0,0,9,9,54,0.006030899996403605
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,bounded_contextual_facets,1,6,4,16,1,0.5,0,0,8,8,48,0.004644499975256622
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,bounded_contextual_facets,2,6,4,16,1,0.5,0,0,8,8,48,0.004315699974540621
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,53,bounded_contextual_facets,4,6,4,16,1,0.5,0,0,8,8,48,0.0066769999684765935
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,9,9,54,0.00536929996451363
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,9,9,54,0.004843999980948865
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,71,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,10,10,60,0.006637500016950071
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,8,3,18,0.0023689999943599105
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,3,18,0.0020927999867126346
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,11,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,2,12,0.0013972999877296388
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,8,3,18,0.0021879999549128115
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,3,18,0.0020644000032916665
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,23,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,2,12,0.0019150999723933637
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,8,3,18,0.002611399977467954
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,2,12,0.001679800043348223
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,37,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,2,12,0.0016140000079758465
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,8,3,18,0.002187499951105565
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,3,18,0.002067800029180944
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,3,18,0.0018462000298313797
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,bounded_contextual_facets,1,6,4,16,0,1.0,1,,8,4,24,0.0032446999684907496
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,8,4,24,0.0030397999798879027
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,2,12,0.0014665999915450811
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,1,6,4,16,0,1.0,1,,9,6,36,0.0038677999982610345
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,2,6,4,16,0,1.0,1,,9,7,42,0.004125899984501302
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,4,6,4,16,0,1.0,1,,9,3,18,0.002202000003308058
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,1,6,4,16,0,1.0,1,,9,6,36,0.004563900001812726
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,2,6,4,16,0,1.0,1,,9,7,42,0.004134499991778284
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,4,6,4,16,0,1.0,1,,9,7,42,0.0037590000429190695
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,1,6,4,16,0,1.0,1,,9,6,36,0.004889200034085661
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,2,6,4,16,0,1.0,1,,9,7,42,0.0045679000322707
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,4,6,4,16,0,1.0,1,,9,8,48,0.00431600003503263
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,1,6,4,16,0,1.0,1,,9,6,36,0.0037680999957956374
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,2,6,4,16,0,1.0,1,,9,6,36,0.004804899974260479
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,4,6,4,16,0,1.0,1,,9,3,18,0.0022059999755583704
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,1,6,4,16,0,1.0,1,,9,3,18,0.0025215999921783805
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,2,6,4,16,0,1.0,1,,9,4,24,0.002645400003530085
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,4,6,4,16,0,1.0,1,,9,3,18,0.001965500006917864
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,11,bounded_contextual_facets,1,6,4,16,1,1.0,1,1,8,3,18,0.0021877000108361244
