dataset,false_parent_best_rank_mean,false_parent_R_at_1,false_parent_R_at_4,rows
musique,5.491449814126394,0.22379182156133828,0.545724907063197,1345
2wikimultihopqa,3.7287958115183244,0.29528795811518327,0.6722513089005235,955
