dataset,chunk_size,K,local_edge_recall,product_expected_path_survival,observed_search_complete_recovery,extra_search_loss,nodes_expanded
musique,16,1,0.19444444444444445,0.11140046296296297,0.3333333333333333,-0.22193287037037035,3.4444444444444446
musique,16,2,0.3611111111111111,0.19483024691358025,0.3333333333333333,-0.13850308641975306,5.111111111111111
musique,16,4,0.5277777777777778,0.3264853395061728,0.3888888888888889,-0.062403549382716084,8.444444444444445
musique,16,6,0.6666666666666666,0.4583333333333333,0.5,-0.041666666666666685,10.0
musique,16,8,0.6944444444444444,0.4911265432098765,0.5,-0.008873456790123524,11.444444444444445
musique,32,1,0.16666666666666666,0.09375,0.2222222222222222,-0.1284722222222222,3.7777777777777777
musique,32,2,0.2777777777777778,0.139917695473251,0.3333333333333333,-0.1934156378600823,5.555555555555555
musique,32,4,0.4722222222222222,0.2737590020576131,0.4444444444444444,-0.1706854423868313,9.0
musique,32,6,0.6111111111111112,0.39078575102880664,0.5,-0.10921424897119336,10.555555555555555
musique,32,8,0.6388888888888888,0.4201388888888889,0.5555555555555556,-0.13541666666666669,11.61111111111111
musique,64,1,0.19444444444444445,0.09953703703703703,0.2777777777777778,-0.17824074074074076,4.0
musique,64,2,0.3055555555555556,0.15020576131687244,0.3333333333333333,-0.18312757201646088,6.166666666666667
musique,64,4,0.5,0.3132716049382716,0.5555555555555556,-0.24228395061728397,9.0
musique,64,6,0.6666666666666666,0.46090534979423864,0.6666666666666666,-0.205761316872428,10.555555555555555
musique,64,8,0.7222222222222222,0.5347222222222222,0.7777777777777778,-0.24305555555555558,11.944444444444445
musique,128,1,0.16666666666666666,0.06481481481481481,0.3333333333333333,-0.2685185185185185,3.7777777777777777
musique,128,2,0.25,0.09114583333333333,0.5555555555555556,-0.46440972222222227,6.333333333333333
musique,128,4,0.5833333333333334,0.3795331790123457,0.8333333333333334,-0.4538001543209877,8.833333333333334
musique,128,6,0.8333333333333334,0.6995884773662552,0.9444444444444444,-0.24485596707818924,10.333333333333334
musique,128,8,0.9166666666666666,0.8416923868312757,1.0,-0.15830761316872433,11.444444444444445
musique,256,1,0.30303030303030304,0.18620037807183365,0.3888888888888889,-0.20268851081705525,3.7777777777777777
musique,256,2,0.3939393939393939,0.22984367029735647,0.7222222222222222,-0.49237855192486574,6.055555555555555
musique,256,4,0.6363636363636364,0.47240975785399225,0.8888888888888888,-0.4164791310348966,7.722222222222222
musique,256,6,0.8787878787878788,0.790650223542473,1.0,-0.20934977645752695,7.888888888888889
musique,256,8,0.9090909090909091,0.8408947700063011,1.0,-0.15910522999369892,4.111111111111111
2wikimultihopqa,16,1,0.2,0.13976470588235296,0.375,-0.23523529411764704,3.875
2wikimultihopqa,16,2,0.2,0.13976470588235296,0.375,-0.23523529411764704,5.0
2wikimultihopqa,16,4,0.24,0.17047341176470587,0.4166666666666667,-0.2461932549019608,7.666666666666667
2wikimultihopqa,16,6,0.4,0.304,0.5833333333333334,-0.2793333333333334,9.833333333333334
2wikimultihopqa,16,8,0.56,0.4568018823529412,0.5416666666666666,-0.0848647843137254,6.583333333333333
2wikimultihopqa,32,1,0.12,0.0812385882352941,0.375,-0.2937614117647059,3.875
2wikimultihopqa,32,2,0.24,0.17047341176470587,0.4166666666666667,-0.2461932549019608,5.0
2wikimultihopqa,32,4,0.28,0.20220611764705887,0.4583333333333333,-0.25612721568627445,7.375
2wikimultihopqa,32,6,0.4,0.304,0.7083333333333334,-0.4043333333333334,10.875
2wikimultihopqa,32,8,0.68,0.5857920000000001,0.7916666666666666,-0.20587466666666654,8.458333333333334
2wikimultihopqa,64,1,0.08,0.053330823529411764,0.5416666666666666,-0.48833584313725487,3.8333333333333335
2wikimultihopqa,64,2,0.2,0.13976470588235296,0.5416666666666666,-0.40190196078431367,5.041666666666667
2wikimultihopqa,64,4,0.36,0.26892423529411763,0.625,-0.35607576470588237,6.75
2wikimultihopqa,64,6,0.56,0.4568018823529412,0.7916666666666666,-0.3348647843137254,9.75
2wikimultihopqa,64,8,0.76,0.6793148235294117,0.9166666666666666,-0.23735184313725488,12.166666666666666
2wikimultihopqa,128,1,0.16,0.11003482352941177,0.625,-0.5149651764705883,3.4583333333333335
2wikimultihopqa,128,2,0.32,0.235008,0.7083333333333334,-0.4733253333333334,4.708333333333333
2wikimultihopqa,128,4,0.72,0.6317703529411764,0.9166666666666666,-0.2848963137254902,5.958333333333333
2wikimultihopqa,128,6,0.88,0.831796705882353,0.9583333333333334,-0.12653662745098038,6.5
2wikimultihopqa,128,8,1.0,1.0,1.0,0.0,7.125
2wikimultihopqa,256,1,0.20833333333333334,0.14810134123093682,0.5,-0.3518986587690632,2.9166666666666665
2wikimultihopqa,256,2,0.4166666666666667,0.3249251089324619,0.75,-0.4250748910675381,3.75
2wikimultihopqa,256,4,0.875,0.8307674632352942,0.9583333333333334,-0.1275658700980392,3.7916666666666665
2wikimultihopqa,256,6,1.0,1.0,1.0,0.0,2.5
2wikimultihopqa,256,8,1.0,1.0,1.0,0.0,2.0
