dataset,example_id,partition,question_type,annotated_hops,graph_type,chunk_size,root_mode,R_root,K,H,B,parent_count,oracle_parent_count,annotated_transition_count,preserved_transition_count,visited_count,nodes_expanded,peak_frontier,search_comparisons,duplicates,cycles,candidate_tensor_bytes,oracle_node_recall,later_evidence_recall,annotated_edge_recall,complete_graph,complete_native_path,extra_non_oracle_visited,branching_overhead,adjacency_build_seconds,search_seconds,total_routing_seconds,logical_reference_tokens,conceptual_active_parents,counterfactual_native_kv_tokens,active_kv_fraction,native_kv_tokens,materialization_performed,evidence_tokens,selected_parent_tokens,selected_evidence_tokens,non_evidence_selected_tokens,evidence_density,root_evidence_fraction,root_contains_all_evidence,minimum_recovery_depth
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,0,6,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,3.2100011594593525e-05,0.67341500002658,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,1,6,98,6,0,0,3,2,2,2,1,0,412,1.0,1.0,1.0,1,1,1,1.0,0.6733829000149854,0.0014516999945044518,0.6748346000094898,1560,3,48,0.03076923076923077,0,False,48,48,32,16,0.6666666666666666,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,2,6,98,6,0,0,4,3,2,3,1,0,412,1.0,1.0,1.0,1,1,2,1.0,0.6733829000149854,0.0008951000054366887,0.674278000020422,1560,4,64,0.041025641025641026,0,False,48,64,32,32,0.5,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,3,6,98,6,0,0,5,4,2,4,1,0,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.0012354999780654907,0.6746183999930508,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,4,6,98,6,0,0,5,5,2,5,2,1,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.001395600032992661,0.674778500047978,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,0,16,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.7300015315413475e-05,0.6734002000303008,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,1,16,98,6,0,0,3,2,2,2,1,0,412,1.0,1.0,1.0,1,1,1,1.0,0.6733829000149854,0.0005907000158913434,0.6739736000308767,1560,3,48,0.03076923076923077,0,False,48,48,32,16,0.6666666666666666,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,2,16,98,6,0,0,4,3,2,3,1,0,412,1.0,1.0,1.0,1,1,2,1.0,0.6733829000149854,0.0008717000018805265,0.6742546000168659,1560,4,64,0.041025641025641026,0,False,48,64,32,32,0.5,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,3,16,98,6,0,0,5,4,2,4,1,0,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.0016666000010445714,0.6750495000160299,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,4,16,98,6,0,0,5,5,2,5,2,1,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.0014266999787651002,0.6748095999937505,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,0,none,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.6700010746717453e-05,0.6733996000257321,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,1,none,98,6,0,0,3,2,2,2,1,0,412,1.0,1.0,1.0,1,1,1,1.0,0.6733829000149854,0.0005697000306099653,0.6739526000455953,1560,3,48,0.03076923076923077,0,False,48,48,32,16,0.6666666666666666,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,2,none,98,6,0,0,4,3,2,3,1,0,412,1.0,1.0,1.0,1,1,2,1.0,0.6733829000149854,0.000910000002477318,0.6742929000174627,1560,4,64,0.041025641025641026,0,False,48,64,32,32,0.5,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,3,none,98,6,0,0,5,4,2,4,1,0,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.0014628999633714557,0.6748457999783568,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,1,4,none,98,6,0,0,5,5,2,5,2,1,412,1.0,1.0,1.0,1,1,3,1.0,0.6733829000149854,0.0020674000261351466,0.6754503000411205,1560,5,80,0.05128205128205128,0,False,48,80,32,48,0.4,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,0,6,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.8599967006593943e-05,0.673401499981992,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,1,6,98,6,0,0,4,2,3,4,2,0,432,1.0,1.0,1.0,1,1,2,2.0,0.6733829000149854,0.0007960000075399876,0.6741789000225253,1560,4,64,0.041025641025641026,0,False,48,64,32,32,0.5,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,2,6,98,6,0,0,6,4,3,8,4,0,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.0015861999709159136,0.6749690999859013,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,3,6,98,6,0,0,6,5,3,10,6,1,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.001776800025254488,0.6751597000402398,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,4,6,98,6,0,0,6,5,3,10,6,1,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.001545500010251999,0.6749284000252374,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,0,16,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.7400016076862812e-05,0.6734003000310622,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,1,16,98,6,0,0,4,2,3,4,2,0,432,1.0,1.0,1.0,1,1,2,2.0,0.6733829000149854,0.0006754000205546618,0.67405830003554,1560,4,64,0.041025641025641026,0,False,48,64,32,32,0.5,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,2,16,98,6,0,0,6,4,3,8,4,0,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.0016422999906353652,0.6750252000056207,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,3,16,98,6,0,0,6,6,3,12,8,2,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.001785100030247122,0.6751680000452325,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,4,16,98,6,0,0,6,6,3,12,8,2,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.0017801000503823161,0.6751630000653677,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,0,none,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.6300007700920105e-05,0.6733992000226863,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,1,none,98,6,0,0,4,2,3,4,2,0,432,1.0,1.0,1.0,1,1,2,2.0,0.6733829000149854,0.0006762000266462564,0.6740591000416316,1560,4,64,0.041025641025641026,0,False,48,64,32,32,0.5,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,2,none,98,6,0,0,6,4,3,8,4,0,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.0015256000333465636,0.6749085000483319,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,3,none,98,6,0,0,6,6,3,12,8,2,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.002452499989885837,0.6758354000048712,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,2,4,none,98,6,0,0,6,6,3,12,8,2,432,1.0,1.0,1.0,1,1,4,2.0,0.6733829000149854,0.002055099990684539,0.6754380000056699,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,0,6,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.850002445280552e-05,0.6734014000394382,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,1,6,98,6,0,0,6,2,5,8,4,0,472,1.0,1.0,1.0,1,1,4,4.0,0.6733829000149854,0.0008443999686278403,0.6742272999836132,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,2,6,98,6,0,0,6,2,5,8,4,0,472,1.0,1.0,1.0,1,1,4,4.0,0.6733829000149854,0.0011197999701835215,0.6745026999851689,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,3,6,98,6,0,0,6,2,5,8,4,0,472,1.0,1.0,1.0,1,1,4,4.0,0.6733829000149854,0.0018515000119805336,0.6752344000269659,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,4,6,98,6,0,0,6,2,5,8,4,0,472,1.0,1.0,1.0,1,1,4,4.0,0.6733829000149854,0.0008536000386811793,0.6742365000536665,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,0,16,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.8600025214254856e-05,0.6734015000401996,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,1,16,98,6,0,0,6,2,5,8,4,0,472,1.0,1.0,1.0,1,1,4,4.0,0.6733829000149854,0.0008764999802224338,0.6742593999952078,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,2,16,98,6,0,0,7,6,5,24,19,3,472,1.0,1.0,1.0,1,1,5,4.0,0.6733829000149854,0.0020076000364497304,0.6753905000514351,1560,7,112,0.07179487179487179,0,False,48,112,32,80,0.2857142857142857,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,3,16,98,6,0,0,7,7,5,28,23,4,472,1.0,1.0,1.0,1,1,5,4.0,0.6733829000149854,0.0022529999841935933,0.675635899999179,1560,7,112,0.07179487179487179,0,False,48,112,32,80,0.2857142857142857,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,4,16,98,6,0,0,7,7,5,28,23,4,472,1.0,1.0,1.0,1,1,5,4.0,0.6733829000149854,0.0028170999721623957,0.6761999999871477,1560,7,112,0.07179487179487179,0,False,48,112,32,80,0.2857142857142857,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,0,none,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,5.670002428814769e-05,0.6734396000392735,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,1,none,98,6,0,0,6,2,5,8,4,0,472,1.0,1.0,1.0,1,1,4,4.0,0.6733829000149854,0.001065499964170158,0.6744483999791555,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,2,none,98,6,0,0,7,6,5,24,19,3,472,1.0,1.0,1.0,1,1,5,4.0,0.6733829000149854,0.0028120999922975898,0.6761950000072829,1560,7,112,0.07179487179487179,0,False,48,112,32,80,0.2857142857142857,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,3,none,98,6,0,0,7,7,5,28,23,4,472,1.0,1.0,1.0,1,1,5,4.0,0.6733829000149854,0.0024064999888651073,0.6757894000038505,1560,7,112,0.07179487179487179,0,False,48,112,32,80,0.2857142857142857,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,4,4,none,98,6,0,0,7,7,5,28,23,4,472,1.0,1.0,1.0,1,1,5,4.0,0.6733829000149854,0.0022551000001840293,0.6756380000151694,1560,7,112,0.07179487179487179,0,False,48,112,32,80,0.2857142857142857,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,0,6,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,2.5200017262250185e-05,0.6734081000322476,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,1,6,98,6,0,0,6,2,5,12,5,0,512,1.0,1.0,1.0,1,1,4,6.0,0.6733829000149854,0.0008935999940149486,0.6742765000090003,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,2,6,98,6,0,0,6,2,5,12,5,0,512,1.0,1.0,1.0,1,1,4,6.0,0.6733829000149854,0.001076199987437576,0.6744591000024229,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,3,6,98,6,0,0,6,2,5,12,5,0,512,1.0,1.0,1.0,1,1,4,6.0,0.6733829000149854,0.0010109000140801072,0.6743938000290655,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,4,6,98,6,0,0,6,2,5,12,5,0,512,1.0,1.0,1.0,1,1,4,6.0,0.6733829000149854,0.0008967999601736665,0.674279699975159,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,0,16,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.8000020645558834e-05,0.6734009000356309,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,1,16,98,6,0,0,8,2,7,12,6,0,512,1.0,1.0,1.0,1,1,6,6.0,0.6733829000149854,0.0011961999698542058,0.6745790999848396,1560,8,128,0.08205128205128205,0,False,48,128,32,96,0.25,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,2,16,98,6,0,0,8,8,7,48,42,6,512,1.0,1.0,1.0,1,1,6,6.0,0.6733829000149854,0.003642600029706955,0.6770255000446923,1560,8,128,0.08205128205128205,0,False,48,128,32,96,0.25,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,3,16,98,6,0,0,8,8,7,48,42,6,512,1.0,1.0,1.0,1,1,6,6.0,0.6733829000149854,0.003798499994445592,0.677181400009431,1560,8,128,0.08205128205128205,0,False,48,128,32,96,0.25,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,4,16,98,6,0,0,8,8,7,48,42,6,512,1.0,1.0,1.0,1,1,6,6.0,0.6733829000149854,0.002819599991198629,0.676202500006184,1560,8,128,0.08205128205128205,0,False,48,128,32,96,0.25,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,0,none,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.780001912266016e-05,0.673400700034108,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,1,none,98,6,0,0,8,2,7,12,6,0,512,1.0,1.0,1.0,1,1,6,6.0,0.6733829000149854,0.0010526999831199646,0.6744355999981053,1560,8,128,0.08205128205128205,0,False,48,128,32,96,0.25,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,2,none,98,6,0,0,8,8,7,48,42,6,512,1.0,1.0,1.0,1,1,6,6.0,0.6733829000149854,0.002715999959036708,0.6760988999740221,1560,8,128,0.08205128205128205,0,False,48,128,32,96,0.25,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,3,none,98,6,0,0,8,8,7,48,42,6,512,1.0,1.0,1.0,1,1,6,6.0,0.6733829000149854,0.0026992999482899904,0.6760821999632753,1560,8,128,0.08205128205128205,0,False,48,128,32,96,0.25,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,6,4,none,98,6,0,0,8,8,7,48,42,6,512,1.0,1.0,1.0,1,1,6,6.0,0.6733829000149854,0.0038548000156879425,0.6772377000306733,1560,8,128,0.08205128205128205,0,False,48,128,32,96,0.25,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,0,6,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.92999723367393e-05,0.6734021999873221,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,1,6,98,6,0,0,6,2,5,16,5,0,552,1.0,1.0,1.0,1,1,4,8.0,0.6733829000149854,0.0011424000258557498,0.6745253000408411,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,2,6,98,6,0,0,6,2,5,16,5,0,552,1.0,1.0,1.0,1,1,4,8.0,0.6733829000149854,0.0009194999583996832,0.674302399973385,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,3,6,98,6,0,0,6,2,5,16,5,0,552,1.0,1.0,1.0,1,1,4,8.0,0.6733829000149854,0.0009134000283665955,0.674296300043352,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,4,6,98,6,0,0,6,2,5,16,5,0,552,1.0,1.0,1.0,1,1,4,8.0,0.6733829000149854,0.0009062000317499042,0.6742891000467353,1560,6,96,0.06153846153846154,0,False,48,96,32,64,0.3333333333333333,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,0,16,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.669995253905654e-05,0.6733995999675244,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,1,16,98,6,0,0,10,2,9,16,8,0,552,1.0,1.0,1.0,1,1,7,8.0,0.6733829000149854,0.00120749999769032,0.6745904000126757,1560,10,160,0.10256410256410256,0,False,48,160,35,125,0.21875,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,2,16,98,6,0,0,16,7,10,56,39,5,552,1.0,1.0,1.0,1,1,13,8.0,0.6733829000149854,0.0031721999985165894,0.6765551000135019,1560,16,256,0.1641025641025641,0,False,48,256,35,221,0.13671875,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,3,16,98,6,0,0,16,7,10,56,39,5,552,1.0,1.0,1.0,1,1,13,8.0,0.6733829000149854,0.0040679999510757625,0.6774508999660611,1560,16,256,0.1641025641025641,0,False,48,256,35,221,0.13671875,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,4,16,98,6,0,0,16,7,10,56,39,5,552,1.0,1.0,1.0,1,1,13,8.0,0.6733829000149854,0.004602300003170967,0.6779852000181563,1560,16,256,0.1641025641025641,0,False,48,256,35,221,0.13671875,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,0,none,98,6,0,0,2,0,2,0,0,0,0,1.0,1.0,1.0,1,1,0,0.0,0.6733829000149854,1.7799960914999247e-05,0.6734006999759004,1560,2,32,0.020512820512820513,0,False,48,32,32,0,1.0,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,1,none,98,6,0,0,10,2,9,16,8,0,552,1.0,1.0,1.0,1,1,7,8.0,0.6733829000149854,0.0013988999999128282,0.6747818000148982,1560,10,160,0.10256410256410256,0,False,48,160,35,125,0.21875,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,2,none,98,6,0,0,21,10,12,80,61,8,552,1.0,1.0,1.0,1,1,16,8.0,0.6733829000149854,0.004548700002487749,0.6779316000174731,1560,21,336,0.2153846153846154,0,False,48,336,39,297,0.11607142857142858,0.6666666666666666,False,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,16,oracle_annotated_entry,2,8,3,none,98,6,0,0,25,20,12,160,137,28,552,1.0,1.0,1.0,1,1,20,8.0,0.6733829000149854,0.008592500002123415,0.6819754000171088,1560,25,400,0.2564102564102564,0,False,48,400,39,361,0.0975,0.6666666666666666,False,0
