dataset,root_budget,root_recall,complete_recovery,node_recall,candidate_count,selected_source_fraction,selection_ms
musique,1,0.2111111111111111,0.7333333333333333,0.9194444444444444,4.877777777777778,0.5024560672901468,0.489137777670597
musique,2,0.25555555555555554,0.8,0.9398148148148148,4.877777777777778,0.5351583897194933,0.4550766587878267
musique,4,0.4111111111111111,0.8333333333333334,0.95,4.877777777777778,0.5874901046537255,0.464341106514136
musique,8,0.5111111111111111,0.8333333333333334,0.95,4.877777777777778,0.616573561292549,0.47342555481009185
2wikimultihopqa,1,0.2916666666666667,0.875,0.9166666666666666,3.5166666666666666,0.7626704687936119,0.3816283341924039
2wikimultihopqa,2,0.375,0.875,0.9166666666666666,3.5166666666666666,0.7777008664605224,0.38810416687435156
2wikimultihopqa,4,0.475,0.8833333333333333,0.925,3.5166666666666666,0.7982755500109119,0.3632583359528022
2wikimultihopqa,8,0.5083333333333333,0.8916666666666667,0.9416666666666667,3.5166666666666666,0.8045075190441793,0.3873916662996635
