dataset,chunk_size,graph_type,examples,oracle_parents,node_recall,complete_recovery,nodes_expanded
musique,16,chain,12,27.5,0.8680555555555555,0.6666666666666666,9.666666666666666
musique,16,convergent,6,28.166666666666668,0.7222222222222222,0.16666666666666666,10.666666666666666
musique,32,chain,12,14.833333333333334,0.8680555555555555,0.6666666666666666,10.25
musique,32,convergent,6,15.333333333333334,0.7222222222222222,0.16666666666666666,11.166666666666666
musique,64,chain,12,8.333333333333334,0.8958333333333334,0.75,10.416666666666666
musique,64,convergent,6,9.333333333333334,0.8472222222222222,0.5,10.833333333333334
musique,128,chain,12,5.5,1.0,1.0,10.083333333333334
musique,128,convergent,6,6.166666666666667,0.9444444444444445,0.8333333333333334,10.833333333333334
musique,256,chain,12,3.9166666666666665,1.0,1.0,7.416666666666667
musique,256,convergent,6,4.166666666666667,1.0,1.0,8.833333333333334
2wikimultihopqa,16,branching,2,12.0,0.8,0.5,13.5
2wikimultihopqa,16,chain,12,6.083333333333333,0.6666666666666666,0.3333333333333333,9.5
2wikimultihopqa,16,disconnected,4,13.25,0.875,0.75,7.75
2wikimultihopqa,16,independent,6,6.0,1.0,1.0,10.666666666666666
2wikimultihopqa,32,branching,2,8.0,0.9,0.5,13.0
2wikimultihopqa,32,chain,12,4.083333333333333,0.75,0.5,10.0
2wikimultihopqa,32,disconnected,4,8.25,1.0,1.0,13.25
2wikimultihopqa,32,independent,6,4.166666666666667,1.0,1.0,10.333333333333334
2wikimultihopqa,64,branching,2,5.0,1.0,1.0,12.5
2wikimultihopqa,64,chain,12,3.0,0.8333333333333334,0.6666666666666666,9.166666666666666
2wikimultihopqa,64,disconnected,4,6.25,0.9375,0.75,10.75
2wikimultihopqa,64,independent,6,3.3333333333333335,1.0,1.0,9.333333333333334
2wikimultihopqa,128,branching,2,4.5,1.0,1.0,5.5
2wikimultihopqa,128,chain,12,2.3333333333333335,0.9583333333333334,0.9166666666666666,7.5
2wikimultihopqa,128,disconnected,4,4.25,1.0,1.0,4.5
2wikimultihopqa,128,independent,6,2.8333333333333335,1.0,1.0,6.166666666666667
2wikimultihopqa,256,branching,2,3.0,1.0,1.0,2.0
2wikimultihopqa,256,chain,12,2.0,1.0,1.0,3.0
2wikimultihopqa,256,disconnected,4,3.25,1.0,1.0,2.0
2wikimultihopqa,256,independent,6,2.1666666666666665,1.0,1.0,2.0
