dataset,scale,mean_score,mean_scale_max,facet_rows
musique,global,-0.415227404774891,-0.09070901138087113,90
musique,1,-0.13876791973921676,0.23935634293076063,2410
musique,2,-0.15031752479278818,0.20835928960392872,2320
musique,4,-0.1579389473876088,0.1719353669323027,2140
musique,8,-0.1624405642331112,0.13385239214532904,1780
musique,16,-0.16161647829062797,0.09846191396936774,1060
2wikimultihopqa,global,-0.16655459007209478,0.0919282468346258,120
2wikimultihopqa,1,-0.07773002597969025,0.26163995983079075,1995
2wikimultihopqa,2,-0.08471967836376279,0.23253606305612873,1875
2wikimultihopqa,4,-0.09127589952355872,0.19085931655329963,1635
2wikimultihopqa,8,-0.09818136133641625,0.14429819339420646,1155
2wikimultihopqa,16,-0.07269852216510723,0.13550272265759608,365
