dataset,chunk_size,G_encode,G_search,mean_parent_count,mean_oracle_parents,root_evidence_fraction,root_contains_all_evidence,mean_evidence_group_collisions,edge_R_at_6,complete_recovery,mean_minimum_native_depth,selected_source_fraction,evidence_density,nodes_expanded,preserved_transitions,collapsed_transitions,unmappable_transitions
musique,16,256,16,162.94444444444446,27.72222222222222,0.06585062234204828,0.0,0.05555555555555555,0.6666666666666666,0.5,1.1111111111111112,0.06267558247531695,0.25808782267115604,10.0,36,0,0
musique,32,256,32,81.61111111111111,15.0,0.12930347159102157,0.0,0.16666666666666666,0.6111111111111112,0.5,1.1111111111111112,0.13098407347900037,0.25477427183156354,10.555555555555555,36,0,0
musique,64,256,64,40.888888888888886,8.666666666666666,0.23000714750042725,0.0,0.2777777777777778,0.6666666666666666,0.6666666666666666,1.1666666666666667,0.26181120822448556,0.22544986095455577,10.555555555555555,36,0,0
musique,128,256,128,20.666666666666668,5.722222222222222,0.31350465472806255,0.0,0.3333333333333333,0.8333333333333334,0.9444444444444444,1.1176470588235294,0.5132330811620012,0.18442801785165894,10.333333333333334,36,0,0
musique,256,256,256,10.444444444444445,4.0,0.3973846724650432,0.0,0.6111111111111112,0.8787878787878788,1.0,1.1666666666666667,0.9461111637830477,0.15645887696144867,7.888888888888889,33,3,0
2wikimultihopqa,16,256,16,83.33333333333333,7.75,0.29296532886874,0.0,0.125,0.4,0.5833333333333334,0.9333333333333333,0.17204734537876765,0.15482925379279705,9.833333333333334,25,1,0
2wikimultihopqa,32,256,32,41.875,5.125,0.43847129242964883,0.0,0.16666666666666666,0.4,0.7083333333333334,1.0588235294117647,0.301908458556589,0.14791148615215835,10.875,25,1,0
2wikimultihopqa,64,256,64,21.208333333333332,3.7916666666666665,0.5310112644666113,0.041666666666666664,0.3333333333333333,0.56,0.7916666666666666,0.7894736842105263,0.5142871783543415,0.10600380676905825,9.75,25,1,0
2wikimultihopqa,128,256,128,10.916666666666666,2.9583333333333335,0.6143695197252464,0.125,0.375,0.88,0.9583333333333334,0.6521739130434783,0.770179099254667,0.0864864815059706,6.5,25,1,0
2wikimultihopqa,256,256,256,5.75,2.3333333333333335,0.6785095439744144,0.20833333333333334,0.625,1.0,1.0,0.625,0.9951179057738471,0.07589843779202456,2.5,24,2,0
