candidate_chunks,controller_construction_ms,dataset,examples,landmarks_per_chunk,method,native_dots,qk_scoring_ms,total_routing_ms,valid_key_tokens
50.125,1.415806298609823,hotpotqa,16,31.0625,full_k,24898.0,24.478868741425686,25.89467504003551,1588.5
50.125,3.521737511618994,hotpotqa,16,1.0,mean,802.0,2.5785000034375116,6.100237515056506,1588.5
50.125,53.398074975120835,hotpotqa,16,8.0,last_m8,6416.0,5.087618759716861,58.485693734837696,1588.5
50.125,40.24077502253931,hotpotqa,16,8.0,random_m8,6416.0,5.063943754066713,45.30471877660602,1588.5
50.125,458.01358127209824,hotpotqa,16,8.0,farthest_m8,6416.0,5.062268770416267,463.0758500425145,1588.5
50.125,24362.356981248013,hotpotqa,16,8.0,greedy_oracle_m8,6416.0,5.285018734866753,24367.64199998288,1588.5
50.125,97.57696246379055,hotpotqa,16,8.0,learned_m8,6416.0,5.235206219367683,102.81216868315823,1588.5
142.625,0.4944624815834686,qasper,16,31.0625,full_k,70853.0,33.63736877508927,34.13183125667274,4555.8125
142.625,6.990075024077669,qasper,16,1.0,mean,2282.0,3.6720624630106613,10.66213748708833,4555.8125
142.625,144.35073752247263,qasper,16,8.0,last_m8,18256.0,11.155900021549314,155.50663754402194,4555.8125
142.625,108.5602937528165,qasper,16,8.0,random_m8,18256.0,11.070343753090128,119.63063750590663,4555.8125
142.625,1297.4164937331807,qasper,16,8.0,farthest_m8,18256.0,10.987574976752512,1308.4040687099332,4555.8125
142.625,70364.4087187422,qasper,16,8.0,greedy_oracle_m8,18256.0,11.639518750598654,70376.0482374928,4555.8125
142.625,249.39836248813663,qasper,16,8.0,learned_m8,18256.0,10.527787482715212,259.92614997085184,4555.8125
