dataset,delta_evidence_recall,example_id,m,mean_selected,method,method_selected,seed,selection_changed,split
synthetic_qk,-1.0,qk-32-3,1,4 3 11 2,random,4 12 0 8,71,1.0,synthetic
synthetic_qk,-1.0,qk-32-3,2,4 3 11 2,last,4 10 12 5,0,1.0,synthetic
synthetic_qk,0.0,qk-32-3,2,4 3 11 2,farthest,3 4 8 0,0,1.0,synthetic
synthetic_qk,0.0,qk-32-3,2,4 3 11 2,greedy_oracle,3 4 2 15,0,1.0,synthetic
synthetic_qk,0.0,qk-32-3,2,4 3 11 2,random,4 8 2 3,11,1.0,synthetic
synthetic_qk,-1.0,qk-32-3,2,4 3 11 2,random,4 8 9 0,23,1.0,synthetic
synthetic_qk,-1.0,qk-32-3,2,4 3 11 2,random,4 15 13 11,37,1.0,synthetic
synthetic_qk,-1.0,qk-32-3,2,4 3 11 2,random,4 2 12 8,53,1.0,synthetic
synthetic_qk,-1.0,qk-32-3,2,4 3 11 2,random,4 12 0 11,71,1.0,synthetic
synthetic_qk,-1.0,qk-32-3,4,4 3 11 2,last,4 12 2 10,0,1.0,synthetic
synthetic_qk,0.0,qk-32-3,4,4 3 11 2,farthest,4 3 8 6,0,1.0,synthetic
synthetic_qk,0.0,qk-32-3,4,4 3 11 2,greedy_oracle,3 4 2 8,0,1.0,synthetic
synthetic_qk,0.0,qk-32-3,4,4 3 11 2,random,4 15 3 11,11,1.0,synthetic
synthetic_qk,0.0,qk-32-3,4,4 3 11 2,random,4 3 9 8,23,1.0,synthetic
synthetic_qk,0.0,qk-32-3,4,4 3 11 2,random,4 3 15 11,37,1.0,synthetic
synthetic_qk,0.0,qk-32-3,4,4 3 11 2,random,3 4 2 13,53,1.0,synthetic
synthetic_qk,-1.0,qk-32-3,4,4 3 11 2,random,4 0 12 2,71,1.0,synthetic
synthetic_qk,-1.0,qk-32-3,8,4 3 11 2,last,4 12 2 1,0,1.0,synthetic
synthetic_qk,0.0,qk-32-3,8,4 3 11 2,farthest,3 4 15 8,0,1.0,synthetic
synthetic_qk,0.0,qk-32-3,8,4 3 11 2,greedy_oracle,3 4 11 2,0,0.0,synthetic
synthetic_qk,0.0,qk-32-3,8,4 3 11 2,random,4 3 11 5,11,1.0,synthetic
synthetic_qk,0.0,qk-32-3,8,4 3 11 2,random,4 3 1 15,23,1.0,synthetic
synthetic_qk,0.0,qk-32-3,8,4 3 11 2,random,3 4 11 8,37,1.0,synthetic
synthetic_qk,0.0,qk-32-3,8,4 3 11 2,random,3 4 13 12,53,1.0,synthetic
synthetic_qk,0.0,qk-32-3,8,4 3 11 2,random,3 4 11 5,71,1.0,synthetic
synthetic_qk,0.0,qk-32-4,1,5 4 3 0,last,5 6 4 14,0,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,1,5 4 3 0,farthest,5 3 15 13,0,1.0,synthetic
synthetic_qk,0.0,qk-32-4,1,5 4 3 0,greedy_oracle,4 5 7 10,0,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,1,5 4 3 0,random,5 12 13 2,11,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,1,5 4 3 0,random,5 0 3 13,23,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,1,5 4 3 0,random,5 6 3 11,37,1.0,synthetic
synthetic_qk,0.0,qk-32-4,1,5 4 3 0,random,4 5 9 0,53,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,1,5 4 3 0,random,5 13 9 14,71,1.0,synthetic
synthetic_qk,0.0,qk-32-4,2,5 4 3 0,last,5 4 14 7,0,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,2,5 4 3 0,farthest,5 15 3 10,0,1.0,synthetic
synthetic_qk,0.0,qk-32-4,2,5 4 3 0,greedy_oracle,4 5 1 10,0,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,2,5 4 3 0,random,5 7 10 2,11,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,2,5 4 3 0,random,5 11 10 6,23,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,2,5 4 3 0,random,5 11 1 6,37,1.0,synthetic
synthetic_qk,0.0,qk-32-4,2,5 4 3 0,random,4 5 9 0,53,1.0,synthetic
synthetic_qk,0.0,qk-32-4,2,5 4 3 0,random,5 4 2 13,71,1.0,synthetic
synthetic_qk,0.0,qk-32-4,4,5 4 3 0,last,5 4 9 3,0,1.0,synthetic
synthetic_qk,0.0,qk-32-4,4,5 4 3 0,farthest,5 4 0 10,0,1.0,synthetic
synthetic_qk,0.0,qk-32-4,4,5 4 3 0,greedy_oracle,4 5 10 3,0,1.0,synthetic
synthetic_qk,0.0,qk-32-4,4,5 4 3 0,random,5 4 10 7,11,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,4,5 4 3 0,random,5 6 11 15,23,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,4,5 4 3 0,random,5 1 6 14,37,1.0,synthetic
synthetic_qk,0.0,qk-32-4,4,5 4 3 0,random,4 5 0 15,53,1.0,synthetic
synthetic_qk,0.0,qk-32-4,4,5 4 3 0,random,5 4 10 14,71,1.0,synthetic
synthetic_qk,0.0,qk-32-4,8,5 4 3 0,last,5 4 3 0,0,0.0,synthetic
synthetic_qk,0.0,qk-32-4,8,5 4 3 0,farthest,4 5 6 10,0,1.0,synthetic
synthetic_qk,0.0,qk-32-4,8,5 4 3 0,greedy_oracle,4 5 10 0,0,1.0,synthetic
synthetic_qk,0.0,qk-32-4,8,5 4 3 0,random,4 5 10 9,11,1.0,synthetic
synthetic_qk,0.0,qk-32-4,8,5 4 3 0,random,4 5 11 2,23,1.0,synthetic
synthetic_qk,-1.0,qk-32-4,8,5 4 3 0,random,5 14 6 1,37,1.0,synthetic
synthetic_qk,0.0,qk-32-4,8,5 4 3 0,random,4 5 0 3,53,0.0,synthetic
synthetic_qk,0.0,qk-32-4,8,5 4 3 0,random,4 5 10 3,71,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,1,1 0 14 8,last,1 3 14 9,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,1,1 0 14 8,farthest,1 2 12 7,0,1.0,synthetic
synthetic_qk,0.0,qk-64-0,1,1 0 14 8,greedy_oracle,0 1 3 14,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,1,1 0 14 8,random,1 15 13 11,11,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,1,1 0 14 8,random,1 3 7 11,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,1,1 0 14 8,random,1 9 13 2,37,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,1,1 0 14 8,random,1 5 4 6,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,1,1 0 14 8,random,1 3 15 6,71,1.0,synthetic
synthetic_qk,0.0,qk-64-0,2,1 0 14 8,last,1 3 14 0,0,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,2,1 0 14 8,farthest,1 2 14 8,0,1.0,synthetic
synthetic_qk,0.0,qk-64-0,2,1 0 14 8,greedy_oracle,0 1 3 14,0,1.0,synthetic
synthetic_qk,0.0,qk-64-0,2,1 0 14 8,random,1 14 13 0,11,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,2,1 0 14 8,random,1 7 10 14,23,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,2,1 0 14 8,random,1 11 5 7,37,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,2,1 0 14 8,random,1 3 5 14,53,1.0,synthetic
synthetic_qk,-1.0,qk-64-0,2,1 0 14 8,random,1 6 3 11,71,1.0,synthetic
