ci95_high,ci95_low,dataset,losses,m,mean_delta,method,metric,pairs,ties,wins
0.0825892857142857,-0.109375,hotpotqa,3,1,-0.007142857142857145,farthest,evidence_recall,16,9,4
0.1875,-0.1875,hotpotqa,1,1,0.0,farthest,chain_completion,16,14,1
-0.109375,-0.40625,hotpotqa,12,1,-0.265625,farthest,teacher_top4_overlap,16,3,1
0.075,-0.05,hotpotqa,2,2,0.018750000000000003,farthest,evidence_recall,16,10,4
0.0,-0.1875,hotpotqa,1,2,-0.0625,farthest,chain_completion,16,15,0
0.265625,0.015625,hotpotqa,2,2,0.140625,farthest,teacher_top4_overlap,16,6,8
0.059375,-0.065625,hotpotqa,3,4,-0.002678571428571426,farthest,evidence_recall,16,10,3
0.0,-0.3125,hotpotqa,2,4,-0.125,farthest,chain_completion,16,14,0
0.203125,0.046875,hotpotqa,1,4,0.125,farthest,teacher_top4_overlap,16,7,8
0.0,-0.0625,hotpotqa,2,8,-0.024553571428571428,farthest,evidence_recall,16,14,0
0.0,-0.3125,hotpotqa,2,8,-0.125,farthest,chain_completion,16,14,0
0.265625,0.0625,hotpotqa,1,8,0.171875,farthest,teacher_top4_overlap,16,6,9
0.06666666666666667,-0.10357142857142856,hotpotqa,4,1,-0.015029761904761903,greedy_oracle,evidence_recall,16,8,4
0.1875,-0.1875,hotpotqa,1,1,0.0,greedy_oracle,chain_completion,16,14,1
-0.359375,-0.640625,hotpotqa,14,1,-0.5,greedy_oracle,teacher_top4_overlap,16,2,0
0.0712797619047619,-0.05892857142857143,hotpotqa,3,2,0.00773809523809524,greedy_oracle,evidence_recall,16,9,4
0.0,-0.3125,hotpotqa,2,2,-0.125,greedy_oracle,chain_completion,16,14,0
0.359375,0.171875,hotpotqa,0,2,0.265625,greedy_oracle,teacher_top4_overlap,16,4,12
0.075,-0.03125,hotpotqa,1,4,0.021875000000000002,greedy_oracle,evidence_recall,16,12,3
0.0,-0.1875,hotpotqa,1,4,-0.0625,greedy_oracle,chain_completion,16,15,0
0.4375,0.21875,hotpotqa,1,4,0.328125,greedy_oracle,teacher_top4_overlap,16,1,14
0.05,-0.04910714285714285,hotpotqa,2,8,0.0004464285714285733,greedy_oracle,evidence_recall,16,12,2
0.0,-0.3125,hotpotqa,2,8,-0.125,greedy_oracle,chain_completion,16,14,0
0.484375,0.296875,hotpotqa,0,8,0.390625,greedy_oracle,teacher_top4_overlap,16,1,15
0.015625,-0.11979166666666666,hotpotqa,4,1,-0.05208333333333333,last,evidence_recall,16,11,1
0.0,-0.1875,hotpotqa,1,1,-0.0625,last,chain_completion,16,15,0
-0.25,-0.53125,hotpotqa,12,1,-0.390625,last,teacher_top4_overlap,16,4,0
0.0625,-0.10416666666666666,hotpotqa,4,2,-0.02083333333333333,last,evidence_recall,16,9,3
0.0,0.0,hotpotqa,0,2,0.0,last,chain_completion,16,16,0
-0.359375,-0.59375,hotpotqa,14,2,-0.484375,last,teacher_top4_overlap,16,2,0
0.09330357142857143,-0.109375,hotpotqa,5,4,-0.009077380952380953,last,evidence_recall,16,6,5
0.0,0.0,hotpotqa,0,4,0.0,last,chain_completion,16,16,0
-0.28125,-0.46875,hotpotqa,14,4,-0.375,last,teacher_top4_overlap,16,2,0
0.1308035714285714,-0.02857142857142857,hotpotqa,2,8,0.054910714285714285,last,evidence_recall,16,8,6
0.1875,0.0,hotpotqa,0,8,0.0625,last,chain_completion,16,15,1
-0.25,-0.5,hotpotqa,13,8,-0.375,last,teacher_top4_overlap,16,3,0
0.04479166666666666,-0.10267857142857142,hotpotqa,4,1,-0.025595238095238095,learned,evidence_recall,16,9,3
0.0,-0.3125,hotpotqa,2,1,-0.125,learned,chain_completion,16,14,0
0.28125,0.046875,hotpotqa,1,1,0.15625,learned,teacher_top4_overlap,16,7,8
0.0625,-0.06250000000000001,hotpotqa,2,2,0.0031250000000000028,learned,evidence_recall,16,11,3
0.0,-0.1875,hotpotqa,1,2,-0.0625,learned,chain_completion,16,15,0
0.23125,0.04375000000000001,hotpotqa,4,2,0.140625,learned,teacher_top4_overlap,16,2,10
0.05437500000000001,-0.059375,hotpotqa,3,4,-0.0018749999999999965,learned,evidence_recall,16,10,3
0.0,-0.1875,hotpotqa,1,4,-0.0625,learned,chain_completion,16,15,0
0.23750000000000002,0.046875000000000014,hotpotqa,4,4,0.146875,learned,teacher_top4_overlap,16,1,11
0.05333333333333333,-0.05729166666666667,hotpotqa,2,8,0.0004166666666666676,learned,evidence_recall,16,10,4
0.0,-0.1875,hotpotqa,1,8,-0.0625,learned,chain_completion,16,15,0
0.33437500000000003,0.15,hotpotqa,1,8,0.24062499999999998,learned,teacher_top4_overlap,16,2,13
0.059136904761904766,-0.09854166666666665,hotpotqa,6,1,-0.015982142857142858,random,evidence_recall,16,3,7
0.0875,-0.15000000000000002,hotpotqa,2,1,-0.012500000000000004,random,chain_completion,16,9,5
-0.29375,-0.525,hotpotqa,15,1,-0.4125,random,teacher_top4_overlap,16,1,0
0.063125,-0.06285714285714285,hotpotqa,6,2,0.00026785714285714347,random,evidence_recall,16,0,10
0.025000000000000005,-0.125,hotpotqa,2,2,-0.03749999999999999,random,chain_completion,16,13,1
-0.253125,-0.44999999999999996,hotpotqa,15,2,-0.353125,random,teacher_top4_overlap,16,1,0
0.03586309523809524,-0.10401785714285715,hotpotqa,6,4,-0.028333333333333335,random,evidence_recall,16,2,8
0.0,-0.2375,hotpotqa,2,4,-0.0875,random,chain_completion,16,14,0
-0.22187500000000002,-0.39062499999999994,hotpotqa,15,4,-0.30937499999999996,random,teacher_top4_overlap,16,0,1
0.05538690476190476,-0.07095238095238095,hotpotqa,6,8,-0.00559523809523808,random,evidence_recall,16,3,7
0.075,-0.175,hotpotqa,2,8,-0.037500000000000006,random,chain_completion,16,12,2
-0.09687500000000002,-0.26875,hotpotqa,12,8,-0.18125000000000002,random,teacher_top4_overlap,16,1,3
0.08055402930402929,-0.03747023809523809,qasper,3,1,0.020343406593406596,farthest,evidence_recall,16,8,5
0.5,-0.125,qasper,2,1,0.1875,farthest,chain_completion,16,9,5
-0.109375,-0.375,qasper,11,1,-0.25,farthest,teacher_top4_overlap,16,4,1
