candidate_chunks,controller_construction_ms,dataset,device,example_id,landmarks_per_chunk,method,native_dots,qk_scoring_ms,total_routing_ms,valid_key_tokens
39,16.058200038969517,hotpotqa,cuda,5adc3aff5542996e685252eb,31,full_k,19344,189.9002999998629,205.95850003883243,1217
39,5.995800020173192,hotpotqa,cuda,5adc3aff5542996e685252eb,1,mean,624,1.276399940252304,7.272199960425496,1217
39,51.434600027278066,hotpotqa,cuda,5adc3aff5542996e685252eb,8,last_m8,4992,1.4238001313060522,52.85840015858412,1217
39,23.89130019582808,hotpotqa,cuda,5adc3aff5542996e685252eb,8,random_m8,4992,1.424900023266673,25.316200219094753,1217
39,235.2291001006961,hotpotqa,cuda,5adc3aff5542996e685252eb,8,farthest_m8,4992,1.518499804660678,236.74759990535676,1217
39,12358.16469998099,hotpotqa,cuda,5adc3aff5542996e685252eb,8,greedy_oracle_m8,4992,2.493599895387888,12360.658299876377,1217
39,72.19089986756444,hotpotqa,cuda,5adc3aff5542996e685252eb,8,learned_m8,4992,2.6732999831438065,74.86419985070825,1217
40,0.33900002017617226,hotpotqa,cuda,5ab56db7554299494045efc6,31,full_k,19840,5.305599886924028,5.644599907100201,1271
40,2.2897999733686447,hotpotqa,cuda,5ab56db7554299494045efc6,1,mean,640,2.300000051036477,4.589800024405122,1271
40,36.81769990362227,hotpotqa,cuda,5ab56db7554299494045efc6,8,last_m8,5120,2.670800080522895,39.488499984145164,1271
40,35.58959998190403,hotpotqa,cuda,5ab56db7554299494045efc6,8,random_m8,5120,2.6551999617367983,38.24479994364083,1271
40,295.51189998164773,hotpotqa,cuda,5ab56db7554299494045efc6,8,farthest_m8,5120,2.5663000997155905,298.0782000813633,1271
40,19524.96169996448,hotpotqa,cuda,5ab56db7554299494045efc6,8,greedy_oracle_m8,5120,4.6797997783869505,19529.641499742866,1271
40,79.61459993384778,hotpotqa,cuda,5ab56db7554299494045efc6,8,learned_m8,5120,4.473299952223897,84.08789988607168,1271
48,0.4825999494642019,hotpotqa,cuda,5ab2b863554299295394685a,31,full_k,23808,13.390199979767203,13.872799929231405,1529
48,3.2279998995363712,hotpotqa,cuda,5ab2b863554299295394685a,1,mean,768,2.3439000360667706,5.571899935603142,1529
48,58.853899827226996,hotpotqa,cuda,5ab2b863554299295394685a,8,last_m8,6144,5.05270017310977,63.906600000336766,1529
48,45.04500003531575,hotpotqa,cuda,5ab2b863554299295394685a,8,random_m8,6144,5.259600002318621,50.30460003763437,1529
48,439.59930003620684,hotpotqa,cuda,5ab2b863554299295394685a,8,farthest_m8,6144,5.180400097742677,444.7797001339495,1529
48,24624.40859992057,hotpotqa,cuda,5ab2b863554299295394685a,8,greedy_oracle_m8,6144,5.022900179028511,24629.4315000996,1529
48,100.6624000146985,hotpotqa,cuda,5ab2b863554299295394685a,8,learned_m8,6144,5.351400002837181,106.01380001753569,1529
36,0.47280010767281055,hotpotqa,cuda,5a710a915542994082a3e504,32,full_k,18432,10.097400052472949,10.57020016014576,1152
36,2.9091998003423214,hotpotqa,cuda,5a710a915542994082a3e504,1,mean,576,2.485899953171611,5.395099753513932,1152
36,40.279199834913015,hotpotqa,cuda,5a710a915542994082a3e504,8,last_m8,4608,4.413699964061379,44.692899798974395,1152
36,32.74439997039735,hotpotqa,cuda,5a710a915542994082a3e504,8,random_m8,4608,4.4154999777674675,37.15989994816482,1152
