chain_completion,compression_ms,dataset,evidence_recall,identities,m,rows,seed,teacher_top4_overlap
0.0,31.576312496326864,hotpotqa,0.09791666666666667,16,1,16,11,0.75
0.0,33.882943767821416,hotpotqa,0.09791666666666667,16,1,16,23,0.75
0.0,32.35645628592465,hotpotqa,0.09791666666666667,16,1,16,37,0.75
0.0,32.07786877464969,hotpotqa,0.09791666666666667,16,1,16,53,0.75
0.0,33.85202493518591,hotpotqa,0.09791666666666667,16,1,16,71,0.75
0.0625,35.8509312645765,hotpotqa,0.12976190476190474,16,2,16,11,0.734375
0.0625,35.40766872174572,hotpotqa,0.12976190476190474,16,2,16,23,0.75
0.0625,36.51951250503771,hotpotqa,0.12976190476190474,16,2,16,37,0.71875
0.0625,34.60002502833959,hotpotqa,0.12976190476190474,16,2,16,53,0.71875
0.0625,35.094474980724044,hotpotqa,0.11413690476190474,16,2,16,71,0.75
0.0625,33.363193782861345,hotpotqa,0.12976190476190474,16,4,16,11,0.75
0.0625,34.256931277923286,hotpotqa,0.11726190476190475,16,4,16,23,0.796875
0.0625,35.30784376198426,hotpotqa,0.11413690476190474,16,4,16,37,0.6875
0.0625,35.779931262368336,hotpotqa,0.12976190476190474,16,4,16,53,0.703125
0.0625,36.736156209371984,hotpotqa,0.11726190476190475,16,4,16,71,0.765625
0.0625,36.13285624305718,hotpotqa,0.12767857142857142,16,8,16,11,0.84375
0.0625,34.819343709386885,hotpotqa,0.11726190476190475,16,8,16,23,0.84375
0.0625,36.681143756140955,hotpotqa,0.11726190476190475,16,8,16,37,0.828125
0.0625,35.87843125569634,hotpotqa,0.12976190476190474,16,8,16,53,0.84375
0.0625,35.65009369049221,hotpotqa,0.12767857142857142,16,8,16,71,0.8125
0.3125,89.4450562336715,qasper,0.05324519230769231,16,1,16,11,0.34375
0.3125,93.78899374860339,qasper,0.05324519230769231,16,1,16,23,0.34375
0.3125,95.66000627819449,qasper,0.05324519230769231,16,1,16,37,0.34375
0.3125,93.7601624900708,qasper,0.05324519230769231,16,1,16,53,0.34375
0.3125,95.68806874449365,qasper,0.05324519230769231,16,1,16,71,0.34375
0.5625,93.76594997593202,qasper,0.07836309523809523,16,2,16,11,0.359375
0.625,93.8037874730071,qasper,0.08617559523809523,16,2,16,23,0.375
0.5625,95.56701252586208,qasper,0.07836309523809523,16,2,16,37,0.375
0.5625,95.21709373802878,qasper,0.0772470238095238,16,2,16,53,0.390625
0.625,96.09117501531728,qasper,0.08617559523809523,16,2,16,71,0.375
0.625,95.50230001332238,qasper,0.08700892857142857,16,4,16,11,0.4375
0.5,95.40744371770415,qasper,0.07026785714285715,16,4,16,23,0.4375
0.625,93.2452750421362,qasper,0.08617559523809523,16,4,16,37,0.40625
0.625,97.61189998243935,qasper,0.08589285714285715,16,4,16,53,0.4375
0.625,98.53088123782072,qasper,0.08700892857142857,16,4,16,71,0.390625
0.5,104.64024997781962,qasper,0.11922619047619049,16,8,16,11,0.546875
0.5,102.055412469781,qasper,0.17279761904761903,16,8,16,23,0.546875
0.375,101.11659999529365,qasper,0.04779761904761905,16,8,16,37,0.546875
0.5,101.02426876255777,qasper,0.17279761904761903,16,8,16,53,0.546875
0.5625,102.1730313077569,qasper,0.18206959706959705,16,8,16,71,0.578125
