description,gate,passed,reason,run
inherited_parity,G0,True,,True
teacher_sanity,G1,True,,True
oracle_feasibility,G2,True,,True
learned_selector,G3,False,,True
synthetic_slots,G4,False,Requires G3 pass.,False
streaming_memory,G5,False,Requires offline compressor pass.,False
