candidate_chunk_tokens,chain_completion,comparison_scope,condition,dataset,deployable,evidence_recall,family,identities,mrr,precision,requested_chunks,rows
32,0.0,same frozen identities and four-chunk budget,B0_gist,hotpotqa,True,0.15074404761904764,Paper 2.6 inherited,16,0.2760416666666667,0.171875,4.0,16
32,0.0,same frozen identities and four-chunk budget,B1_bm25,hotpotqa,True,0.3977678571428572,Paper 2.6 inherited,16,0.875,0.453125,4.0,16
32,0.0,same frozen identities and four-chunk budget,B2_exact,hotpotqa,True,0.2869047619047619,Paper 2.6 inherited,16,0.5677083333333333,0.328125,4.0,16
32,0.0,same frozen identities and four-chunk budget,B3_weighted,hotpotqa,True,0.2869047619047619,Paper 2.6 inherited,16,0.5677083333333333,0.328125,4.0,16
32,0.0,same frozen identities and four-chunk budget,B4_approx,hotpotqa,True,0.3014880952380952,Paper 2.6 inherited,16,0.734375,0.359375,4.0,16
32,0.0,same frozen identities and four-chunk budget,H5_iterative_hybrid,hotpotqa,True,0.2794642857142857,Paper 2.6 inherited,16,0.6458333333333334,0.3125,4.0,16
32,0.5625,same frozen identities and four-chunk budget,O1_oracle,hotpotqa,False,0.8755952380952381,Paper 2.6 inherited,16,1.0,1.0,3.9375,16
32,0.0,same frozen identities and four-chunk budget,B0_gist,qasper,True,0.03794642857142857,Paper 2.6 inherited,16,0.13020833333333331,0.0625,4.0,16
32,0.0,same frozen identities and four-chunk budget,B1_bm25,qasper,True,0.04163804945054945,Paper 2.6 inherited,16,0.13541666666666666,0.09375,4.0,16
32,0.0,same frozen identities and four-chunk budget,B2_exact,qasper,True,0.17762019230769233,Paper 2.6 inherited,16,0.4427083333333333,0.3125,4.0,16
32,0.0,same frozen identities and four-chunk budget,B3_weighted,qasper,True,0.06083447802197803,Paper 2.6 inherited,16,0.21354166666666666,0.109375,4.0,16
32,0.0,same frozen identities and four-chunk budget,B4_approx,qasper,True,0.03739697802197803,Paper 2.6 inherited,16,0.140625,0.078125,4.0,16
32,0.0,same frozen identities and four-chunk budget,H5_iterative_hybrid,qasper,True,0.08102678571428572,Paper 2.6 inherited,16,0.17708333333333331,0.125,4.0,16
32,0.25,same frozen identities and four-chunk budget,O1_oracle,qasper,False,0.6326831501831502,Paper 2.6 inherited,16,1.0,1.0,3.5625,16
32,0.125,same frozen identities and four-chunk budget,QK mean,hotpotqa,True,0.12351190476190475,Paper 2.8,16,0.27083333333333337,0.125,4,16
32,0.0,same frozen identities and four-chunk budget,QK full-K oracle,hotpotqa,False,0.12395833333333332,Paper 2.8,16,0.2864583333333333,0.125,4,16
32,0.0625,same frozen identities and four-chunk budget,QK farthest m=2,hotpotqa,True,0.14226190476190476,Paper 2.8,16,0.3072916666666667,0.15625,4,16
32,0.0625,same frozen identities and four-chunk budget,QK greedy oracle m=4,hotpotqa,False,0.14538690476190477,Paper 2.8,16,0.26041666666666663,0.15625,4,16
32,0.0,same frozen identities and four-chunk budget,QK greedy oracle m=8,hotpotqa,False,0.12395833333333332,Paper 2.8,16,0.328125,0.125,4,16
32,0.0625,same frozen identities and four-chunk budget,QK learned m=4,hotpotqa,True,0.1216369047619047,Paper 2.8,16,0.2937499999999999,0.13125,4,80
32,0.0625,same frozen identities and four-chunk budget,QK learned m=8,hotpotqa,True,0.12392857142857136,Paper 2.8,16,0.2666666666666665,0.134375,4,80
32,0.3125,same frozen identities and four-chunk budget,QK mean,qasper,True,0.09764880952380951,Paper 2.8,16,0.21875,0.09375,4,16
32,0.5,same frozen identities and four-chunk budget,QK full-K oracle,qasper,False,0.12522435897435896,Paper 2.8,16,0.40625,0.140625,4,16
32,0.5,same frozen identities and four-chunk budget,QK farthest m=2,qasper,True,0.13026900183150183,Paper 2.8,16,0.28124999999999994,0.125,4,16
32,0.5,same frozen identities and four-chunk budget,QK greedy oracle m=4,qasper,False,0.17782852564102564,Paper 2.8,16,0.23958333333333334,0.140625,4,16
32,0.5625,same frozen identities and four-chunk budget,QK greedy oracle m=8,qasper,False,0.13564102564102565,Paper 2.8,16,0.3958333333333333,0.15625,4,16
32,0.6,same frozen identities and four-chunk budget,QK learned m=4,qasper,True,0.08327083333333338,Paper 2.8,16,0.37187499999999984,0.1625,4,80
32,0.4875,same frozen identities and four-chunk budget,QK learned m=8,qasper,True,0.13893772893772888,Paper 2.8,16,0.2260416666666667,0.1375,4,80
