model_id,context_target_tokens,condition,samples,datasets,token_f1,gold_answer_logprob,completion_latency_ms,first_token_agreement_vs_full,sequence_agreement_vs_full,first_logit_rmse_vs_full,active_detail_bytes,visible_prompt_tokens,peak_unified_memory_bytes
mlx-community/Qwen3-8B-4bit,384,E0_SELECTED,15,3,0.27874987757340697,-12.267613983154297,347.5231443347487,0.8,0.4666666666666667,1.1604249556859334,0.0,315.53333333333336,5066844440
mlx-community/Qwen3-8B-4bit,384,E2_QUERY_RESTART,15,3,0.13243534243534244,-21.014489873250326,384.0329612003795,0.4,0.06666666666666667,2.1344135125478108,56623104.0,34.266666666666666,5236351079
mlx-community/Qwen3-8B-4bit,384,E2_SELECTED,15,3,0.27874987757340697,-12.078466415405273,379.49289166911814,0.8,0.4666666666666667,1.1835769777496656,41474457.6,34.266666666666666,5045313639
mlx-community/Qwen3-8B-4bit,384,E2_SOURCE_RELATIVE,15,3,0.26841354723707667,-11.752343877156575,384.55505293095484,1.0,1.0,0.1463444362084071,56623104.0,34.266666666666666,5236138087
mlx-community/Qwen3-8B-4bit,384,FULL_VISIBLE,15,3,0.26841354723707667,-11.829834874471029,352.3947415999525,1.0,1.0,0.0,0.0,418.26666666666665,5256947992
mlx-community/Qwen3-8B-4bit,8192,E0_SELECTED,15,3,0.27874987757340697,-12.267613983154297,347.5231443347487,0.8,0.2,2.0296753644943237,0.0,315.53333333333336,5066844440
mlx-community/Qwen3-8B-4bit,8192,E2_QUERY_RESTART,15,3,0.013333333333333334,-48.00009485880534,741.2497610658951,0.13333333333333333,0.0,2.5722010056177775,1207959552.0,34.266666666666666,9494312942
mlx-community/Qwen3-8B-4bit,8192,E2_SELECTED,15,3,0.27874987757340697,-12.078466415405273,379.49289166911814,0.8,0.2,1.9996561924616496,41474457.6,34.266666666666666,5045313639
mlx-community/Qwen3-8B-4bit,8192,E2_SOURCE_RELATIVE,15,3,0.2992207792207792,-11.06044184366862,743.9960637993257,1.0,0.6666666666666666,0.11181450635194778,1207959552.0,34.266666666666666,9493673172
mlx-community/Qwen3-8B-4bit,8192,FULL_VISIBLE,15,3,0.30017316017316015,-11.07582041422526,504.73320826907485,1.0,1.0,0.0,0.0,8226.266666666666,9767168196
mlx-community/Qwen3-8B-4bit,32768,E0_SELECTED,3,3,0.08333333333333333,-11.903330485026041,366.4905416759818,0.3333333333333333,0.0,2.7126967112223306,0.0,318.0,5057308924
mlx-community/Qwen3-8B-4bit,32768,E2_QUERY_RESTART,3,3,0.0,-69.64244079589844,1995.7002220035065,0.3333333333333333,0.0,2.5296327273050943,4831838208.0,36.666666666666664,20957084140
mlx-community/Qwen3-8B-4bit,32768,E2_SELECTED,3,3,0.08333333333333333,-11.983356475830078,392.2685139987152,0.3333333333333333,0.0,2.808982729911804,41484288.0,36.666666666666664,5032327043
mlx-community/Qwen3-8B-4bit,32768,E2_SOURCE_RELATIVE,3,3,0.2857142857142857,-12.435321807861328,2024.0556803328218,0.6666666666666666,0.3333333333333333,0.12834453582763672,4831838208.0,36.666666666666664,20956461548
mlx-community/Qwen3-8B-4bit,32768,FULL_VISIBLE,3,3,0.2857142857142857,-12.506067911783854,1274.3435969993395,1.0,1.0,0.0,0.0,32804.666666666664,24213711184
mlx-community/Qwen3-14B-4bit,384,E0_SELECTED,15,3,0.3533906833906834,-9.97838643391927,644.6186166654419,0.7333333333333333,0.6666666666666666,0.6980781475702922,0.0,315.53333333333336,8737388764
mlx-community/Qwen3-14B-4bit,384,E2_QUERY_RESTART,15,3,0.16899951899951898,-16.74469985961914,681.5813640025832,0.4666666666666667,0.0,3.326213232676188,62914560.0,34.266666666666666,8964597473
mlx-community/Qwen3-14B-4bit,384,E2_SELECTED,15,3,0.3533906833906834,-9.984073638916016,678.4645860646075,0.7333333333333333,0.6666666666666666,0.7154115229845047,46082730.666666664,34.266666666666666,8753424097
mlx-community/Qwen3-14B-4bit,384,E2_SOURCE_RELATIVE,15,3,0.3405335405335405,-9.672022501627604,681.0991778669026,0.9333333333333333,0.9333333333333333,0.09308173308769861,62914560.0,34.266666666666666,8964384481
mlx-community/Qwen3-14B-4bit,384,FULL_VISIBLE,15,3,0.3627557627557627,-9.639001083374023,647.8995473327814,1.0,1.0,0.0,0.0,418.26666666666665,8948529372
