ablation,boundary_loss,listwise_loss,loss,m,objective,oracle_loss,rank,response_loss,seed,step,train_seconds
salience_only,2.1674304008483887,4.868619918823242,5.153542995452881,4,combined,-0.0,0,0.28492292761802673,11,1,19.376500899903476
salience_only,1.0822489261627197,4.523804664611816,4.624584197998047,4,combined,-0.0,0,0.10077956318855286,11,76,19.376500899903476
salience_only,0.9632847309112549,4.397099018096924,4.467701435089111,4,combined,-0.0,0,0.07060219347476959,11,151,19.376500899903476
salience_only,0.9692432284355164,4.392691135406494,4.457876205444336,4,combined,-0.0,0,0.06518512219190598,11,226,19.376500899903476
salience_only,0.965083122253418,4.3503851890563965,4.424553394317627,4,combined,-0.0,0,0.07416824996471405,11,300,19.376500899903476
salience_only,1.1702897548675537,4.53441858291626,4.673849105834961,4,combined,-0.0,0,0.13943065702915192,23,1,20.73475299985148
salience_only,0.9198733568191528,4.41522216796875,4.495389938354492,4,combined,-0.0,0,0.08016771078109741,23,76,20.73475299985148
salience_only,0.9047879576683044,4.3932905197143555,4.468448638916016,4,combined,-0.0,0,0.07515828311443329,23,151,20.73475299985148
salience_only,0.9067773222923279,4.389631748199463,4.46547794342041,4,combined,-0.0,0,0.07584625482559204,23,226,20.73475299985148
salience_only,0.9045616984367371,4.386765003204346,4.4638671875,4,combined,-0.0,0,0.07710234075784683,23,300,20.73475299985148
salience_only,1.1914565563201904,4.567749977111816,4.7245941162109375,4,combined,0.0,0,0.1568443775177002,37,1,20.2904137999285
salience_only,0.9051412343978882,4.395181179046631,4.471393585205078,4,combined,0.0,0,0.07621245086193085,37,76,20.2904137999285
salience_only,0.9153774976730347,4.3945841789245605,4.470844268798828,4,combined,0.0,0,0.0762600228190422,37,151,20.2904137999285
salience_only,0.9084972739219666,4.38386344909668,4.461601734161377,4,combined,0.0,0,0.07773812860250473,37,226,20.2904137999285
salience_only,0.9165920615196228,4.374890327453613,4.457093238830566,4,combined,-0.0,0,0.08220294117927551,37,300,20.2904137999285
salience_only,1.2371833324432373,4.564443588256836,4.739413261413574,4,combined,-0.0,0,0.17496980726718903,53,1,20.539187100017443
salience_only,0.9776477217674255,4.384957790374756,4.455941677093506,4,combined,-0.0,0,0.07098395377397537,53,76,20.539187100017443
salience_only,0.9800553321838379,4.368865013122559,4.441518306732178,4,combined,-0.0,0,0.07265326380729675,53,151,20.539187100017443
salience_only,0.9838154315948486,4.3435163497924805,4.4162797927856445,4,combined,-0.0,0,0.07276348024606705,53,226,20.539187100017443
salience_only,1.0060830116271973,4.318915367126465,4.400816440582275,4,combined,-0.0,0,0.08190090209245682,53,300,20.539187100017443
salience_only,2.0840091705322266,4.856671333312988,5.075504779815674,4,combined,-0.0,0,0.21883344650268555,71,1,20.519090299960226
salience_only,0.9908869862556458,4.417733669281006,4.4917778968811035,4,combined,-0.0,0,0.07404406368732452,71,76,20.519090299960226
salience_only,0.9354383945465088,4.347559452056885,4.424679756164551,4,combined,-0.0,0,0.07712006568908691,71,151,20.519090299960226
salience_only,0.9490240812301636,4.344280242919922,4.4230122566223145,4,combined,-0.0,0,0.07873190939426422,71,226,20.519090299960226
salience_only,0.9688271284103394,4.339366436004639,4.42101526260376,4,combined,-0.0,0,0.08164861053228378,71,300,20.519090299960226
salience_only,1.617530107498169,4.636406421661377,4.735506534576416,8,combined,-0.0,0,0.09909992665052414,11,1,20.90356649993919
salience_only,0.9097499251365662,4.418017864227295,4.48736572265625,8,combined,-0.0,0,0.06934784352779388,11,76,20.90356649993919
salience_only,0.9090439081192017,4.419045448303223,4.488335132598877,8,combined,-0.0,0,0.06928983330726624,11,151,20.90356649993919
salience_only,0.9035413265228271,4.397485256195068,4.465476989746094,8,combined,-0.0,0,0.06799176335334778,11,226,20.90356649993919
salience_only,0.9493806958198547,4.351717472076416,4.4154558181762695,8,combined,-0.0,0,0.06373856216669083,11,300,20.90356649993919
salience_only,1.0662243366241455,4.500982284545898,4.614941596984863,8,combined,-0.0,0,0.11395932734012604,23,1,20.722742500016466
salience_only,0.9215379953384399,4.392287254333496,4.457064628601074,8,combined,-0.0,0,0.06477750837802887,23,76,20.722742500016466
salience_only,0.9470980763435364,4.3705244064331055,4.435458183288574,8,combined,-0.0,0,0.06493401527404785,23,151,20.722742500016466
salience_only,0.9617347717285156,4.329436302185059,4.40138053894043,8,combined,-0.0,0,0.07194408029317856,23,226,20.722742500016466
salience_only,0.9746688604354858,4.265575885772705,4.328986644744873,8,combined,-0.0,0,0.06341055035591125,23,300,20.722742500016466
salience_only,1.072989583015442,4.5269927978515625,4.644987106323242,8,combined,0.0,0,0.1179945170879364,37,1,20.53671900019981
salience_only,0.9103372693061829,4.418816566467285,4.490302562713623,8,combined,0.0,0,0.07148580998182297,37,76,20.53671900019981
salience_only,0.9145913124084473,4.400675296783447,4.475189208984375,8,combined,0.0,0,0.0745140016078949,37,151,20.53671900019981
salience_only,0.9144939184188843,4.379770278930664,4.4581499099731445,8,combined,-0.0,0,0.07837982475757599,37,226,20.53671900019981
salience_only,0.9236269593238831,4.351840496063232,4.432351589202881,8,combined,-0.0,0,0.08051086962223053,37,300,20.53671900019981
salience_only,1.138279676437378,4.524596214294434,4.6505632400512695,8,combined,-0.0,0,0.12596726417541504,53,1,20.57428240007721
salience_only,0.9179409742355347,4.3844194412231445,4.449313163757324,8,combined,-0.0,0,0.0648936927318573,53,76,20.57428240007721
salience_only,0.9516240358352661,4.346528053283691,4.415595531463623,8,combined,-0.0,0,0.06906744837760925,53,151,20.57428240007721
salience_only,0.968553364276886,4.334102630615234,4.408963680267334,8,combined,-0.0,0,0.07486091554164886,53,226,20.57428240007721
salience_only,0.9641149044036865,4.319449424743652,4.39829683303833,8,combined,-0.0,0,0.07884763926267624,53,300,20.57428240007721
salience_only,1.8863584995269775,4.740211486816406,4.875905513763428,8,combined,-0.0,0,0.13569381833076477,71,1,20.457802399992943
salience_only,1.1312220096588135,4.394826889038086,4.416114330291748,8,combined,-0.0,0,0.021287299692630768,71,76,20.457802399992943
salience_only,1.132796049118042,4.341844081878662,4.374761581420898,8,combined,-0.0,0,0.032917581498622894,71,151,20.457802399992943
salience_only,1.0725480318069458,4.24302864074707,4.3179240226745605,8,combined,-0.0,0,0.07489515841007233,71,226,20.457802399992943
salience_only,1.0362472534179688,4.1769938468933105,4.2762908935546875,8,combined,-0.0,0,0.09929685294628143,71,300,20.457802399992943
bilinear_only,1.369635820388794,4.694033622741699,4.904681205749512,4,combined,-0.0,8,0.2106475681066513,11,1,29.91622050013393
bilinear_only,0.9566500782966614,4.229874610900879,4.33303165435791,4,combined,0.0,8,0.1031571477651596,11,76,29.91622050013393
bilinear_only,0.9446684718132019,4.180586814880371,4.291142463684082,4,combined,0.0,8,0.11055587232112885,11,151,29.91622050013393
bilinear_only,0.9333041906356812,4.155361652374268,4.268943786621094,4,combined,0.0,8,0.11358212679624557,11,226,29.91622050013393
bilinear_only,0.9264758229255676,4.142937660217285,4.257901668548584,4,combined,0.0,8,0.11496420204639435,11,300,29.91622050013393
bilinear_only,3.1542322635650635,5.7497782707214355,6.68388557434082,4,combined,-0.0,8,0.9341073036193848,23,1,31.991606399882585
bilinear_only,0.8786208629608154,4.312457084655762,4.409880638122559,4,combined,-0.0,8,0.09742371737957001,23,76,31.991606399882585
