ablation,active_memory_fraction,any_evidence,chain_completion,dataset,evidence_precision,evidence_recall,identities,kl,m,materialized_kv_tokens,mrr,native_dots,objective,parameter_count,rank,rows,seeds,selection_ms,spearman,teacher_top4_overlap
bilinear_only,0.08861177276079858,0.525,0.175,hotpotqa,0.171875,0.15339285714285716,16,0.09456051955930889,4,126.95,0.30937499999999996,3208.0,combined,16448,8,80,5,44.622128730406985,0.5371920591220259,0.3625
bilinear_only,0.08933341034341384,0.4875,0.0875,hotpotqa,0.15,0.13327380952380952,16,0.07308996627107263,8,128.0,0.29791666666666666,6416.0,combined,16448,8,80,5,46.76807622599881,0.6773735009133816,0.434375
bilinear_only,0.08812020046948497,0.4875,0.1,hotpotqa,0.15,0.13369047619047617,16,0.10481076440773904,4,126.225,0.3010416666666667,3208.0,combined,32896,16,80,5,42.80988375248853,0.47744431579485536,0.328125
bilinear_only,0.08933341034341384,0.5125,0.15,hotpotqa,0.175,0.1486904761904762,16,0.08475147006101906,8,128.0,0.3020833333333333,6416.0,combined,32896,16,80,5,43.69065623905044,0.607326390221715,0.365625
bilinear_only,0.08933341034341384,0.55,0.1375,hotpotqa,0.18125,0.16104166666666667,16,0.09293641452677548,4,128.0,0.34687499999999993,3208.0,combined,65792,32,80,5,42.253451235592365,0.5286531941965222,0.384375
bilinear_only,0.08933341034341384,0.5,0.0875,hotpotqa,0.146875,0.1305654761904762,16,0.07426808346062899,8,128.0,0.29895833333333327,6416.0,combined,65792,32,80,5,41.46936624601949,0.6754533778876066,0.459375
bilinear_only,0.03257254954938654,0.4,0.4,qasper,0.11875,0.09334294871794872,16,0.09287338578142226,4,128.0,0.22395833333333331,9128.0,combined,16448,8,80,5,124.9596149980789,0.6236547701060772,0.33125
bilinear_only,0.03257254954938654,0.4875,0.4875,qasper,0.140625,0.1401939102564103,16,0.08145750025287271,8,128.0,0.29062499999999997,18256.0,combined,16448,8,80,5,128.79231124534272,0.7503478989005089,0.415625
bilinear_only,0.03250592963353802,0.3,0.3,qasper,0.103125,0.05646771978021979,16,0.10268320832401515,4,127.7625,0.18229166666666669,9128.0,combined,32896,16,80,5,122.01168500178028,0.6060690656304359,0.296875
bilinear_only,0.03257254954938654,0.45,0.45,qasper,0.125,0.11187545787545787,16,0.08369584390893578,8,128.0,0.2489583333333333,18256.0,combined,32896,16,80,5,120.99268750462215,0.7361975409090519,0.39375
bilinear_only,0.03257254954938654,0.3125,0.3125,qasper,0.103125,0.06149427655677657,16,0.09479479952715338,4,128.0,0.20625,9128.0,combined,65792,32,80,5,115.70531624020077,0.6050081975758076,0.334375
bilinear_only,0.03257254954938654,0.4625,0.4625,qasper,0.125,0.14884249084249085,16,0.08932456923648716,8,128.0,0.21354166666666666,18256.0,combined,65792,32,80,5,117.61075999238528,0.7390890926122665,0.384375
salience_only,0.08933341034341384,0.65,0.15,hotpotqa,0.196875,0.18130952380952375,16,0.09018961158581078,4,128.0,0.4427083333333333,3208.0,combined,321,0,80,5,30.60048373590689,0.5750669300556183,0.284375
salience_only,0.08933341034341384,0.575,0.1,hotpotqa,0.15625,0.14407738095238093,16,0.06427119798026978,8,128.0,0.28124999999999994,6416.0,combined,321,0,80,5,30.96765998925548,0.6947846934199333,0.553125
salience_only,0.03257254954938654,0.4375,0.4375,qasper,0.121875,0.0644235347985348,16,0.08014056733809412,4,128.0,0.2239583333333334,9128.0,combined,321,0,80,5,84.36915626516566,0.6553749486804008,0.365625
salience_only,0.03255798361425351,0.425,0.425,qasper,0.109375,0.0935393772893773,16,0.056622045347467065,8,127.925,0.2677083333333333,18256.0,combined,321,0,80,5,82.91812000970822,0.7916680946946144,0.5
