milestone,condition,success,n
M2,eager,0.85,20
M2,empty,0.0,20
M2,irrelevant,0.0,20
M2,oracle,1.0,20
M2,selected,1.0,20
M2,shuffled,0.0,20
M3,execution_accepted,1.0,20
M3,observation_grounded,0.85,20
M4,eager_required,0.2,15
M4,no_refresh,0.0,15
M4,reactive_jit,0.6666666666666666,15
