model,base_model,model_revision,size,family,tier,priority,precision_family,precision_encoding,engine,mode,profile,qualification,datasets,bundle,artifact,condition_no_pra,condition_pra_no_adaptor,condition_pra_adaptor_bundle,token_f1_no_pra,token_f1_pra_no_adaptor,token_f1_pra_adaptor_bundle,token_f1_delta_pra_no_adaptor,token_f1_incremental_adaptor_gain,visible_tokens_no_pra,visible_tokens_pra_no_adaptor,ttft_p95_ms_no_pra,ttft_p95_ms_pra_no_adaptor,output_tokens_per_second_no_pra,output_tokens_per_second_pra_no_adaptor,peak_memory_bytes_no_pra,peak_memory_bytes_pra_no_adaptor,exact_pairs,paired_examples,memory_gate,feature_extraction_precision,adaptor_parameter_precision
Qwen/Qwen3-14B,Qwen/Qwen3-14B,,14B,qwen3,D,P0_FLAGSHIP_BF16,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mlx-community/Qwen3-14B-4bit,Qwen/Qwen3-14B,a4d9b2df59d2c150bef02fcbe0d91046b7ca33a4,14B,qwen3,MEASURED_VARIANT,P0_FLAGSHIP_BF16,INT4,MLX-4bit,mlx,Native Memory,BALANCED,ENGINE_QUALIFIED,"['qasper', 'hotpotqa', '2wikimultihopqa']",EInnovator/pra-qwen3-14b-mlx-4bit,docs/papers/shared/results/mac_scaling/qwen3_14b_mlx_profiles.json,MEASURED,MEASURED,NOT_MEASURED,0.27746031746031746,0.27746031746031746,,0.0,,315.53333333333336,34.266666666666666,339.22949999396224,338.2852500071749,29.091133280525803,28.411334824304248,8850340060.0,8794683612.0,15,15,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
mlx-community/Qwen3-14B-8bit,Qwen/Qwen3-14B,da33cf28f06636847fd9e93e0a03d819b84cb55e,14B,qwen3,MEASURED_VARIANT,P0_FLAGSHIP_BF16,INT8,MLX-8bit,mlx,Native Memory,BALANCED,ENGINE_QUALIFIED,"['qasper', 'hotpotqa', '2wikimultihopqa']",EInnovator/pra-qwen3-14b-mlx-8bit,docs/papers/shared/results/paper4_5_runtime/exact_identity_qualification/qwen3-14b-mlx-8bit/qualification_summary.json,MEASURED,MEASURED,NO_QUALIFIED_ADAPTER,0.14940198548503839,0.14940198548503839,,0.0,,396.31666666666666,33.516666666666666,414.0352500253357,393.90966697828844,13.387311298025917,13.346603239512275,,,60,60,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,,1.7B,qwen3,A,P0_REFERENCE,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,,1.7B,qwen3,A,P0_REFERENCE,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,,1.7B,qwen3,A,P0_REFERENCE,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,,1.7B,qwen3,A,P0_REFERENCE,INT8,native-int8,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,,1B,llama3,A,P0_REFERENCE,BF16,native-bf16,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,,1B,llama3,A,P0_REFERENCE,FP32,native-fp32,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,,1B,llama3,A,P0_REFERENCE,INT4,native-int4,NOT_MEASURED,Native Memory,BALANCED,NOT_MEASURED,[],,,NEEDS_RUN,NEEDS_RUN,NO_QUALIFIED_ADAPTER,,,,,,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED
