cell_id,sequence_id,repeat,strategy_id,strategy_config_id,official_resolved_count,issue_count,calls,cumulative_full_tokens,cumulative_materialized_tokens,candidate_trajectory_gross_saving_fraction,failure_aware_saving_vs_persistent_full,calls_delta_vs_persistent_full,evidence_admissible
independent-n3-b__S01_persistent_full__r01,independent-n3-b,1,S01_persistent_full,default,3,3,53,551995,551995,0.0,,,True
independent-n3-b__S03_completed_episode_spine-r4m2v2p1_tasks1__r01,independent-n3-b,1,S03_completed_episode_spine,r4m2v2p1_tasks1,3,3,44,416702,299078,0.2822736631933612,0.45818712126015637,-9,True
